round,player,team,score
17,1,Dayne Beams,162
17,2,Drew Petrie,161
17,3,Matthew Pavlich,160
17,4,Josh Kennedy Injured,157
17,5,Shane Tuck,155
17,6,Gary Ablett,150
17,7,Mitchell Duncan,148
17,8,Dane Swan,143
17,9,Rory Sloane,141
17,10,Tom Hawkins,139
17,11,Patrick Dangerfield,138
17,11,Jack Grimes,138
17,13,Steve Johnson,136
17,14,Scott Pendlebury,127
17,14,Cyril Rioli,127
17,14,Jarrad McVeigh,127
17,14,Heath Scotland,127
17,14,Luke McPharlin,127
17,19,Harry Taylor,126
17,19,Rhyce Shaw,126
17,21,Domenic Cassisi,125
17,21,Bernie Vince,125
17,21,Richard Douglas,125
17,21,Clancee Pearce,125
17,25,Paul Stewart,124
17,26,Daniel Merrett,122
17,27,Andrew Gaff,121
17,27,Tom Rockliff,121
17,29,Stephen Hill,119
17,29,Jack Redden,119
17,31,Ryan O'Keefe,117
17,31,Brent Reilly,117
17,31,Will Minson,117
17,34,Jordan Lewis,116
17,35,Matthew Wright,115
17,35,Dayne Zorko,115
17,37,Tom Bellchambers,114
17,38,Daniel Cross,111
17,38,Nathan Jones,111
17,38,Nicholas Naitanui,111
17,41,Matthew Priddis,110
17,42,Pearce Hanley,109
17,42,Jarrod Harbrow,109
17,42,Steele Sidebottom,109
17,42,Brock McLean,109
17,42,Jonathon Griffin,109
17,47,Justin Westhoff,108
17,47,Ryan Griffen,108
17,47,Stephen Milne,108
17,47,Eddie Betts,108
17,47,Marc Murphy,108
17,47,Jack Gunston,108
17,53,Travis Boak,107
17,53,Luke Breust,107
17,53,Brent Harvey,107
17,56,Josh Jenkins,106
17,56,Sam Mitchell,106
17,56,Heath Shaw,106
17,56,Dustin Fletcher,106
17,56,Dion Prestia,106
17,61,Grant Birchall,105
17,61,Jason Porplyzia,105
17,61,Colin Sylvia,105
17,64,Matthew Warnock,104
17,64,Sam Gilbert,104
17,64,Charlie Dixon,104
17,67,Luke Power,103
17,67,Lenny Hayes,103
17,67,Thomas Liberatore,103
17,70,Andrew Mackie,102
17,71,Jobe Watson,101
17,71,Ben Hudson,101
17,71,Michael Barlow,101
17,71,Joel Corey,101
17,71,Michael Johnson,101
17,71,Lynden Dunn,101
17,77,Jeff Garlett,100
17,77,Ivan Maric,100
17,77,Brad Sewell,100
17,80,Kepler Bradley,98
17,80,Simon Black,98
17,80,Trent Cotchin,98
17,80,Bryce Gibbs,98
17,80,Troy Chaplin,98
17,85,Tendai Mzungu,97
17,85,Ryan Lester,97
17,85,Kieren Jack,97
17,85,Andrew Carrazzo,97
17,85,Sean Dempster,97
17,85,Callan Ward,97
17,85,Tom McDonald,97
17,92,Luke Dahlhaus,96
17,92,Jarryd Roughead,96
17,92,Alex Rance,96
17,95,Liam Picken,95
17,95,Mitchell Wallis,95
17,95,Todd Goldstein,95
17,95,Sam Jacobs,95
17,99,Tom Logan,94
17,99,Andy Otten,94
17,99,Luke Russell,94
17,102,Brad Green,93
17,102,Mike Pyke,93
17,102,Anthony Miles,93
17,105,Sam Fisher,92
17,105,Matthew Lobbe,92
17,105,Andrew Swallow,92
17,105,Scott Thompson,92
17,105,Liam Anthony,92
17,105,Ryan Crowley,92
17,105,Garrick Ibbotson,92
17,112,Scott McMahon,91
17,112,Nathan Grima,91
17,112,Brett Deledio,91
17,112,Kyle Hardingham,91
17,112,Leigh Montagna,91
17,117,Brandon Ellis,90
17,117,Tomas Bugg,90
17,117,Matthew Broadbent,90
