round,player,team,score
23,1,Scott Thompson,192
23,2,Dane Swan,175
23,3,Patrick Dangerfield,169
23,4,Aaron Sandilands,163
23,5,Travis Cloke,159
23,6,Brock McLean,154
23,7,Nathan Fyfe,151
23,8,Dayne Beams,146
23,9,Daniel Rich,145
23,10,Alex Fasolo,142
23,11,Darren Jolly,139
23,12,Scott Selwood,137
23,13,Jarrad McVeigh,133
23,13,Bryce Gibbs,133
23,15,David Mundy,132
23,16,Jason Porplyzia,131
23,17,Adam Cooney,129
23,17,Shane Mumford,129
23,17,Michael Johnson,129
23,17,Matthew Boyd,129
23,21,Jobe Watson,126
23,22,Scott Pendlebury,125
23,23,Trent Cotchin,124
23,24,Robert Murphy,123
23,25,Michael Barlow,122
23,25,Matt Campbell,122
23,25,Harry Taylor,122
23,25,Gary Ablett,122
23,29,Sam Mitchell,121
23,30,Matthew Pavlich,120
23,30,Ben Cunnington,120
23,32,Jarrad Waite,119
23,32,Jack Riewoldt,119
23,32,Scott Thompson,119
23,32,Brad Ebert,119
23,36,Tendai Mzungu,118
23,37,James Kelly,117
23,37,Pearce Hanley,117
23,39,Ian Callinan,116
23,39,Matthew Kreuzer,116
23,39,Dale Thomas,116
23,39,Paul Duffield,116
23,39,Ivan Maric,116
23,44,Claye Beams,115
23,44,Callan Ward,115
23,46,Colin Sylvia,114
23,47,Aaron Mullett,113
23,48,Jason Gram,112
23,48,Lance Franklin,112
23,50,David Hille,111
23,50,Joel Selwood,111
23,52,Sam Jacobs,110
23,52,Shane Edwards,110
23,52,Bachar Houli,110
23,55,Ben McEvoy,109
23,55,Ryan Bastinac,109
23,55,Nicholas Naitanui,109
23,58,Beau Waters,108
23,58,Brent Stanton,108
23,58,Christopher Mayne,108
23,61,Paul Chapman,107
23,62,Jarryd Roughead,106
23,62,Shane Tuck,106
23,64,Josh Kennedy Injured,105
23,65,Jack Steven,104
23,66,David Armitage,103
23,66,Tom Hawkins,103
23,66,Luke Delaney,103
23,66,Mitchell Duncan,103
23,70,Ryan Griffen,102
23,71,Matthew Suckling,101
23,71,Jack Darling,101
23,71,Brent Reilly,101
23,71,Joel Corey,101
23,75,Brett Deledio,100
23,75,Toby Greene,100
23,75,Jonathan Giles,100
23,75,Stephen Hill,100
23,75,Sam Gibson,100
23,75,Brodie Smith,100
23,81,Matthew Broadbent,99
23,81,Liam Anthony,99
23,83,Trent West,98
23,83,Richard Douglas,98
23,85,Jack Grimes,97
23,85,Grant Birchall,97
23,85,David MacKay,97
23,85,Rhys Palmer,97
23,85,Brad Sewell,97
23,90,Hamish Hartlett,96
23,91,Dom Tyson,95
23,91,Jack Redden,95
23,91,Clinton Young,95
23,91,Kyal Horsley,95
23,91,Liam Picken,95
23,96,Chris Masten,93
23,96,Matthew Warnock,93
23,98,Jonathan Brown,92
23,98,Michael Hibberd,92
23,98,Jimmy Bartel,92
23,98,Ryan Schoenmakers,92
23,98,Shannon Hurn,92
23,98,Jay Schulz,92
23,104,Harley Bennell,91
23,104,Matthew Scarlett,91
23,104,Jordan Lisle,91
23,104,Tom Scully,91
23,104,Jarrad Redden,91
23,104,Josh Gibson,91
23,110,Shaun Burgoyne,90
23,110,Steven Morris,90
23,110,Will Minson,90
23,110,Aidan Riley,90
23,114,Jared Petrenko,89
23,114,Steve Johnson,89
23,114,Graham Johncock,89
23,114,Kane Cornes,89
23,114,Aaron Young,89
23,114,Simon Black,89
23,120,Alex Rance,88
23,120,Danny Stanley,88
23,120,Heritier Lumumba,88
23,120,Luke Hodge,88
23,120,Nicholas Duigan,88
23,120,Cale Hooker,88
23,120,Tom McDonald,88
23,127,Rhys Stanley,87
23,127,Michael Coad,87
23,127,Martin Mattner,87
23,127,Adam Treloar,87
23,127,Jed Adcock,87
23,127,Rory Sloane,87
23,133,Shaun Higgins,86
23,133,Matthew Priddis,86
23,133,Kade Simpson,86
23,133,Jordan Roughead,86
23,137,Brendon Goddard,85
23,137,Daniel Jackson,85
23,137,Sean Dempster,85
23,137,Farren Ray,85
23,137,Luke Shuey,85
23,137,Brett Ebert,85
23,137,David Zaharakis,85
23,144,Mitchell Wallis,84
23,144,Terry Milera,84
23,144,Craig Bird,84
23,147,Kieren Jack,83
23,147,James Hawksley,83
23,147,Shaun Grigg,83
23,147,James Gwilt,83
23,147,David Ellard,83
23,147,Drew Petrie,83
23,147,Corey Enright,83
23,147,Dyson Heppell,83
23,155,Taylor Adams,82
23,155,Kurt Tippett,82
23,155,Dayne Zorko,82
23,155,Ted Richards,82
23,155,Hayden Ballantyne,82
23,155,Danyle Pearce,82
23,155,Nick Dal Santo,82
23,155,Charlie Dixon,82
23,155,Jarryn Geary,82
23,164,Michael Firrito,81
23,164,Tony Armstrong,81
23,164,Michael Doughty,81
23,164,Isaac Smith,81
23,164,Dean Cox,81
23,164,Brent Harvey,81
23,170,Domenic Cassisi,80
23,170,Courtenay Dempsey,80
23,170,Will Schofield,80
23,170,Todd Goldstein,80
23,170,Jeremy Howe,80
23,175,Michael Talia,79
23,175,Heath Shaw,79
23,175,Joel Patfull,79
23,175,Jeff Garlett,79
23,175,Adam McPhee,79
23,175,Ben McGlynn,79
23,181,Marc Murphy,78
23,181,Ben Hudson,78
23,181,Andrew Swallow,78
23,181,Travis Boak,78
23,181,Clancee Pearce,78
23,181,Heath Scotland,78
23,187,Lukas Markovic,77
23,187,Nicholas Suban,77
23,187,Leigh Montagna,77
23,187,Tom Lynch,77
23,191,Jack Watts,76
23,191,Ben Rutten,76
23,191,Robin Nahas,76
23,194,Tom Campbell,75
23,194,Matt Thomas,75
23,194,Chad Wingard,75
23,194,Andrew Gaff,75
23,194,Heath Grundy,75
23,194,James Podsiadly,75
23,194,Nathan Jones,75
23,201,Luke Breust,74
