round,player,team,score
7,1,Ryan Griffen,171
7,2,Brett Deledio,163
7,2,Todd Goldstein,163
7,4,Tom Lynch,157
7,5,Tom Rockliff,153
7,6,Gary Ablett,152
7,7,Jack Steven,150
7,8,Patrick Dangerfield,147
7,9,Josh Kennedy Injured,143
7,10,Garrick Ibbotson,142
7,11,Zac Smith,140
7,11,Ben McEvoy,140
7,13,Majak Daw,139
7,14,Paul Duffield,137
7,15,Nick Riewoldt,136
7,16,Pearce Hanley,133
7,17,Steele Sidebottom,132
7,17,Dustin Martin,132
7,19,Robert Warnock,131
7,20,Michael Walters,129
7,21,Jack Riewoldt,128
7,22,Dion Prestia,126
7,22,Jarryd Roughead,126
7,24,Chris Newman,125
7,25,Jay Schulz,124
7,26,Jobe Watson,123
7,26,Steve Johnson,123
7,28,Drew Petrie,122
7,29,Harley Bennell,121
7,29,Sam Kerridge,121
7,29,Darren Jolly,121
7,32,James Gwilt,120
7,32,Scott Thompson,120
7,32,Brent Reilly,120
7,32,Luke Hodge,120
7,32,Will Minson,120
7,37,Mathew Stokes,119
7,37,Matthew Wright,119
7,37,Brent Harvey,119
7,40,Luke Breust,116
7,40,Jared Brennan,116
7,42,David Zaharakis,115
7,43,Sam Day,114
7,43,Robert Murphy,114
7,45,David Hale,113
7,45,Shannon Hurn,113
7,45,Richard Douglas,113
7,48,Matthew Leuenberger,112
7,48,Matt Shaw,112
7,50,Scott Selwood,111
7,50,Jeff Garlett,111
7,50,Lachlan Henderson,111
7,53,Jack Ziebell,110
7,54,Sam Fisher,109
7,55,Chris Judd,108
7,55,Dean Terlich,108
7,55,Michael Barlow,108
7,58,Brendon Goddard,107
7,59,Dale Thomas,105
7,59,Rory Sloane,105
7,59,Nick Vlastuin,105
7,62,Mitchell Golby,104
7,62,Bachar Houli,104
7,62,Jack Viney,104
7,62,Callan Ward,104
7,62,Jake Carlisle,104
7,62,Darren Glass,104
7,62,Josh Thomas,104
7,69,David Mundy,103
7,69,Mike Pyke,103
7,69,Brandon Ellis,103
7,69,Rory Thompson,103
7,73,Jack Gunston,102
7,73,Jimmy Bartel,102
7,73,Steven Motlop,102
7,73,Kane Cornes,102
7,73,Nicholas Naitanui,102
7,73,David Swallow,102
7,79,Tom Hickey,101
7,80,Lukas Markovic,100
7,80,Corey Enright,100
7,80,Joel Selwood,100
7,83,Jake King,99
7,83,Jeremy Howe,99
7,83,Sam Dwyer,99
7,83,Alex Rance,99
7,87,Heath Shaw,98
7,87,Jordan Lewis,98
7,87,Dennis Armfield,98
7,87,Adam Goodes,98
7,87,Paul Puopolo,98
7,92,Brent Moloney,97
7,92,Christopher Mayne,97
7,92,Matthew Priddis,97
7,95,Dean Cox,96
7,95,Bernie Vince,96
7,95,Scott Pendlebury,96
7,95,Kieren Jack,96
7,99,Brad Ebert,95
7,99,Justin Clarke,95
7,99,Shane Edwards,95
7,99,Nick Lower,95
7,103,Sean Dempster,94
7,103,Tom Bellchambers,94
7,103,Sam Mitchell,94
7,103,Josh Jenkins,94
7,103,Dane Swan,94
7,103,Matthew Rosa,94
7,109,Tendai Mzungu,93
7,109,Aaron Black,93
7,109,Andrew Swallow,93
7,109,David MacKay,93
7,113,Jarryd Blair,92
7,114,Sebastian Ross,91
7,114,Ryan O'Keefe,91
7,114,Jed Adcock,91
7,114,Trent McKenzie,91
7,118,Heath Scotland,90
7,118,David Myers,90
7,120,Tom Lynch,89
7,120,Jaeger O'Meara,89
7,120,Luke Dahlhaus,89
7,120,Heath Grundy,89
7,124,Travis Boak,88
7,124,Max Gawn,88
7,124,Jarrad McVeigh,88
7,127,Aaron Hall,87
7,127,Adam Tomlinson,87
7,127,Josh Gibson,87
7,130,Ben McGlynn,86
7,130,Brad Sewell,86
7,130,Jack Redden,86
7,130,Lance Franklin,86
7,130,Colin Sylvia,86
7,130,Michael Hibberd,86
7,130,James Kelly,86
7,130,Nick Dal Santo,86
7,130,James Podsiadly,86
7,139,Toby Greene,85
7,139,Luke Parker,85
7,139,Ivan Maric,85
7,139,Scott Thompson,85
7,139,Matt Jones,85
7,139,Martin Mattner,85
7,145,Brian Lake,84
7,145,Stephen Gilham,84
7,145,Orren Stephenson,84
