round,player,team,score
1,1,Gary Ablett,178
1,2,Kane Cornes,166
1,3,Ben Howlett,164
1,4,Scott Pendlebury,160
1,5,Bryce Gibbs,150
1,6,Josh Kennedy Injured,147
1,7,Michael Barlow,144
1,7,Jarryn Geary,144
1,9,Sam Mitchell,141
1,10,Ryan Griffen,138
1,11,Andrew Swallow,137
1,11,Andrew Walker,137
1,13,Dane Swan,136
1,14,Jay Schulz,134
1,15,Charlie Dixon,130
1,15,Thomas Liberatore,130
1,15,Danyle Pearce,130
1,18,David Mundy,126
1,18,Joel Selwood,126
1,18,Will Minson,126
1,21,Oliver Wines,125
1,22,Courtenay Dempsey,124
1,23,Hamish Hartlett,123
1,24,Jack Grimes,122
1,24,Tom Rockliff,122
1,24,Grant Birchall,122
1,27,Todd Goldstein,121
1,27,Jobe Watson,121
1,29,Christopher Mayne,120
1,29,Stephen Hill,120
1,29,Paul Chapman,120
1,29,Nicholas Suban,120
1,33,Trent Cotchin,119
1,34,Tory Dickson,118
1,35,Jack Viney,117
1,35,Beau Waters,117
1,35,Dylan Shiel,117
1,35,Brent Stanton,117
1,39,Steele Sidebottom,116
1,39,Brett Deledio,116
1,39,Brad Ebert,116
1,39,Daniel Giansiracusa,116
1,39,Shane Mumford,116
1,39,Kieren Jack,116
1,39,Jonathon Griffin,116
1,46,Cyril Rioli,114
1,47,Brett Goodes,113
1,47,Matthew Kreuzer,113
1,47,Adam Treloar,113
1,47,David Armitage,113
1,51,Angus Monfries,112
1,51,Ivan Maric,112
1,53,Lenny Hayes,111
1,54,Brent Guerra,109
1,54,Travis Boak,109
1,54,Joshua Kennedy,109
1,57,Tyson Goldsack,108
1,58,Shane Tuck,107
1,58,Daniel Wells,107
1,58,Ryan O'Keefe,107
1,58,Andrew Mackie,107
1,62,Clinton Jones,106
1,62,Robert Murphy,106
1,62,Chris Judd,106
1,62,James Podsiadly,106
1,66,Mike Pyke,104
1,66,Marc Murphy,104
1,66,Paul Puopolo,104
1,66,Alex Rance,104
1,70,Aaron Mullett,103
1,71,Dean Brogan,102
1,71,Matthew Wright,102
1,71,Sam Jacobs,102
1,74,Luke McGuane,101
1,74,Stephen Coniglio,101
1,76,Brent Moloney,100
1,76,Justin Westhoff,100
1,78,Shannon Hurn,99
1,78,Daniel Cross,99
1,78,Nick Riewoldt,99
1,78,Ben McEvoy,99
1,82,Jordan Lewis,98
1,82,Ben Cunnington,98
1,82,Adam Goodes,98
1,85,Shaun Higgins,97
1,85,Heritier Lumumba,97
1,85,Luke Dahlhaus,97
1,85,Taylor Hunt,97
1,89,Nathan Fyfe,96
1,89,Arryn Siposs,96
1,89,Tim Mohr,96
1,89,Luke Parker,96
1,89,Dean Cox,96
1,89,Shaun Burgoyne,96
1,95,Jeremy Howe,95
1,95,Rory Thompson,95
1,95,Alwyn Davey,95
1,98,Daniel Jackson,94
1,98,Tyrone Vickery,94
1,100,Mark Jamar,93
1,100,Jarrod Harbrow,93
1,100,Heath Hocking,93
1,100,Jasper Pittard,93
1,100,Mathew Stokes,93
1,105,Heath Grundy,92
1,105,Travis Cloke,92
1,107,Mark Lecras,91
1,107,Scott Thompson,91
1,107,Taylor Walker,91
1,107,Richard Douglas,91
1,107,David Myers,91
1,107,Quinten Lynch,91
1,113,Michael Hibberd,90
1,113,Michael Walters,90
1,115,Jarrad McVeigh,89
1,115,David Swallow,89
1,115,Darren Jolly,89
1,115,Rory Sloane,89
1,115,Callan Ward,89
1,115,Nathan Jones,89
1,115,Mitchell Wallis,89
1,115,Jack Steven,89
1,123,Andy Otten,88
1,123,Brad Sewell,88
1,123,Nick Maxwell,88
1,123,Jimmy Bartel,88
1,127,Mitchell Duncan,87
1,127,Ashton Hams,87
1,127,Adam Cooney,87
1,127,Chris Masten,87
1,127,Nick Malceski,87
1,127,Chad Wingard,87
1,127,Ryan Bastinac,87
1,134,Matthew Priddis,86
1,134,Scott Thompson,86
1,134,Jarryd Blair,86
1,134,Brendon Goddard,86
1,138,Alan Toovey,85
1,138,Graham Johncock,85
1,138,Dustin Fletcher,85
1,138,Corey Enright,85
1,138,Daniel Hannebery,85
1,138,Jonathan Giles,85
1,138,Dustin Martin,85
1,145,Nick Dal Santo,84
1,145,Michael Jamison,84
1,145,Shaun Hampson,84
1,148,Pearce Hanley,83
1,148,Lee Spurr,83
1,148,Andrew Carrazzo,83
1,151,Michael Firrito,82
1,151,Liam Sumner,82
1,153,Jack Ziebell,81
1,153,Jason Johannisen,81
1,153,Scott Selwood,81
1,153,Ted Richards,81
1,153,Rhyce Shaw,81
1,158,Jordie McKenzie,80
1,158,Paul Duffield,80
1,160,Shane Edwards,79
1,160,Rhys Stanley,79
1,160,Daniel Merrett,79
1,163,Harry Taylor,78
1,163,Paul Stewart,78
1,163,Michael Rischitelli,78
1,163,Mitchell Golby,78
1,163,Jamie Cripps,78
1,163,Kade Simpson,78
1,163,Thomas Young,78
1,163,Terry Milera,78
1,171,James Gwilt,77
1,171,Jake Melksham,77
1,171,Tom Hawkins,77
1,171,Billie Smedts,77
1,171,Bachar Houli,77
1,171,Jeff Garlett,77
1,171,Lachlan Hansen,77
1,178,Farren Ray,76
1,178,Rohan Bewick,76
1,178,Jude Bolton,76
1,178,Lynden Dunn,76
1,178,Dylan Roberton,76
1,183,Benjamin Stratton,75
1,183,Reece Conca,75
1,183,Jack Darling,75
1,183,Ryan Crowley,75
1,187,Liam Picken,74
1,187,Jason Blake,74
1,187,Steven Motlop,74
1,187,Daniel Nicholson,74
1,187,Ryan Schoenmakers,74
1,187,Jason Porplyzia,74
1,187,Eddie Betts,74
1,194,Dale Morris,73
1,194,Colin Sylvia,73
1,194,Ben McGlynn,73
1,194,Dyson Heppell,73
1,194,Harley Bennell,73
1,194,Zac Smith,73
1,200,Matthew Broadbent,72
1,200,Lindsay Thomas,72
1,200,Jack Frost,72
1,200,Jaeger O'Meara,72
1,200,Luke Breust,72
1,200,Brent Reilly,72
1,200,Jake Batchelor,72
1,200,Jared Brennan,72
1,208,Tom Bellchambers,71
1,208,Matthew Jaensch,71
1,208,Jackson Merrett,71
1,208,Nathan Van Berlo,71
1,208,Jack Riewoldt,71
1,213,Campbell Heath,70
1,213,Josh Jenkins,70
1,213,David Hale,70
1,213,Nicholas Kommer,70
1,213,Devon Smith,70
1,213,Jackson Trengove,70
1,213,Dion Prestia,70
1,213,Tomas Bugg,70
1,221,Shaun Grigg,69
1,221,Will Hoskin-Elliott,69
1,221,Thomas Murphy,69
1,221,Jordan Roughead,69
1,221,Clancee Pearce,69
1,221,Isaac Smith,69
1,227,Max Bailey,68
1,227,Joel Wilkinson,68
1,229,Tom Scully,67
1,229,Nick Smith,67
1,229,Sam Reid Injured,67
1,229,Brock McLean,67
1,233,Will Schofield,66
1,233,Colin Garland,66
1,233,Sam Gilbert,66
1,233,Lewis Stevenson,66
1,233,Shane Savage,66
1,233,Andrew Gaff,66
1,239,Joshua Green,65
1,239,Allen Christensen,65
1,239,David Rodan,65
1,239,Lachlan Henderson,65
1,239,Cameron Pedersen,65
1,239,Jake Carlisle,65
1,239,Ben Sinclair,65
1,239,Cameron O'Shea,65
1,239,Jack Redden,65
1,239,Matt Jones,65
1,249,David MacKay,64
1,249,Jared Rivers,64
1,249,Robbie Tarrant,64
1,249,Dayne Zorko,64
1,249,Curtly Hampton,64
1,249,James Frawley,64
1,255,Josh Hill,63
1,255,Patrick Dangerfield,63
1,255,Cale Hooker,63
1,255,Josh Gibson,63
1,255,Ricky Henderson,63
1,255,Jonathon Patton,63
1,255,Kane Lucas,63
1,262,Lance Franklin,62
1,262,Ayce Cordy,62
1,262,Chris Newman,62
1,262,Josh Thomas,62
1,266,Mitchell Clark,61
1,266,Matt Shaw,61
1,266,Daniel Rich,61
1,266,Travis Varcoe,61
1,266,Joel Patfull,61
1,266,Benjamin Griffiths,61
1,266,Stefan Martin,61
1,273,Steven May,60
1,273,Jamie Elliott,60
1,273,Matthew Lobbe,60
1,273,Jed Adcock,60
1,273,Patrick Karnezis,60
1,273,Matthew Pavlich,60
1,279,Darren Glass,59
1,279,Koby Stevens,59
1,279,Luke Russell,59
1,279,Dennis Armfield,59
1,279,Drew Petrie,59
1,279,Elliot Yeo,59
1,285,Jarryd Roughead,58
1,285,Kepler Bradley,58
1,285,Matthew Warnock,58
1,285,Ben Reid,58
1,285,Phil Davis,58
1,290,Beau Maister,57
1,290,Mark Blicavs,57
1,290,Greg Broughton,57
1,290,Tendai Mzungu,57
1,290,Jake Neade,57
1,290,Nathan Grima,57
1,296,Luke Shuey,56
1,296,Bradley Hill,56
1,296,Stephen Milne,56
1,296,Joshua Bootsma,56
1,296,Lachlan Plowman,56
1,301,Billy Longer,55
1,301,Sam Day,55
1,301,Luke McPharlin,55
1,301,Jake King,55
1,301,Shaun Atley,55
1,301,Michael Hurley,55
1,301,Liam Jones,55
1,308,Patrick Ryder,54
1,308,Christopher Yarran,54
1,308,Andrew Moore,54
1,311,Jarrad Redden,53
1,311,Shannon Byrnes,53
1,311,Martin Clarke,53
1,314,Sam Gibson,52
1,314,Hayden Ballantyne,52
1,314,Lewis Roberts-Thomson,52
1,317,Bernie Vince,51
1,317,Nicholas Duigan,51
1,319,Brandon Matera,50
1,319,Zach Tuohy,50
1,319,Martin Mattner,50
1,322,Lachie Whitfield,49
1,322,Sam Dwyer,49
1,322,Michael Johnson,49
1,325,Matthew De Boer,48
1,325,Leigh Adams,48
1,325,Jack Watts,48
1,328,Aaron Cornelius,47
1,328,Bradley Sheppard,47
1,330,Jeremy Cameron,46
1,330,Nick Lower,46
1,332,Jared Petrenko,45
1,332,Thomas Jonas,45
1,332,Ashley Smith,45
1,332,Ben Jacobs,45
1,332,Toby Greene,45
1,337,Brent Macaffer,44
1,337,Jamie MacMillan,44
1,337,Luke Brown,44
1,337,Stewart Crameri,44
1,341,Dane Rampe,43
1,341,Kieran Harper,43
1,341,Jordan Russell,43
1,341,Matthew Maguire,43
1,341,Troy Chaplin,43
1,346,Ben Rutten,42
1,347,Aaron Hall,41
1,347,Jordan Murdoch,41
1,349,Jonathan Brown,40
1,349,Ashley McGrath,40
1,351,Adam Kennedy,38
1,352,Tom Lonergan,37
1,352,Lewis Jetta,37
1,354,Stephen Gilham,36
1,354,Nathan Brown,36
1,354,Ben Johnson,36
1,354,Trent West,36
1,358,Ahmed Saad,35
1,358,Jack Gunston,35
1,358,Brandon Ellis,35
1,361,Eric MacKenzie,33
1,361,Claye Beams,33
1,361,Josh Caddy,33
1,361,Thomas Gillies,33
1,365,Daniel Talia,32
1,366,Jack Newnes,31
1,366,James Sellar,31
1,366,Mark Baguley,31
1,369,Liam Anthony,30
1,369,Brodie Martin,30
1,371,Zac Dawson,29
1,372,Tom Hickey,28
1,372,David Zaharakis,28
1,374,Scott Lycett,27
1,374,Adam Selwood,27
1,376,Samuel Wright,26
1,376,Aaron Joseph,26
1,378,Karmichael Hunt,25
1,378,Steven Morris,25
1,378,Jimmy Toumpas,25
1,381,Liam Shiels,24
1,381,Luke Tapscott,24
1,381,Robin Nahas,24
1,384,Clay Smith,23
1,384,Andrew Embley,23
1,386,Mitch Robinson,20
1,387,Levi Casboult,19
1,388,Jed Anderson,17
1,389,Sam Blease,16
1,390,Kane Mitchell,13
1,391,Tony Armstrong,12
1,391,James Polkinghorne,12
1,393,Taylor Adams,8
1,394,Cameron Sutcliffe,5
1,394,George Horlin-Smith,5
1,396,Trent Dennis-Lane,0
