gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition
2021R101,2021,1,18/03/2021,M.C.G.,7:25 PM,49218,Richmond,105,Carlton,80,0,2,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
2021R102,2021,1,19/03/2021,M.C.G.,7:50 PM,46051,Collingwood,53,Western Bulldogs,69,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
2021R103,2021,1,20/03/2021,M.C.G.,1:45 PM,21365,Melbourne,80,Fremantle,58,0,2,TRUE,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12
2021R104,2021,1,20/03/2021,Adelaide Oval,4:05 PM,26985,Adelaide,103,Geelong,91,0,2,FALSE,FALSE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4
2021R105,2021,1,20/03/2021,Docklands,7:25 PM,25128,Essendon,91,Hawthorn,92,0,0,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15
2021R106,2021,1,20/03/2021,Gabba,6:45 PM,22762,Brisbane Lions,94,Sydney,125,20.8,0,FALSE,FALSE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16
2021R107,2021,1,21/03/2021,Docklands,1:10 PM,13050,North Melbourne,65,Port Adelaide,117,3.2,0,FALSE,FALSE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
2021R108,2021,1,21/03/2021,Sydney Showground,3:20 PM,5014,Greater Western Sydney,78,St Kilda,86,114.4,0,FALSE,FALSE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6
2021R109,2021,1,21/03/2021,Perth Stadium,3:10 PM,38493,West Coast,83,Gold Coast,58,0,2,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14
2021R201,2021,2,25/03/2021,M.C.G.,7:20 PM,51723,Carlton,85,Collingwood,106,3.8,0,FALSE,FALSE,0,0,2,1,-126,-243,-73.28125,-86,62.34782609,67.32608696,68.45217391,75.34057971,67.16074017,73.64973257,11,8
2021R202,2021,2,26/03/2021,Kardinia Park,7:50 PM,20070,Geelong,81,Brisbane Lions,80,0.4,2,FALSE,FALSE,0,0,3,2,232,115,-54.53703704,-18.03571429,64.89130435,68.7826087,66.17826087,66.22644928,66.70230331,66.48417012,4,2
2021R203,2021,2,27/03/2021,S.C.G.,1:45 PM,23946,Sydney,121,Adelaide,88,0,2,TRUE,TRUE,2,0,3,3,-206,7,-51.12962963,-47.67592593,80,67.93478261,74.22608696,65.90072464,73.4278813,66.75809179,16,18
2021R204,2021,2,27/03/2021,Adelaide Oval,4:05 PM,29978,Port Adelaide,119,Essendon,65,3.8,2,TRUE,FALSE,2,0,2,1,-105,81,-41.05555556,-35.75,64.06521739,55.54347826,70.95652174,66.96485507,70.91624396,67.58718944,1,13
2021R205,2021,2,27/03/2021,Docklands,7:25 PM,25903,St Kilda,73,Melbourne,91,4.2,0,TRUE,TRUE,0,0,2,2,-10,-42,-74.36111111,-41.55,65.82608696,63.58695652,67.79094203,68.15434783,66.95793651,67.90797101,6,9
