round,player,team,score
2,1,Jobe Watson,166
2,2,Justin Westhoff,163
2,3,Pearce Hanley,160
2,4,Jamie Elliott,159
2,5,Jimmy Bartel,157
2,6,Dyson Heppell,149
2,7,Chad Wingard,145
2,8,Jarrad McVeigh,144
2,8,Tom Bellchambers,144
2,10,Will Minson,143
2,11,Scott Thompson,140
2,11,Joel Selwood,140
2,13,Stewart Crameri,139
2,14,Jack Riewoldt,138
2,15,Sam Mitchell,134
2,16,Thomas Liberatore,133
2,16,Luke Parker,133
2,18,Jeff Garlett,131
2,18,Steele Sidebottom,131
2,20,Ben McEvoy,130
2,20,Kieren Jack,130
2,22,Brendon Goddard,129
2,23,Brent Stanton,128
2,24,Nathan Fyfe,127
2,24,Ben Howlett,127
2,26,Grant Birchall,126
2,27,Adam Cooney,124
2,28,Kane Cornes,123
2,28,Travis Boak,123
2,28,Charlie Dixon,123
2,31,Aaron Mullett,122
2,32,Mike Pyke,121
2,32,Scott Pendlebury,121
2,34,Cyril Rioli,120
2,34,David Swallow,120
2,34,Jaeger O'Meara,120
2,37,Trent Cotchin,119
2,38,Ryan O'Keefe,118
2,38,Dean Cox,118
2,40,James Frawley,117
2,41,Clinton Jones,116
2,41,Lance Franklin,116
2,41,Jeremy Howe,116
2,44,Quinten Lynch,114
2,44,Brett Deledio,114
2,44,Paul Chapman,114
2,47,Reece Conca,113
2,47,Matthew Priddis,113
2,49,Matthew Broadbent,111
2,49,Clay Smith,111
2,49,Andrew Swallow,111
2,49,Ryan Lester,111
2,49,Nick Riewoldt,111
2,49,Ryan Bastinac,111
2,55,Sam Dwyer,110
2,56,Matthew Kreuzer,109
2,56,Tom Rockliff,109
2,58,Josh Kennedy Injured,108
2,59,Daniel Hannebery,107
2,59,Patrick Dangerfield,107
2,61,Daniel Merrett,106
2,61,Ivan Maric,106
2,63,Josh Jenkins,105
2,63,Tendai Mzungu,105
2,63,Sam Jacobs,105
2,63,Todd Goldstein,105
2,67,Josh Hill,104
2,68,Dane Swan,103
2,68,David Zaharakis,103
2,68,Michael Rischitelli,103
2,68,Luke Hodge,103
2,68,Beau Waters,103
2,68,Joshua Kennedy,103
2,68,Max Bailey,103
2,75,Angus Monfries,102
2,75,Daniel Cross,102
2,75,Jonathon Griffin,102
2,75,Luke Shuey,102
2,79,Ryan Schoenmakers,101
2,79,Matthew Leuenberger,101
2,81,Brad Ebert,100
2,81,Michael Walters,100
2,81,Heath Shaw,100
2,81,Lachie Whitfield,100
2,81,Rory Sloane,100
2,81,Luke McPharlin,100
2,81,Scott McMahon,100
2,88,Jarryd Blair,99
2,88,Gary Ablett,99
2,88,Michael Hurley,99
2,88,Troy Chaplin,99
2,88,Dean Brogan,99
2,88,Richard Douglas,99
2,88,Ben Rutten,99
2,95,Luke Breust,98
2,95,Leigh Montagna,98
2,95,Brett Goodes,98
2,95,Scott Thompson,98
2,95,Jack Ziebell,98
2,100,Martin Clarke,97
2,100,Michael Barlow,97
2,100,Joel Corey,97
2,100,Luke Brown,97
2,104,Sam Gilbert,96
2,104,Matthew Pavlich,96
2,104,Nick Dal Santo,96
2,107,Stephen Coniglio,95
2,107,Brent Moloney,95
2,109,Shaun Atley,93
2,109,Chris Masten,93
2,109,Heritier Lumumba,93
2,109,Kane Lucas,93
2,109,Lewis Stevenson,93
2,114,Marc Murphy,92
2,114,Dylan Shiel,92
2,114,Dustin Martin,92
2,114,Shaun Grigg,92
2,118,Jasper Pittard,91
2,118,Paul Duffield,91
2,118,Callan Ward,91
2,118,Colin Garland,91
2,118,Mark Baguley,91
2,118,Chris Judd,91
2,118,Drew Petrie,91
2,118,Tom Hawkins,91
2,126,Thomas Murphy,90
2,126,Dylan Roberton,90
2,126,Michael Hibberd,90
2,129,Jarryd Roughead,89
2,129,Sam Gibson,89
2,129,Ryan Griffen,89
2,129,David Myers,89
2,133,Patrick Ryder,88
2,134,Luke McGuane,87
2,134,Jude Bolton,87
2,134,Corey Enright,87
2,137,Luke Dahlhaus,86
2,137,Sam Butler,86
2,137,Dustin Fletcher,86
2,137,Bryce Gibbs,86
2,137,Andrejs Everitt,86
2,137,Jake Neade,86
2,143,Toby Greene,85
2,143,Isaac Smith,85
2,143,Alipate Carlile,85
2,143,Campbell Heath,85
2,143,Christopher Yarran,85
2,143,Hayden Crozier,85
2,143,Brad Crouch,85
2,143,Taylor Hunt,85
2,151,Jordan Russell,84
2,151,James Kelly,84
2,151,Dion Prestia,84
2,151,David Mundy,84
2,151,Courtenay Dempsey,84
2,156,Jarrod Harbrow,83
2,156,Mitchell Wallis,83
2,156,Jordan Lewis,83
2,159,Ben Reid,82
2,159,Jonathan Giles,82
2,159,Jack Redden,82
2,159,Jake King,82
2,163,Jared Petrenko,80
2,163,Brent Reilly,80
2,163,Michael Jamison,80
2,163,Jack Grimes,80
2,163,Nathan Jones,80
2,163,Paul Stewart,80
2,163,Matthew Jaensch,80
2,163,Liam Anthony,80
2,171,Cameron O'Shea,79
2,171,Lenny Hayes,79
2,171,Travis Cloke,79
2,171,Dayne Zorko,79
2,171,Mitchell Golby,79
2,171,Jonathon Patton,79
2,171,Kepler Bradley,79
2,171,David Armitage,79
2,179,Mathew Stokes,78
2,179,Jack Hutchins,78
2,179,Jack Steven,78
2,179,Tyson Goldsack,78
2,183,Jake Carlisle,77
2,183,Daniel Rich,77
2,185,Jake Melksham,76
2,185,Matthew Warnock,76
2,185,Tomas Bugg,76
2,188,Rhys Stanley,75
2,188,Ricky Petterd,75
2,188,Matthew De Boer,75
2,188,Nick Malceski,75
2,188,Allen Christensen,75
2,188,Mitch Robinson,75
2,188,Leigh Adams,75
2,195,Andrew Embley,74
2,195,Brandon Matera,74
2,195,Scott Selwood,74
2,195,Kade Simpson,74
2,199,Nathan Van Berlo,73
2,199,Brad Sewell,73
2,201,Elliot Yeo,72
2,201,David Hale,72
2,201,Josh Caddy,72
2,201,Shane Mumford,72
2,201,Lachlan Henderson,72
2,206,Danyle Pearce,71
2,206,Tim Mohr,71
2,206,Adam Treloar,71
2,206,Ben McGlynn,71
2,206,Bradley Hill,71
2,206,Sean Dempster,71
2,206,Chris Newman,71
2,213,Andrew Walker,70
2,213,Alwyn Davey,70
2,213,Jeremy Cameron,70
2,213,Shaun Burgoyne,70
2,213,Stephen Hill,70
2,213,Lindsay Thomas,70
2,213,Liam Picken,70
2,220,James Polkinghorne,69
2,220,Sam Fisher,69
2,220,Steven Motlop,69
2,220,Shane Edwards,69
2,220,Thomas Young,69
2,220,Jack Darling,69
2,226,Robert Murphy,68
2,226,Daniel Wells,68
2,226,Bradley Sheppard,68
2,229,Ben Sinclair,67
2,229,Nick Maxwell,67
2,229,Shannon Hurn,67
2,229,Andrew Mackie,67
2,229,Tom Lonergan,67
2,229,Joel Patfull,67
2,229,Aaron Hall,67
2,236,Brent Guerra,66
2,236,Jay Schulz,66
2,236,Clancee Pearce,66
2,236,David MacKay,66
2,236,Bachar Houli,66
2,241,Steven Morris,65
2,241,Jackson Trengove,65
2,241,James Podsiadly,65
2,241,Lewis Jetta,65
2,241,Sam Rowe,65
2,246,Sam Reid Injured,64
2,246,Matthew Lobbe,64
2,246,Andrew Carrazzo,64
2,246,Dale Morris,64
2,250,Travis Varcoe,63
2,250,Josh Gibson,63
2,252,Nicholas Suban,62
2,252,Nathan Grima,62
2,252,Michael Johnson,62
2,255,Liam Shiels,61
2,255,Jed Adcock,61
2,255,Christopher Mayne,61
2,255,Matthew Wright,61
2,255,Thomas Jonas,61
2,255,Stephen Gilham,61
2,255,Jamie MacMillan,61
2,262,Mark Jamar,60
2,262,Brent Macaffer,60
2,262,Nick Smith,60
2,262,Ted Richards,60
2,262,Adam Selwood,60
2,262,Rhyce Shaw,60
2,268,Aaron Davey,59
2,268,Andrew Raines,59
2,268,Jason Porplyzia,59
2,268,Ben Johnson,59
2,268,Tyrone Vickery,59
2,273,Joshua Green,58
2,273,Tom McDonald,58
2,273,Jackson Merrett,58
2,273,Matt Shaw,58
2,273,Stefan Martin,58
2,273,Jason Johannisen,58
2,273,Shane Tuck,58
2,280,Steven May,57
2,280,Daniel Talia,57
2,280,Terry Milera,57
2,280,Robbie Tarrant,57
2,284,Karmichael Hunt,56
2,284,Mark Blicavs,56
2,284,Ahmed Saad,56
2,284,Dean Terlich,56
2,288,Nick Lower,55
2,288,Tom Bell,55
2,290,Joel Wilkinson,54
2,290,Devon Smith,54
2,290,Benjamin Stratton,54
2,293,Rhys Palmer,53
2,293,Jack Watts,53
2,293,Harley Bennell,53
2,293,Adam Kennedy,53
2,293,Liam Jones,53
2,293,Zach Tuohy,53
2,293,Ricky Henderson,53
2,300,Heath Grundy,52
2,301,Darren Glass,51
2,301,Lee Spurr,51
2,301,Oliver Wines,51
2,304,Heath Hocking,50
2,304,Mitchell Duncan,50
2,306,Adam Goodes,49
2,306,Jack Viney,49
2,306,Cale Hooker,49
2,306,Beau Maister,49
2,306,Jake Batchelor,49
2,311,Bernie Vince,48
2,311,Matt Jones,48
2,311,Alan Toovey,48
2,311,Jarryn Geary,48
2,311,Shaun Higgins,48
2,311,Daniel Jackson,48
2,311,Dennis Armfield,48
2,318,Claye Beams,47
2,318,Andrew Gaff,47
2,318,Ben Cunnington,47
2,318,Alex Rance,47
2,318,Tom Scully,47
2,323,Lewis Roberts-Thomson,46
2,323,Jordan Roughead,46
2,323,Phil Davis,46
2,323,Daniel Nicholson,46
2,323,Jed Anderson,46
2,323,Adam Schneider,46
2,323,Liam Sumner,46
2,323,Luke Russell,46
2,331,Mitchell Clark,44
2,331,Rohan Bewick,44
2,331,Jason Blake,44
2,331,Harry Taylor,44
2,335,Andy Otten,43
2,336,Callum Sinclair,41
2,337,Thomas Gillies,40
2,338,Marcus Davies,39
2,338,Taylor Walker,39
2,340,Zac Dawson,38
2,340,Nathan Brown,38
2,340,Hamish Hartlett,38
2,340,Shannon Byrnes,38
2,344,Jack Newnes,37
2,344,Jack Trengove,37
2,346,Paul Puopolo,36
2,346,Billie Smedts,36
2,348,James Sellar,35
2,348,Brock McLean,35
2,348,Cameron Sutcliffe,35
2,348,Zac Smith,35
2,348,Brandon Ellis,35
2,353,Tory Dickson,34
2,354,Arryn Siposs,33
2,354,Jonathan Brown,33
2,354,Sam Day,33
2,354,Michael Firrito,33
2,354,Daniel Giansiracusa,33
2,354,Martin Mattner,33
2,360,Jamie Cripps,32
2,360,Lachlan Hansen,32
2,360,Dylan Grimes,32
2,363,Koby Stevens,30
2,363,Lachlan Plowman,30
2,363,Stephen Milne,30
2,363,Jeremy Laidler,30
2,363,Trent West,30
2,368,Jarrad Redden,29
2,368,Curtly Hampton,29
2,368,Will Schofield,29
2,371,Ben Jacobs,28
2,371,Mitchell Brown,28
2,373,Ian Callinan,27
2,374,Rory Thompson,26
2,374,Shane Savage,26
2,376,Jimmy Toumpas,24
2,377,Ayce Cordy,23
2,377,Bradd Dalziell,23
2,379,Ashley McGrath,22
2,380,Levi Casboult,21
2,380,Colin Sylvia,21
2,380,Sam Blease,21
2,380,Ryan Crowley,21
2,380,Ashton Hams,21
2,380,Kieran Harper,21
2,380,Nicholas Kommer,21
2,380,Paul Seedsman,21
2,388,Mitchell Brown,20
2,389,Joshua Bootsma,18
2,390,David Rodan,15
2,390,Kane Mitchell,15
2,390,Jared Brennan,15
2,393,Craig Bird,12
2,394,Will Hoskin-Elliott,11
2,395,Patrick Karnezis,8
2,396,Darren Jolly,1
