gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition
2016R101,2016,1,24/03/2016,M.C.G.,7:20 PM,75706,Richmond,92,Carlton,83,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,5,18
2016R102,2016,1,26/03/2016,M.C.G.,1:40 PM,28505,Melbourne,80,Greater Western Sydney,78,0.4,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,13,11
2016R103,2016,1,26/03/2016,Carrara,3:35 PM,16239,Gold Coast,121,Essendon,60,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,16,15
2016R104,2016,1,26/03/2016,Docklands,7:25 PM,25485,North Melbourne,107,Adelaide,97,0.4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,8,7
2016R105,2016,1,26/03/2016,S.C.G.,7:25 PM,33857,Sydney,133,Collingwood,53,0.2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,4,12
2016R106,2016,1,27/03/2016,Docklands,1:10 PM,27832,Western Bulldogs,103,Fremantle,38,1.4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6,1
2016R107,2016,1,27/03/2016,Adelaide Oval,2:50 PM,42896,Port Adelaide,133,St Kilda,100,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,0,9,14
2016R108,2016,1,27/03/2016,Subiaco,4:40 PM,35201,West Coast,166,Brisbane Lions,102,6.6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,2,17
2016R109,2016,1,28/03/2016,M.C.G.,3:20 PM,74218,Geelong,116,Hawthorn,86,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,10,3
2016R201,2016,2,1/04/2016,M.C.G.,7:50 PM,72761,Collingwood,87,Richmond,86,0,2,0,1,0,0,4,3,251,13,-76.04166667,-78.58101852,69.45454545,67.18181818,70.06666667,73.71590909,70.20015332,74.83739177,12,5,53,133,39.84962406,92,83,110.8433735,17,7
2016R202,2016,2,2/04/2016,Adelaide Oval,1:15 PM,50555,Adelaide,144,Port Adelaide,86,0,2,0,1,0,0,1,3,174,375,-50.16666667,-56.32407407,81.06818182,77.88636364,75.3969697,74.95795455,78.05583514,75.04223485,7,9,97,107,90.65420561,133,100,133,11,6
2016R203,2016,2,2/04/2016,M.C.G.,2:10 PM,50424,Essendon,80,Melbourne,67,0,2,0,1,0,0,3,2,190,-213,-40.53174603,-40.66666667,64.93181818,71.75,68.91515152,74.77878788,68.10439214,72.94705087,15,13,60,121,49.58677686,80,78,102.5641026,16,9
2016R204,2016,2,2/04/2016,Gabba,3:35 PM,18021,Brisbane Lions,83,North Melbourne,117,0,0,0,1,3,0,3,2,-156,-33,-70.66666667,0,58.79545455,70.70454545,69.65795455,69.47121212,70.16084957,69.3467803,17,8,102,166,61.44578313,107,97,110.3092784,15,8
2016R205,2016,2,2/04/2016,Docklands,7:25 PM,37353,St Kilda,36,Western Bulldogs,93,0,0,0,1,0,0,2,0,-2,0,-36.58333333,0,57.38636364,71.40909091,68.99621212,79.88484848,70.38488456,81.76871392,14,6,100,133,75.18796992,103,38,271.0526316,13,1
