round,player,team,score
10,1,Drew Petrie,178
10,2,Ryan Griffen,176
10,3,Andrew Walker,150
10,4,Jack Redden,149
10,5,Paul Seedsman,145
10,6,Michael Barlow,141
10,7,Scott Selwood,140
10,8,Brent Harvey,137
10,9,Darren Jolly,136
10,10,Mitchell Duncan,135
10,10,Aaron Mullett,135
10,12,Rory Sloane,134
10,13,Will Minson,133
10,14,Dane Swan,131
10,14,Brett Deledio,131
10,14,Aaron Black,131
10,17,Gary Ablett,129
10,17,Shane Mumford,129
10,17,Jordan Lewis,129
10,17,Thomas Liberatore,129
10,21,Callan Ward,128
10,22,Steele Sidebottom,127
10,23,Josh Kennedy Injured,126
10,24,Ryan Bastinac,125
10,24,Patrick Dangerfield,125
10,26,Brent Stanton,124
10,27,Rory Laird,122
10,27,Matthew Kreuzer,122
10,29,Jack Hombsch,121
10,29,Kieren Jack,121
10,29,Simon White,121
10,32,Richard Douglas,120
10,32,Todd Goldstein,120
10,34,Jimmy Bartel,119
10,34,Scott Pendlebury,119
10,36,Nick Malceski,118
10,36,Grant Birchall,118
10,38,Scott Thompson,117
10,38,Brad Sewell,117
10,40,Jarrad McVeigh,116
10,41,Simon Black,115
10,41,Jeff Garlett,115
10,41,Michael Hibberd,115
10,44,Christopher Yarran,114
10,44,Colin Garland,114
10,44,Andrew Swallow,114
10,44,Craig Bird,114
10,44,Kane Cornes,114
10,49,Zachary Clarke,112
10,49,Brad Ebert,112
10,51,Luke Shuey,111
10,52,Stephen Hill,110
10,52,Adam Goodes,110
10,54,Dion Prestia,109
10,55,Ben Cunnington,108
10,55,Nick Vlastuin,108
10,55,Nathan Fyfe,108
10,55,Lachlan Henderson,108
10,59,Jack Steven,107
10,59,Mark Blicavs,107
10,59,Dyson Heppell,107
10,59,Justin Westhoff,107
10,63,Luke Parker,106
10,64,Tom Logan,105
10,64,Andrew Mackie,105
10,64,Luke Ball,105
10,67,Nicholas Naitanui,104
10,67,David Rodan,104
10,67,Nick Dal Santo,104
10,70,Shane Edwards,102
10,71,Joel Corey,101
