round,player,team,score
20,1,Rory Sloane,180
20,2,Joel Selwood,160
20,3,Matthew Lobbe,154
20,4,Scott Pendlebury,150
20,4,Jarrad McVeigh,150
20,6,David Swallow,135
20,7,Sam Jacobs,133
20,8,Daniel Jackson,131
20,9,Kurt Tippett,130
20,9,Michael Hibberd,130
20,9,Christopher Mayne,130
20,12,Leigh Montagna,129
20,12,Jarrad Grant,129
20,14,Dane Swan,128
20,15,Angus Monfries,126
20,15,Callan Ward,126
20,15,Tom Rockliff,126
20,18,Brandon Ellis,125
20,19,Nicholas Suban,124
20,19,Daniel Wells,124
20,19,Richard Douglas,124
20,22,Harley Bennell,122
20,22,Jack Darling,122
20,22,Brendon Goddard,122
20,25,Zachary Clarke,120
20,25,Lachie Neale,120
20,25,Joel Corey,120
20,25,Steven Motlop,120
20,25,Will Minson,120
20,30,Harry Taylor,119
20,31,Jobe Watson,118
20,31,Brett Deledio,118
20,31,Reece Conca,118
20,34,Matthew Priddis,116
20,35,Sam Mitchell,115
20,36,Luke Ball,114
20,36,Allen Christensen,114
20,36,Ryan Griffen,114
20,36,Luke Dahlhaus,114
20,40,Heath Hocking,113
20,40,Ben Cunnington,113
20,40,Jarryd Roughead,113
20,40,Josh Thomas,113
20,40,Sam Gibson,113
20,45,Jack Watts,112
20,45,Andrew Mackie,112
20,45,Nick Riewoldt,112
20,48,Shane Mumford,111
20,49,Dustin Martin,110
20,49,Edward Curnow,110
20,51,Todd Goldstein,109
20,51,Steele Sidebottom,109
20,53,Brad Ebert,108
20,53,Luke Breust,108
20,55,Farren Ray,107
20,55,Dean Cox,107
20,57,Eddie Betts,106
20,58,Travis Boak,105
20,58,Michael Barlow,105
20,58,Troy Chaplin,105
20,58,Nathan Fyfe,105
20,62,Shane Savage,104
20,62,Brad Crouch,104
20,64,Trent Cotchin,103
20,64,Shaun Burgoyne,103
20,64,Jake Spencer,103
20,64,David Mundy,103
20,68,Nathan Jones,102
20,69,Patrick Dangerfield,101
20,69,Tomas Bugg,101
20,69,Adam Cooney,101
20,69,Kane Cornes,101
20,69,Zachary Williams,101
20,74,Jack Steven,100
20,74,Jamie Elliott,100
20,74,Mark Baguley,100
20,74,Justin Westhoff,100
20,78,Tendai Mzungu,99
20,78,Michael Walters,99
20,78,Matthew White,99
20,78,Ivan Maric,99
20,82,Colin Sylvia,98
20,82,Heritier Lumumba,98
20,84,Cameron Guthrie,97
20,84,Dean Terlich,97
20,84,Colin Garland,97
20,84,Jake Melksham,97
20,84,Jordan Lewis,97
20,89,Sharrod Wellingham,96
20,89,Thomas Liberatore,96
20,89,Dayne Beams,96
20,89,Bachar Houli,96
20,89,Steve Johnson,96
20,94,Josh Gibson,95
20,94,Robert Warnock,95
20,94,Nick Dal Santo,95
20,94,Pearce Hanley,95
20,98,Brent Guerra,94
20,98,Shaun Atley,94
20,98,Jaeger O'Meara,94
20,98,Ricky Henderson,94
20,98,Marley Williams,94
20,103,Josh Kennedy Injured,93
20,103,Mark Lecras,93
20,103,James Podsiadly,93
20,103,Jack Viney,93
20,103,Brodie Smith,93
20,103,Ashley Smith,93
20,109,Marc Murphy,92
20,109,Danyle Pearce,92
20,109,Scott Selwood,92
20,109,Jack Grimes,92
20,109,Dion Prestia,92
20,114,Jack Fitzpatrick,91
20,114,Nathan Foley,91
20,114,Jamie MacMillan,91
20,114,Steven Morris,91
20,118,Mitchell Grigg,90
20,118,Robert Murphy,90
20,118,Corey Enright,90
20,118,Nick Malceski,90
20,118,Sam Butler,90
20,118,Jack Redden,90
20,118,Daniel Rich,90
20,125,Leigh Adams,89
20,125,Toby Greene,89
20,125,Thomas Young,89
20,125,Jed Adcock,89
20,125,Liam Picken,89
20,125,Chris Masten,89
20,125,Campbell Brown,89
20,125,Chris Judd,89
20,133,Tayte Pears,88
20,133,Tyrone Vickery,88
20,133,Ryan Crowley,88
20,136,Lynden Dunn,87
20,136,Ryan O'Keefe,87
20,136,Jarrod Harbrow,87
20,136,Isaac Smith,87
20,140,Dyson Heppell,86
20,140,Lee Spurr,86
20,140,David Hale,86
20,140,Daniel Talia,86
20,140,Jordan Roughead,86
20,145,Luke McGuane,85
20,145,David Astbury,85
20,145,Robbie Gray,85
20,145,Rory Laird,85
20,145,Mike Pyke,85
20,145,Paul Puopolo,85
20,151,Jude Bolton,84
20,151,Bradd Dalziell,84
20,151,Devon Smith,84
20,151,Hayden Ballantyne,84
20,151,Brent Stanton,84
20,156,Brock McLean,83
20,156,Thomas Curren,83
20,156,Jason Blake,83
20,156,Andrew Walker,83
20,156,Bryce Gibbs,83
20,161,James Kelly,82
20,161,Andy Otten,82
20,161,Greg Broughton,82
20,164,Mark Austin,81
20,164,Michael Jamison,81
20,164,Brendan Whitecross,81
20,164,Daniel Gorringe,81
20,164,Matthew Leuenberger,81
20,164,Dale Morris,81
20,170,Luke Delaney,80
20,170,Hamish Hartlett,80
20,170,Jack Riewoldt,80
20,170,Thomas Murphy,80
20,174,Aaron Hall,79
20,174,Matthew De Boer,79
20,174,Daniel Hannebery,79
20,174,Brent Staker,79
20,174,Lenny Hayes,79
20,179,Sam Shaw,78
20,179,Adam Treloar,78
20,179,David Armitage,78
20,179,Alex Silvagni,78
20,183,Alex Rance,77
20,183,Ted Richards,77
20,183,Jeremy Cameron,77
20,183,Danny Stanley,77
20,183,Jack Trengove,77
20,183,Mitchell Wallis,77
20,183,Cale Hooker,77
20,190,Jarryn Geary,76
20,190,Stephen Coniglio,76
20,190,Ben McEvoy,76
20,190,Jay Schulz,76
20,190,Daniel Giansiracusa,76
20,190,Daniel Cross,76
20,190,Brodie Grundy,76
20,197,Heath Scotland,75
20,197,Kieren Jack,75
20,197,Matthew Spangher,75
20,197,Luke Tapscott,75
20,197,Aaron Mullett,75
20,202,Shannon Byrnes,74
20,202,Jasper Pittard,74
20,202,Drew Petrie,74
20,202,Dylan Roberton,74
20,202,Craig Bird,74
20,202,Shaun Grigg,74
20,202,Paul Duffield,74
20,209,Patrick Ryder,73
20,209,Sebastian Tape,73
20,209,Mitchell Clisby,73
20,209,Jack Gunston,73
20,209,Brad Sewell,73
20,214,Lachlan Hansen,72
20,214,Charlie Dixon,72
20,214,Phil Davis,72
20,214,Dean Kent,72
20,214,Tom Campbell,72
20,214,Ben Sinclair,72
20,220,James Strauss,71
20,220,Koby Stevens,71
20,220,Joshua Bootsma,71
20,220,Michael Johnson,71
20,220,Rhyce Shaw,71
20,225,Tom McDonald,70
20,225,Kyle Hardingham,70
20,225,Lewis Johnston,70
20,228,Jamie Cripps,69
20,228,Scott Thompson,69
20,228,Rory Thompson,69
20,228,Nathan Blee,69
20,228,Chad Wingard,69
20,228,Mitchell Brown,69
20,228,David Zaharakis,69
20,228,Brent Macaffer,69
