round,player,team,score
5,1,Steve Johnson,160
5,1,Gary Ablett,160
5,3,Nick Riewoldt,152
5,4,Dayne Zorko,151
5,5,Trent Cotchin,144
5,6,Charlie Dixon,142
5,7,David Zaharakis,140
5,7,Hamish Hartlett,140
5,9,Harry Taylor,138
5,10,Sam Mitchell,137
5,11,Steele Sidebottom,136
5,11,Scott Pendlebury,136
5,13,Brandon Ellis,134
5,14,Devon Smith,132
5,15,Lenny Hayes,131
5,16,Heath Shaw,130
5,17,Brent Moloney,127
5,17,Cameron O'Shea,127
5,17,Dane Swan,127
5,20,Brock McLean,126
5,20,Jobe Watson,126
5,22,Daniel Wells,125
5,22,Andrew Swallow,125
5,22,Jarrad McVeigh,125
5,22,Ben Reid,125
5,26,Luke Parker,124
5,26,Joshua Kennedy,124
5,26,Andrew Walker,124
5,26,Cyril Rioli,124
5,30,Jason Winderlich,123
5,30,Jonathon Griffin,123
5,32,James Polkinghorne,122
5,33,Todd Goldstein,119
5,33,Brent Stanton,119
5,33,Jaeger O'Meara,119
5,36,Zac Smith,118
5,36,Matthew Leuenberger,118
5,38,Dustin Martin,115
5,38,Michael Hibberd,115
5,38,Bradd Dalziell,115
5,41,Kieren Jack,114
5,42,Tom Rockliff,113
5,42,Bachar Houli,113
5,42,Callan Ward,113
5,42,Rhys Palmer,113
5,46,Jack Redden,111
5,46,Alex Rance,111
5,46,Leigh Montagna,111
5,46,Ted Richards,111
5,50,Josh Kennedy Injured,109
5,50,Tom Bellchambers,109
5,50,Michael Osborne,109
5,50,Jimmy Bartel,109
5,54,Hayden Ballantyne,108
5,54,Trent McKenzie,108
5,56,Liam Jones,107
5,56,Lee Spurr,107
5,56,Matthew Boyd,107
5,56,Daniel Hannebery,107
5,60,Jonathan Brown,106
5,60,Andrew Carrazzo,106
5,62,Luke Shuey,105
5,62,Chris Judd,105
5,62,Richard Douglas,105
5,62,Andrew Gaff,105
5,62,Dean Cox,105
5,67,Ryan O'Keefe,104
5,67,Jeff Garlett,104
5,67,Thomas Young,104
5,70,Dyson Heppell,103
5,70,Shannon Hurn,103
5,72,Jason Johannisen,102
5,72,Brett Deledio,102
5,72,Kade Simpson,102
5,72,Will Minson,102
5,76,Robert Warnock,101
5,76,Scott Selwood,101
5,78,Sam Butler,100
5,79,Heath Scotland,99
5,79,Marc Murphy,99
5,81,Andrew Mackie,98
5,81,Steven Motlop,98
5,81,Dylan Shiel,98
5,81,Colin Sylvia,98
5,81,Ashley McGrath,98
5,86,Michael Johnson,97
5,86,Shannon Byrnes,97
5,86,Bradley Hill,97
5,89,Sam Mayes,95
5,89,Mitchell Golby,95
5,89,Thomas Liberatore,95
5,89,Rohan Bewick,95
5,89,Tom Lynch,95
5,89,Sam Gilbert,95
5,89,Tyrone Vickery,95
5,89,Travis Boak,95
5,97,Brendon Goddard,94
5,97,James Kelly,94
5,97,Bernie Vince,94
5,97,Lindsay Thomas,94
5,97,Christopher Yarran,94
5,102,Courtenay Dempsey,93
5,102,Chad Wingard,93
5,102,Daniel Jackson,93
5,102,Matt Shaw,93
5,102,Jack Grimes,93
5,102,Jarryn Geary,93
5,102,Nathan Fyfe,93
5,109,Michael Barlow,92
5,110,Matthew Lobbe,91
5,110,Liam Picken,91
5,110,Angus Monfries,91
5,113,Ben McEvoy,90
5,113,Jack Gunston,90
5,113,Luke McPharlin,90
5,113,Clancee Pearce,90
5,117,Shaun Burgoyne,89
5,117,Brent Reilly,89
5,117,Patrick Dangerfield,89
5,117,Mitch Robinson,89
5,117,Jed Adcock,89
5,117,Jack Watts,89
5,123,Tony Armstrong,88
5,123,David Swallow,88
5,123,Mark Jamar,88
5,123,Luke Dahlhaus,88
5,123,Corey Enright,88
5,123,Tim Mohr,88
5,129,Lewis Stevenson,87
5,129,Nicholas Suban,87
5,129,Setanta O'hAilpin,87
5,129,Clinton Jones,87
5,129,Aaron Black,87
5,129,Mathew Stokes,87
5,129,Joel Selwood,87
5,129,Jude Bolton,87
5,137,Quinten Lynch,86
5,137,Billie Smedts,86
5,137,Sam Fisher,86
5,137,Michael Rischitelli,86
5,137,Andy Otten,86
5,142,Josh Hill,85
5,142,Thomas Murphy,85
5,142,Dion Prestia,85
5,145,Jamie Cripps,84
5,145,Sam Day,84
5,145,Scott Thompson,84
5,145,George Horlin-Smith,84
5,149,Mike Pyke,83
5,149,Drew Petrie,83
5,149,Garrick Ibbotson,83
5,149,Ivan Maric,83
5,149,Sam Gibson,83
5,154,Daniel Cross,82
5,154,Brodie Smith,82
5,154,Oliver Wines,82
5,154,Stephen Hill,82
5,154,Ben Cunnington,82
5,154,Koby Stevens,82
5,154,Matthew De Boer,82
