round,player,team,score
12,1,Patrick Dangerfield,150
12,2,Dane Swan,149
12,3,Gary Ablett,147
12,4,Scott Pendlebury,145
12,5,Brett Deledio,141
12,6,David Mundy,139
12,7,Garrick Ibbotson,137
12,8,Heath Shaw,136
12,9,Travis Boak,134
12,10,Bryce Gibbs,132
12,11,Jobe Watson,130
12,12,Brendon Goddard,129
12,12,Ryan Griffen,129
12,12,Cameron O'Shea,129
12,15,Travis Cloke,128
12,15,Chris Judd,128
12,17,Brandon Ellis,127
12,18,Dustin Martin,126
12,19,Kane Cornes,125
12,20,Lance Franklin,124
12,20,Ivan Maric,124
12,22,Brock McLean,122
12,23,Robert Murphy,121
12,24,Jaeger O'Meara,116
12,24,Stewart Crameri,116
12,26,Michael Barlow,115
12,27,Michael Johnson,114
12,27,Sam Mitchell,114
12,29,Kade Simpson,113
12,30,Bachar Houli,112
12,30,Angus Monfries,112
12,32,Matthew Kreuzer,111
12,32,Jay Schulz,111
12,34,Chad Wingard,110
12,35,Brad Ebert,108
12,35,Jamie Elliott,108
12,35,Thomas Liberatore,108
12,35,Trent McKenzie,108
12,39,Clancee Pearce,107
12,39,Eddie Betts,107
12,39,Danyle Pearce,107
12,42,Scott Thompson,105
12,42,Grant Birchall,105
12,44,Sam Mayes,104
12,44,Brent Stanton,104
12,46,Nathan Foley,103
12,46,Trent Cotchin,103
12,48,Matthew Leuenberger,102
12,49,Patrick Ryder,101
12,50,Jack Gunston,100
12,51,Josh Thomas,99
12,52,Brian Lake,98
12,52,Matthew Boyd,98
12,52,Joe Daniher,98
12,55,Rory Thompson,97
12,56,Tom Scully,96
12,56,Josh Gibson,96
12,58,Christopher Mayne,95
12,58,Cale Hooker,95
12,58,Jack Riewoldt,95
12,61,Rory Sloane,94
12,61,Michael Talia,94
12,61,Hamish Hartlett,94
12,64,Zachary Clarke,93
12,64,Jack Hombsch,93
12,66,Dale Morris,92
12,66,Jarryd Roughead,92
12,66,Tendai Mzungu,92
12,66,Andrew Walker,92
12,70,Luke Hodge,91
12,70,Darren Jolly,91
12,70,Pearce Hanley,91
12,70,Justin Westhoff,91
12,70,Daniel Jackson,91
12,70,Lachie Whitfield,91
12,76,Tom Rockliff,90
12,76,Dyson Heppell,90
12,76,Brett Goodes,90
12,79,Luke McPharlin,89
12,80,Ben Howlett,88
12,80,Heath Scotland,88
12,80,Matthew Broadbent,88
12,80,Michael Hibberd,88
12,80,Ryan Harwood,88
12,85,Paul Puopolo,87
12,85,Sam Jacobs,87
12,85,Callan Ward,87
12,85,Adam Treloar,87
12,89,Shaun Grigg,86
12,89,Jarryd Blair,86
12,89,Jason Porplyzia,86
12,89,Curtly Hampton,86
12,89,Jack Redden,86
12,94,Jonathan Giles,85
12,95,Taylor Adams,84
12,95,Mark Baguley,84
12,97,Jaryd Cachia,83
12,97,David Zaharakis,83
12,97,Toby Greene,83
12,97,Matthew Lobbe,83
12,101,Jordan Roughead,82
12,101,Sam Day,82
12,101,Will Minson,82
12,104,Ian Callinan,81
12,104,Tayte Pears,81
12,104,Stephen Hill,81
12,104,Jordan Lisle,81
12,108,Heath Hocking,80
12,108,Kyle Martin,80
12,110,Steele Sidebottom,79
12,110,Danny Stanley,79
12,110,Oliver Wines,79
12,110,Joel Patfull,79
12,110,Tom Lynch,79
12,110,Nick Vlastuin,79
12,116,Adam Cooney,78
12,117,Jake King,77
12,117,Josh Jenkins,77
12,117,Mitchell Golby,77
12,117,Jed Adcock,77
12,117,Nathan Fyfe,77
12,122,Paul Stewart,76
12,122,Tom Nicholls,76
12,124,Ryan Lester,75
12,124,Jake Carlisle,75
12,124,Aaron Hall,75
12,124,Andy Otten,75
12,124,Shane Edwards,75
12,129,Heritier Lumumba,74
12,129,Benjamin Stratton,74
12,129,Clay Smith,74
12,132,Matt Shaw,73
12,132,Jarrod Harbrow,73
12,132,Richard Douglas,73
12,132,David MacKay,73
12,132,Ryan Crowley,73
12,132,Dayne Zorko,73
12,138,Alex Rance,72
12,138,Lee Spurr,72
12,138,David Hale,72
12,138,Bradley Hill,72
12,138,Tom Logan,72
12,138,Jeremy Cameron,72
12,144,Liam Shiels,71
12,144,Paul Duffield,71
12,146,Koby Stevens,70
12,146,Alipate Carlile,70
12,146,John Butcher,70
12,146,Adam Tomlinson,70
12,146,Adam Kennedy,70
12,151,Daniel Talia,69
12,151,Brodie Smith,69
12,151,Troy Chaplin,69
12,154,Luke Russell,68
12,154,Jake Stringer,68
12,156,Dion Prestia,67
12,156,Simon Black,67
12,156,Max Bailey,67
12,156,David Swallow,67
12,156,David Myers,67
12,161,Jackson Macrae,66
12,161,Taylor Duryea,66
12,161,Matt Thomas,66
12,161,Levi Casboult,66
12,161,Zach Tuohy,66
12,161,Marley Williams,66
12,161,Mitch Robinson,66
12,168,Daniel Rich,65
12,168,Nicholas Kommer,65
12,168,Shaun Burgoyne,65
12,171,Paul Seedsman,64
12,171,Jason Johannisen,64
12,171,Michael Rischitelli,64
12,171,Nick Maxwell,64
12,175,Ashley McGrath,63
12,175,Dylan Shiel,63
12,175,Thomas Jonas,63
12,175,Reece Conca,63
12,179,Brad Sewell,61
12,179,Justin Clarke,61
12,179,Chris Newman,61
12,179,Stephen Coniglio,61
12,183,Michael Hurley,60
12,183,Edward Curnow,60
12,185,Hayden Ballantyne,59
12,185,Luke Dahlhaus,59
12,185,Tim Mohr,59
12,188,Will Hoskin-Elliott,58
12,188,Jason Winderlich,58
12,188,Jake Melksham,58
12,188,Jacob Townsend,58
12,188,Matthew Jaensch,58
12,188,Alwyn Davey,58
12,194,Ben Reid,57
12,194,Jordan Lewis,57
12,194,Samuel Reid,57
12,194,Luke Brown,57
12,194,Rohan Bewick,57
12,194,Jack Hannath,57
12,200,Elliot Yeo,55
12,200,Sam Rowe,55
12,202,Shaun McKernan,54
12,202,Lachlan Henderson,54
12,202,Nick Lower,54
12,202,Ben Sinclair,54
12,202,Matthew Wright,54
12,207,Nicholas Suban,53
12,207,Brent Staker,53
12,209,Thomas Murphy,52
12,210,Ben Rutten,51
12,211,Daniel Giansiracusa,50
12,211,Dennis Armfield,50
12,213,Tim Sumner,49
12,213,Aidan Corr,49
12,213,Jarrad Waite,49
12,213,Zac Dawson,49
12,217,Jonathan Simpkin,48
12,217,Josh Bruce,48
12,217,Ben Kennedy,48
12,220,Michael Jamison,47
12,220,Matthew De Boer,47
12,220,Tyrone Vickery,47
12,223,Kane Lucas,46
12,223,Bernie Vince,46
12,225,Campbell Brown,45
12,226,Nial McKeever,44
12,226,Quinten Lynch,44
12,226,Brent Guerra,44
12,229,Sam Dwyer,43
12,230,Luke Breust,42
12,230,Devon Smith,42
12,232,Nathan Van Berlo,41
12,232,Joel Wilkinson,41
12,234,Isaac Smith,40
12,235,Brent Macaffer,39
12,235,Liam Jones,39
12,237,Zachary Williams,37
12,238,Nathan Brown,36
12,239,Dylan Addison,34
12,239,Aaron Edwards,34
12,239,Rory Laird,34
12,242,Joshua Bootsma,31
12,242,Liam Patrick,31
12,244,Steven Morris,30
12,244,Daniel Gorringe,30
12,246,Liam Picken,29
12,246,David Astbury,29
12,248,Jeff Garlett,28
12,248,Lachlan Plowman,28
12,248,Alex Silvagni,28
12,251,Matthew White,27
12,252,Andrew Raines,24
12,253,Cameron Hitchcock,23
12,254,Marc Murphy,22
12,255,Jack Hutchins,21
12,256,Hayden Crozier,20
12,257,Jake Neade,18
