round,player,team,score
4,1,Travis Cloke,195
4,2,Dane Swan,168
4,3,Scott Thompson,164
4,4,Joel Selwood,163
4,5,Kane Cornes,160
4,6,Shaun Burgoyne,153
4,7,Grant Birchall,152
4,8,Justin Westhoff,149
4,9,Rory Sloane,146
4,10,Hamish Hartlett,144
4,11,Jobe Watson,138
4,12,Adam Cooney,136
4,12,Steele Sidebottom,136
4,14,Jed Adcock,135
4,15,Thomas Liberatore,134
4,16,Christopher Yarran,131
4,16,Richard Douglas,131
4,16,Gary Ablett,131
4,19,Kieren Jack,130
4,20,Scott Selwood,128
4,20,Shannon Byrnes,128
4,22,Brock McLean,127
4,23,Harry Taylor,125
4,23,Jeff Garlett,125
4,25,Mark Lecras,124
4,25,Andy Otten,124
4,27,Nick Malceski,123
4,28,Drew Petrie,120
4,28,Jack Grimes,120
4,28,Patrick Dangerfield,120
4,31,Daniel Wells,119
4,31,Alipate Carlile,119
4,33,Brendon Goddard,117
4,33,Brent Stanton,117
4,33,Luke Shuey,117
4,36,Scott Thompson,116
4,36,Lance Franklin,116
4,36,Michael Evans,116
4,39,Cyril Rioli,115
4,39,Luke Breust,115
4,39,Cale Hooker,115
4,42,Leigh Montagna,114
4,43,Max Bailey,113
4,44,Michael Hurley,112
4,45,Dylan Shiel,111
4,46,Jarryd Roughead,110
4,46,Lindsay Thomas,110
4,46,David Mundy,110
4,46,Clinton Jones,110
4,50,Tom Scully,109
4,50,Andrew Walker,109
4,50,Ben McEvoy,109
4,50,Michael Hibberd,109
4,54,Brent Reilly,108
4,54,Brett Goodes,108
4,56,Mark Jamar,107
4,56,Jack Trengove,107
4,58,Jack Ziebell,106
4,58,Trent Cotchin,106
4,58,Adam Treloar,106
4,58,Colin Garland,106
4,62,Dayne Zorko,105
4,62,Scott Pendlebury,105
4,62,George Horlin-Smith,105
4,65,Matthew Priddis,104
4,65,Nathan Jones,104
4,67,Travis Boak,103
4,67,Nathan Fyfe,103
4,67,Will Minson,103
4,67,Charlie Dixon,103
4,67,Scott Gumbleton,103
4,67,Colin Sylvia,103
4,67,Mathew Stokes,103
4,74,Jarrod Harbrow,102
4,75,Ivan Maric,101
4,75,Paul Chapman,101
4,75,Isaac Smith,101
4,78,David Myers,100
4,78,Jaeger O'Meara,100
4,78,Domenic Cassisi,100
4,81,Bachar Houli,99
4,81,David Zaharakis,99
4,81,Tom Bellchambers,99
4,81,Jack Steven,99
4,81,Martin Clarke,99
4,81,Sam Gibson,99
4,81,Brett Deledio,99
4,88,Quinten Lynch,98
4,88,Marc Murphy,98
4,88,Daniel Cross,98
4,91,Nathan Grima,97
4,91,Jonathan Giles,97
4,91,Daniel Hannebery,97
4,91,Max Gawn,97
4,91,Steve Johnson,97
4,96,Lachie Whitfield,96
4,96,Brandon Matera,96
4,96,Brad Ebert,96
4,96,Jarrad McVeigh,96
4,96,Ryan Bastinac,96
4,96,Dean Cox,96
4,102,Bryce Gibbs,95
4,102,Leigh Adams,95
4,102,Mitchell Duncan,95
4,102,Ted Richards,95
4,102,Tom Rockliff,95
4,102,Christopher Mayne,95
4,102,Chad Wingard,95
4,102,Michael Barlow,95
4,102,Chris Masten,95
4,111,Jamie MacMillan,94
4,112,Kane Lucas,93
4,112,Jack Riewoldt,93
4,114,Daniel Kerr,92
4,114,Ryan O'Keefe,92
4,116,Michael Firrito,91
4,116,Ben Hudson,91
4,116,Oliver Wines,91
4,116,Jared Brennan,91
4,120,Andrew Swallow,90
4,120,Callan Ward,90
4,120,Setanta O'hAilpin,90
4,120,Steven Motlop,90
4,124,Jude Bolton,88
4,124,Nick Riewoldt,88
4,124,Sam Fisher,88
4,124,Dylan Roberton,88
4,124,Dyson Heppell,88
4,124,Dale Morris,88
4,124,Heritier Lumumba,88
4,131,Michael Jamison,87
4,131,Phil Davis,87
4,131,Ryan Crowley,87
4,131,Taylor Walker,87
4,131,Jordan Lewis,87
4,136,Rohan Bail,86
4,136,Jeremy Howe,86
4,136,Andrew Mackie,86
4,136,Shannon Hurn,86
4,136,Todd Goldstein,86
4,136,Sam Docherty,86
4,136,Ben Howlett,86
4,136,Stephen Coniglio,86
4,136,Matt Jones,86
4,145,Jordan Roughead,85
4,146,Jack Darling,84
4,146,David Hille,84
4,146,Jack Redden,84
4,149,Brad Crouch,83
4,149,Heath Scotland,83
4,149,Allen Christensen,83
4,149,Sam Mitchell,83
4,149,Ricky Henderson,83
4,149,Matthew Broadbent,83
4,155,Angus Monfries,82
4,155,Andrew Carrazzo,82
4,157,Dylan Grimes,81
4,157,Michael Walters,81
4,157,Jake Melksham,81
4,157,Dion Prestia,81
4,157,Mike Pyke,81
4,157,Zac Smith,81
4,163,Heath Shaw,80
4,163,Joel Corey,80
