round,player,team,score
16,1,Drew Petrie,168
16,2,Chris Judd,159
16,3,Kieren Jack,158
16,3,Sam Mitchell,158
16,5,Bernie Vince,152
16,6,James Kelly,148
16,6,Steve Johnson,148
16,8,Callan Ward,146
16,9,Ben McEvoy,145
16,10,Ryan O'Keefe,142
16,11,Trent Cotchin,141
16,11,Matthew Boyd,141
16,13,Brett Deledio,139
16,14,Jack Riewoldt,138
16,14,Sam Jacobs,138
16,16,Dayne Beams,137
16,17,Heath Shaw,135
16,18,Ben Hudson,133
16,18,Gary Ablett,133
16,20,Scott Pendlebury,132
16,21,Daniel Wells,131
16,21,Brett Ebert,131
16,23,Clinton Jones,129
16,24,Jason Porplyzia,128
16,24,Matthew Priddis,128
16,26,Lenny Hayes,127
16,26,Toby Greene,127
16,28,Brian Lake,124
16,29,Jobe Watson,123
16,30,Brent Reilly,120
16,31,Daniel Hannebery,119
16,31,Stefan Martin,119
16,31,Ben Howlett,119
16,34,Ryan Griffen,118
16,34,Andrew Carrazzo,118
16,34,Scott Thompson,118
16,37,Clancee Pearce,117
16,37,Simon Black,117
16,39,Benjamin Stratton,115
16,39,Harley Bennell,115
16,41,Scott Selwood,114
16,41,Leigh Montagna,114
16,43,Jarryd Roughead,113
16,43,Matthew Pavlich,113
16,45,Shaun Higgins,112
16,45,Hayden Ballantyne,112
16,45,Marc Murphy,112
16,48,Brendan Whitecross,111
16,49,Josh Kennedy Injured,110
16,49,Dayne Zorko,110
16,49,Michael Walters,110
16,49,Christopher Mayne,110
16,49,Dane Swan,110
16,49,Patrick Dangerfield,110
16,55,Andrew Swallow,109
16,55,Darren Jolly,109
16,57,Sam Gilbert,108
16,57,Rick Dyson,108
16,57,Corey Enright,108
16,60,Trent McKenzie,107
16,60,Joel Selwood,107
16,62,Grant Birchall,106
16,62,Matthew Wright,106
16,64,Jordan Lewis,105
16,64,Cyril Rioli,105
16,64,Matthew Maguire,105
16,64,Daniel Kerr,105
16,68,Brad Sewell,104
16,68,Shaun Grigg,104
16,70,Leroy Jetta,103
16,70,Justin Westhoff,103
16,72,Jarryd Blair,102
16,72,Tom Bellchambers,102
16,74,Dale Thomas,101
16,74,David Hale,101
16,74,Craig Bird,101
16,77,Lee Spurr,100
16,77,Mitch Robinson,100
16,77,Michael Barlow,100
16,77,Robert Murphy,100
16,81,Josh Jenkins,99
16,81,Dyson Heppell,99
16,81,David Armitage,99
16,81,Dennis Armfield,99
16,85,Daniel Cross,98
16,85,David Mundy,98
16,85,Chad Cornes,98
16,88,Josh Gibson,97
16,88,Nick Maxwell,97
16,88,Jordie McKenzie,97
16,91,Heath Scotland,96
16,91,Alwyn Davey,96
16,93,Jarrad Redden,95
16,93,Brandon Matera,95
16,93,Jarrad McVeigh,95
16,96,Luke McPharlin,94
16,96,Alex Fasolo,94
16,96,Danny Stanley,94
16,99,Jack Ziebell,93
16,99,Todd Goldstein,93
16,99,Luke McGuane,93
16,99,Sam Shaw,93
16,103,Stephen Hill,92
16,103,Jonathon Griffin,92
16,103,Nick Riewoldt,92
16,103,Farren Ray,92
16,103,Andrew Gaff,92
16,103,Sean Dempster,92
16,109,Travis Boak,91
16,109,Alex Rance,91
16,109,Stephen Milne,91
16,109,Jarrod Harbrow,91
16,113,Tom Rockliff,90
16,113,Heritier Lumumba,90
16,113,Matthew Rosa,90
