gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition,homeBreak,awayBreak,homePreviousRainfall,awayPreviousRainfall
2017R303,2017,3,8/04/2017,M.C.G.,14:10:00,42523,Richmond,76,West Coast,65,0,1,1,1,4,0,2,1,216,-101,19.10357143,25.55555556,72.06818182,72.90909091,75.84318182,71.69090909,75.05095208,74.50948635,13,6,231,169,136.6863905,252,190,132.6315789,3,5,9,7,2.8,0
2017R304,2017,3,8/04/2017,Docklands,16:35:00,29733,Geelong,126,Melbourne,97,0,1,1,1,0,1,4,3,-26,93,-10.22012363,37.63611111,76.22727273,67.56818182,80.28181818,67.28712121,77.80944926,71.42041027,2,11,227,184,123.3695652,206,154,133.7662338,7,4,6,6,0.2,0.2
2017R305,2017,3,8/04/2017,Subiaco,17:40:00,28865,Fremantle,89,Western Bulldogs,73,0,1,0,1,3,0,6,1,633,78,18.43204064,-21.53846154,48.90909091,62.29545455,66.47575758,73.15189394,64.59613038,76.06959631,16,7,129,260,49.61538462,210,173,121.3872832,18,8,6,8,0,2.8
2017R306,2017,3,8/04/2017,Adelaide Oval,19:10:00,53698,Port Adelaide,83,Adelaide,100,0,0,1,1,0,0,1,1,-56,58,-25.675,12.30909091,80.5,70.15909091,73.58409091,73.2,75.14385794,74.64752028,10,5,255,138,184.7826087,260,180,144.4444444,1,2,6,7,0,0
2017R307,2017,3,9/04/2017,Docklands,13:10:00,23097,St Kilda,107,Brisbane Lions,76,14.2,1,0,0,0,0,1,3,-185,218,7.9,-4.024074074,64.79545455,65.45454545,73.66969697,71.46590909,73.42368831,70.39837662,9,17,187,236,79.23728814,182,207,87.92270531,13,10,8,8,0,0.2
2017R308,2017,3,9/04/2017,M.C.G.,15:20:00,48022,Carlton,57,Essendon,42,14.2,1,0,1,0,0,3,3,17,-101,7.021759259,18.16666667,61.52272727,79.59090909,67.53636364,74.21287879,69.61350178,74.84407676,14,18,153,218,70.18348624,227,175,129.7142857,16,6,7,8,0.2,0.2
2017R309,2017,3,9/04/2017,Carrara,16:40:00,14728,Gold Coast,139,Hawthorn,53,1,1,0,0,3,0,3,2,-253,136,-19.54861111,-3.958333333,66.20454545,78.70454545,74.34090909,74.86590909,75.68803687,74.46311605,15,3,154,258,59.68992248,180,229,78.60262009,17,14,8,8,0,0
2017R401,2017,4,13/04/2017,Subiaco,18:10:00,38063,West Coast,91,Sydney,65,0,1,0,0,4,0,3,2,-9,-77,11.99209402,-37.49166667,69.36363636,78.86363636,70.72575758,70.78712121,72.95644516,71.23737096,6,1,317,266,119.1729323,248,300,82.66666667,6,16,5,6,0,0
2017R402,2017,4,14/04/2017,Docklands,16:20:00,42814,North Melbourne,86,Western Bulldogs,89,0,0,0,0,0,0,2,2,-177,16,4.646969697,25.89285714,78.02272727,63.18181818,74.95454545,70.74242424,73.13043762,73.57415501,8,7,271,357,75.91036415,283,262,108.0152672,17,9,6,6,0,0
2017R403,2017,4,15/04/2017,M.C.G.,13:45:00,27829,Melbourne,104,Fremantle,106,0,0,0,1,4,0,3,0,-77,0,18.03888889,0,64.77272727,50.56818182,65.65454545,68.82045455,70.0928176,67.40152868,11,16,303,280,108.2142857,218,333,65.46546547,8,15,7,7,0,0
