gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition,homeBreak,awayBreak,homePreviousRainfall,awayPreviousRainfall
2015R101,2015,1,2/04/2015,M.C.G.,19:20:00,83493,Carlton,78,Richmond,105,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,0,0,0,0,13,8,7,7,0,0
2015R102,2015,1,4/04/2015,M.C.G.,13:40:00,27013,Melbourne,115,Gold Coast,89,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,0,0,0,17,12,7,7,0,0
2015R103,2015,1,4/04/2015,Stadium Australia,16:35:00,23274,Sydney,72,Essendon,60,23,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,7,7,7,0,0
2015R104,2015,1,4/04/2015,Gabba,18:20:00,31240,Brisbane Lions,74,Collingwood,86,0.4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,0,0,15,11,7,7,0,0
2015R105,2015,1,4/04/2015,Docklands,19:20:00,22366,Western Bulldogs,97,West Coast,87,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,14,9,7,7,0,0
2015R106,2015,1,5/04/2015,Docklands,13:10:00,18794,St Kilda,78,Greater Western Sydney,87,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,0,0,0,0,0,18,16,7,7,0,0
2015R107,2015,1,5/04/2015,Adelaide Oval,14:50:00,45607,Adelaide,140,North Melbourne,63,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,10,6,7,7,0,0
2015R108,2015,1,5/04/2015,Subiaco,16:40:00,34099,Fremantle,75,Port Adelaide,68,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,4,5,7,7,0,0
2015R109,2015,1,6/04/2015,M.C.G.,15:20:00,73584,Hawthorn,123,Geelong,61,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,7,7,0,0
2015R201,2015,2,10/04/2015,Subiaco,18:10:00,34588,West Coast,131,Carlton,62,12.4,1,0,0,3,0,4,3,138,72,-23.24652778,-67.12037037,57.5,62.02272727,67.5625,65.46742424,67.61958874,68.2830267,9,13,87,97,89.69072165,78,105,74.28571429,11,16,6,8,0,0.4
