round,player,team,score
18,1,Dane Swan,159
18,2,Todd Goldstein,158
18,3,Steele Sidebottom,155
18,4,Joel Selwood,151
18,4,Ben Cunnington,151
18,6,Luke Dahlhaus,150
18,7,Steven Motlop,149
18,8,Robert Murphy,147
18,9,Kieren Jack,146
18,10,Matthew Kreuzer,140
18,11,Brent Harvey,137
18,12,Ryan O'Keefe,134
18,12,Dayne Beams,134
18,14,Callan Ward,132
18,15,Nathan Fyfe,131
18,16,Tom Hawkins,128
18,16,Brent Guerra,128
18,18,Dustin Martin,126
18,19,Nathan Vardy,125
18,20,Lachlan Henderson,124
18,20,Lachlan Hansen,124
18,20,Stephen Hill,124
18,23,Shane Mumford,123
18,24,Leigh Montagna,122
18,24,Rory Sloane,122
18,26,Max Gawn,120
18,26,Steve Johnson,120
18,26,Jeremy Cameron,120
18,26,Paul Puopolo,120
18,30,Lance Franklin,119
18,31,Thomas Liberatore,118
18,31,Will Minson,118
18,33,Gary Ablett,116
18,33,Jarrod Witts,116
18,35,Michael Barlow,115
18,36,Andrew Walker,114
18,36,Luke Hodge,114
18,38,Jack Steven,113
18,38,Jay Schulz,113
18,38,Lynden Dunn,113
18,41,Heath Scotland,111
18,41,Tom Rockliff,111
18,43,Michael Johnson,110
18,43,Chad Wingard,110
18,43,Ricky Henderson,110
18,46,Ryan Bastinac,109
18,47,Hamish Hartlett,108
18,47,Nick Smith,108
18,47,Harry Taylor,108
18,47,Kade Simpson,108
18,51,Cyril Rioli,107
18,51,Lenny Hayes,107
18,53,Tom Mitchell,106
18,54,Jed Adcock,105
18,54,Adam Cooney,105
18,54,Heath Shaw,105
18,54,Travis Boak,105
18,58,Matthew Broadbent,104
18,58,Colin Sylvia,104
18,58,Charlie Dixon,104
18,58,Bernie Vince,104
18,58,Lachie Neale,104
18,63,Joel Patfull,103
18,63,Jesse White,103
18,65,Ryan Griffen,102
18,65,Corey Enright,102
18,65,Andrew Gaff,102
18,65,Trent McKenzie,102
18,65,Leigh Adams,102
18,70,Jack Redden,101
18,70,Mitchell Golby,101
18,72,James Kelly,100
18,72,Brad Crouch,100
18,72,Sharrod Wellingham,100
18,72,Sam Gibson,100
18,76,Dyson Heppell,99
18,76,Ted Richards,99
18,76,Jordan Lewis,99
18,76,Jarrad Grant,99
18,76,Trent Cotchin,99
18,81,Josh Gibson,98
18,81,Nick Dal Santo,98
18,83,Curtly Hampton,97
18,83,Kane Mitchell,97
18,83,Jarryd Blair,97
18,83,Brent Moloney,97
18,87,Aaron Hall,96
18,87,Bryce Gibbs,96
18,87,Koby Stevens,96
18,87,Mitchell Wallis,96
18,87,Sam Mitchell,96
18,92,Campbell Brown,95
18,92,Nathan Foley,95
18,92,Edward Curnow,95
18,92,Jaeger O'Meara,95
18,92,Clancee Pearce,95
18,97,Matthew Priddis,94
18,97,Andrew Mackie,94
18,97,Shaun Grigg,94
18,97,Matthew De Boer,94
18,97,Brock McLean,94
18,102,Mitchell Duncan,93
18,102,Michael Hurley,93
18,102,Bachar Houli,93
18,102,Matthew Maguire,93
18,102,Travis Cloke,93
18,102,Tom McDonald,93
18,108,Brendon Goddard,92
18,108,Christopher Mayne,92
18,108,Clinton Jones,92
18,108,Michael Hibberd,92
18,108,Scott Pendlebury,92
18,108,Brad Sewell,92
18,108,David Mundy,92
18,108,Marc Murphy,92
18,108,Shane Savage,92
18,117,Daniel Wells,91
18,118,Kurt Tippett,90
18,118,Scott Thompson,90
18,118,Cameron Delaney,90
18,118,Dean Cox,90
18,122,Eddie Betts,89
18,122,Mitchell Brown,89
18,122,Aaron Black,89
18,122,Dayne Zorko,89
18,122,Nicholas Suban,89
18,122,Justin Westhoff,89
18,122,Taylor Adams,89
18,122,Chris Judd,89
18,130,Drew Petrie,88
18,130,Matthew Leuenberger,88
18,130,Matthew Boyd,88
18,130,Travis Varcoe,88
18,134,Zachary Williams,87
18,134,Daniel Hannebery,87
18,134,Luke Russell,87
18,134,Nathan Jones,87
18,134,Aaron Mullett,87
18,134,Tom Scully,87
18,134,Scott Selwood,87
18,141,Dennis Armfield,86
18,141,David MacKay,86
18,141,Oliver Wines,86
18,141,Matt Shaw,86
18,141,Scott Lycett,86
18,141,Jamie MacMillan,86
18,141,Nick Malceski,86
18,148,Jack Riewoldt,85
18,148,Scott Thompson,85
18,150,Angus Monfries,84
18,150,Jarryd Roughead,84
18,150,Tory Dickson,84
18,150,Aaron Sandilands,84
18,150,Tom Lynch,84
18,155,Dylan Shiel,83
18,156,Mark Hutchings,82
18,156,James Podsiadly,82
18,156,Heritier Lumumba,82
18,156,Alex Rance,82
18,156,Josh Kennedy Injured,82
18,156,Blayne Wilson,82
18,162,Liam Picken,81
18,162,Jack Ziebell,81
18,164,Sean Dempster,80
18,164,Patrick Ryder,80
18,164,Jake Melksham,80
18,164,Matthew Wright,80
18,164,Tayte Pears,80
18,164,Jack Gunston,80
18,170,Mitch Robinson,79
18,170,Shane Tuck,79
18,170,Farren Ray,79
18,170,Jack Watts,79
18,170,Joshua Kennedy,79
18,175,Bradd Dalziell,78
18,175,Danny Stanley,78
18,175,Rory Laird,78
18,175,Andrew Swallow,78
18,175,Kane Cornes,78
18,175,Marley Williams,78
18,175,Brad Ebert,78
18,175,Jamie Cripps,78
18,183,Jarrad McVeigh,77
18,183,Paul Stewart,77
18,185,Toby Greene,76
18,185,Jonathan Simpkin,76
18,185,Paul Duffield,76
18,185,Adam Treloar,76
18,185,David Myers,76
18,185,Jack Newnes,76
18,191,Brent Stanton,75
18,191,Brian Lake,75
18,191,Brett Deledio,75
18,191,Tom Bellchambers,75
18,191,Brodie Grundy,75
18,191,Cale Hooker,75
18,191,Christopher Yarran,75
18,191,Brandon Ellis,75
18,191,Elliot Yeo,75
18,200,Lachlan Keeffe,74
18,200,David Hale,74
18,200,Mark Baguley,74
18,200,Jeff Garlett,74
18,200,Matt Jones,74
18,200,Will Schofield,74
18,206,Danyle Pearce,73
18,206,Cameron O'Shea,73
18,206,Reece Conca,73
18,206,Eric MacKenzie,73
18,206,Jonathan Brown,73
18,206,Jarryn Geary,73
18,212,Rohan Bewick,72
18,212,Daniel Talia,72
18,212,Troy Chaplin,72
18,212,Mathew Stokes,72
18,212,Robbie Tarrant,72
18,212,Adam Kennedy,72
18,212,Matthew White,72
18,219,Ben Reid,71
18,219,Michael Walters,71
18,219,Craig Bird,71
18,219,Nick Riewoldt,71
18,219,David Armitage,71
18,219,Jarrod Harbrow,71
18,225,Brodie Smith,70
18,225,Jasper Pittard,70
18,225,Zach Tuohy,70
