round,player,team,score
18,1,Gary Ablett,171
18,2,Nicholas Naitanui,164
18,3,Marc Murphy,160
18,4,Ivan Maric,159
18,5,Kieren Jack,158
18,5,Andrew Swallow,158
18,7,Shane Tuck,153
18,8,Beau Waters,146
18,9,Ryan O'Keefe,143
18,10,Todd Goldstein,142
18,11,Dane Swan,141
18,12,Clancee Pearce,139
18,12,Brendan Whitecross,139
18,14,Jude Bolton,138
18,14,Will Minson,138
18,16,Nick Dal Santo,137
18,17,Nick Riewoldt,136
18,17,Scott Pendlebury,136
18,19,Tom Hawkins,135
18,20,Cyril Rioli,134
18,21,Patrick Dangerfield,133
18,22,Brock McLean,132
18,23,Lenny Hayes,131
18,24,Brent Harvey,130
18,25,Brendon Goddard,127
18,25,Josh Kennedy Injured,127
18,27,Brett Deledio,126
18,27,Joel Selwood,126
18,29,Andrew Carrazzo,125
18,30,Shannon Hurn,123
18,30,Leigh Montagna,123
18,32,Travis Cloke,122
18,33,Jack Redden,121
18,33,Dean Cox,121
18,33,Heath Shaw,121
18,33,Chris Masten,121
18,37,Jobe Watson,120
18,38,Jack Darling,119
18,38,Matthew Priddis,119
18,40,Heath Scotland,117
18,40,Jack Gunston,117
18,42,Andrew Gaff,116
18,42,Sam Gibson,116
18,42,Nathan Jones,116
18,45,Kane Cornes,115
18,46,Edward Curnow,113
18,46,Paul Duffield,113
18,48,Jonathan Giles,112
18,48,Luke Hodge,112
18,48,Luke McPharlin,112
18,51,James Kelly,111
18,52,Matthew Suckling,110
18,53,Dayne Beams,109
18,54,Matthew Pavlich,108
18,54,Domenic Cassisi,108
18,54,Paul Chapman,108
18,57,Luke Shuey,107
18,58,Liam Anthony,106
18,58,Scott Thompson,106
18,58,Jarryn Geary,106
18,58,Trent Cotchin,106
18,62,Ben Cunnington,104
18,62,David Mundy,104
18,64,Mike Pyke,103
18,64,Brent Moloney,103
18,64,Luke Breust,103
18,64,Devon Smith,103
18,64,Jason Gram,103
18,64,Jed Adcock,103
18,64,Curtly Hampton,103
18,64,Dustin Martin,103
18,64,Jeff Garlett,103
18,64,Corey Enright,103
18,74,Shane Edwards,101
18,74,Matthew Kreuzer,101
18,76,Jason Porplyzia,100
18,76,Toby Greene,100
18,76,Allen Christensen,100
18,76,Rory Sloane,100
18,76,Jarryd Roughead,100
18,81,Dayne Zorko,99
18,81,Matthew Wright,99
18,81,Adam Treloar,99
18,81,Adam McPhee,99
18,85,Ben McEvoy,98
18,85,Mathew Stokes,98
18,85,Luke Power,98
18,88,Sam Fisher,97
18,88,Robbie Tarrant,97
18,88,Sam Mitchell,97
18,91,Matthew Boyd,96
18,91,Matthew Lobbe,96
18,93,Daniel Wells,95
18,93,Ben Reid,95
18,93,Bryce Gibbs,95
18,96,Michael Barlow,94
18,96,Jarrod Harbrow,94
18,98,Taylor Adams,93
18,98,Matthew Rosa,93
18,98,Josh Gibson,93
18,98,Tom Bell,93
18,102,Cameron Wood,92
18,102,Jared Brennan,92
18,102,Jarrad McVeigh,92
18,102,Drew Petrie,92
18,102,Will Schofield,92
18,107,Ryan Bastinac,91
18,107,Jamie MacMillan,91
18,107,Jake Carlisle,91
18,110,Michael Doughty,90
18,110,Andrew Mackie,90
18,110,John McCarthy,90
18,110,Stephen Hill,90
18,110,Harry Taylor,90
18,115,Jarryd Blair,89
18,115,Lewis Roberts-Thomson,89
18,115,Jeremy Howe,89
18,115,Tom McDonald,89
18,115,Eddie Betts,89
18,120,Simon Black,88
18,120,Trent West,88
18,120,Ashton Hams,88
18,120,Lewis Jetta,88
18,120,Jordan Lewis,88
18,125,Daniel Giansiracusa,87
18,125,Jack Steven,87
18,125,Nathan Fyfe,87
18,125,Chris Dawes,87
18,125,Shaun Grigg,87
18,125,Danyle Pearce,87
18,131,Tomas Bugg,86
18,131,Paul Seedsman,86
18,131,Jamie Elliott,86
18,134,Mitchell Wallis,85
18,134,Jonathan Brown,85
18,134,Bernie Vince,85
18,134,Richard Douglas,85
18,134,Brad Sewell,85
18,139,Travis Boak,84
18,139,Jimmy Bartel,84
18,139,Tom Lonergan,84
18,139,Jonathon Griffin,84
18,139,Tom Simpkin,84
18,144,Mark Baguley,83
18,144,Garrick Ibbotson,83
