round,player,team,score
7,1,Brent Stanton,164
7,2,Scott Thompson,161
7,3,Steele Sidebottom,156
7,4,Jobe Watson,149
7,5,Chris Judd,144
7,6,Heath Shaw,142
7,7,Dean Cox,141
7,7,Dane Swan,141
7,9,Brad Sewell,140
7,9,Lance Franklin,140
7,11,Patrick Ryder,137
7,11,Matthew Boyd,137
7,13,Jonathan Giles,134
7,13,Nathan Foley,134
7,15,David Zaharakis,130
7,15,Paul Duffield,130
7,15,Clancee Pearce,130
7,18,Sam Iles,127
7,19,Aaron Sandilands,126
7,20,Gary Ablett,125
7,21,David Hale,124
7,21,Taylor Walker,124
7,23,Ryan Griffen,123
7,24,Grant Birchall,122
7,25,Brent Reilly,120
7,26,Ivan Maric,119
7,26,Kurt Tippett,119
7,26,Jordan Lewis,119
7,29,Jack Redden,118
7,30,Scott Thompson,117
7,31,Rory Sloane,116
7,31,Chris Newman,116
7,33,Matthew Kreuzer,115
7,33,Farren Ray,115
7,33,Heritier Lumumba,115
7,33,Matthew Pavlich,115
7,37,Joel Selwood,114
7,38,Callan Ward,113
7,38,Brendon Goddard,113
7,38,Tory Dickson,113
7,41,Dion Prestia,112
7,42,Shaun Grigg,111
7,42,Trent Cotchin,111
7,44,Luke Shuey,110
7,44,Mitchell Wallis,110
7,46,Jack Steven,109
7,46,Dylan Grimes,109
7,46,Brad Ebert,109
7,46,Matthew Maguire,109
7,46,Stewart Crameri,109
7,46,Dayne Beams,109
7,52,James Kelly,108
7,52,Alex Rance,108
7,52,Brian Lake,108
7,55,Lenny Hayes,107
7,55,Greg Broughton,107
7,55,Paul Chapman,107
7,55,Scott Pendlebury,107
7,59,Chad Cornes,106
7,60,Jake Melksham,105
7,60,Steve Johnson,105
7,60,Jackson Trengove,105
7,60,John McCarthy,105
7,64,Justin Sherman,104
7,64,Mitchell Clark,104
7,64,Ryan Schoenmakers,104
7,67,Stephen Coniglio,103
7,67,Matthew Suckling,103
7,69,Sean Dempster,102
7,69,Cameron Wood,102
7,71,Nick Dal Santo,101
7,71,Sam Mitchell,101
7,71,Leigh Montagna,101
7,71,Josh Kennedy Injured,101
7,75,Daniel Giansiracusa,100
7,75,Brett Deledio,100
7,75,Brendan Whitecross,100
7,78,Harley Bennell,99
7,78,Michael Johnson,99
7,80,Shane Tuck,98
7,80,Stephen Milne,98
7,80,Patrick Dangerfield,98
7,80,Ryan Hargrave,98
7,80,Luke Dahlhaus,98
7,85,Ben Howlett,97
7,85,Stephen Hill,97
7,85,Jason Gram,97
7,85,Daniel Rich,97
7,85,Sam Jacobs,97
7,85,Robin Nahas,97
7,85,Shaun Burgoyne,97
7,85,Heath Scotland,97
7,85,Rhys Stanley,97
7,94,Cale Hooker,96
7,94,Adam Treloar,96
7,94,Michael Doughty,96
7,94,Jack Riewoldt,96
7,98,Rick Dyson,95
7,98,Trent West,95
7,98,Graham Johncock,95
7,98,Zachary Clarke,95
7,102,Beau Waters,94
7,102,James Frawley,94
7,102,Jason Blake,94
7,105,Todd Goldstein,93
7,105,Clint Bartram,93
7,107,Shane Savage,92
7,107,Troy Chaplin,92
7,107,Kade Simpson,92
7,107,Eddie Betts,92
7,107,Liam Anthony,92
7,107,Daniel Cross,92
7,113,Nathan Van Berlo,91
7,113,Jarryd Roughead,91
7,113,Tom Scully,91
7,113,Tom Lynch,91
7,113,Liam Shiels,91
7,113,Luke Breust,91
7,119,Andrew Gaff,90
7,119,Matthew Jaensch,90
7,119,Reece Conca,90
7,119,Thomas Liberatore,90
7,119,Martin Clarke,90
7,119,Alan Toovey,90
7,125,Brent Moloney,89
7,125,Matthew Warnock,89
7,125,Luke McPharlin,89
7,125,Ben Sinclair,89
7,125,Sharrod Wellingham,89
7,130,Dustin Fletcher,88
7,130,David Armitage,88
7,130,Lindsay Thomas,88
7,130,Dustin Martin,88
7,134,Jacob Brennan,87
7,134,Shaun Hampson,87
7,136,Nick Smith,86
7,136,Clinton Young,86
7,136,Andrew Swallow,86
7,136,Mark Jamar,86
7,136,Jarryd Blair,86
7,136,Paul Stewart,86
7,136,Dom Tyson,86
7,143,Tom Rockliff,85
7,143,Robert Murphy,85
7,145,Luke Russell,84
7,145,Shaun Atley,84
7,145,Christopher Mayne,84
7,145,Nathan Jones,84
7,145,Ryan O'Keefe,84
7,145,Domenic Cassisi,84
7,145,James Magner,84
7,152,Samuel Wright,83
7,152,Matthew Broadbent,83
7,152,Josh Drummond,83
7,152,Shannon Hurn,83
7,156,Luke Power,82
7,156,Phil Davis,82
7,156,Nick Riewoldt,82
7,159,Ahmed Saad,81
7,159,Joel Corey,81
7,159,Trent McKenzie,81
7,159,Jake Batchelor,81
7,159,Pearce Hanley,81
7,159,David Rodan,81
7,159,Terry Milera,81
7,166,Taylor Adams,80
7,166,Michael Barlow,80
7,166,Kyal Horsley,80
7,166,Kyle Hardingham,80
7,166,Josh Jenkins,80
7,166,Zac Smith,80
7,166,Patrick Veszpremi,80
7,173,David MacKay,79
7,173,Jared Petrenko,79
7,173,Andrew Mackie,79
7,173,Daniel Wells,79
7,173,Bachar Houli,79
7,173,Daniel Jackson,79
7,173,Allen Christensen,79
7,173,Mitchell Duncan,79
7,181,Jack Grimes,78
7,181,Daniel Hannebery,78
7,183,Mark Seaby,77
7,183,Devon Smith,77
7,183,David Mundy,77
7,183,Nick Malceski,77
7,183,Toby Greene,77
7,183,Hamish McIntosh,77
7,189,Nick Maxwell,76
7,189,Tendai Mzungu,76
7,189,Shane Edwards,76
7,189,Paul Bower,76
7,189,Kieren Jack,76
7,189,Ayce Cordy,76
7,195,Andrew Walker,75
7,195,Mitch Robinson,75
7,195,Josh Hunt,75
7,195,Travis Cloke,75
7,195,Ashley McGrath,75
7,195,Justin Koschitzke,75
7,195,Adam Kennedy,75
7,202,Jude Bolton,74
7,202,Benjamin Stratton,74
7,202,Tyson Goldsack,74
7,202,Simon Black,74
7,202,Darren Glass,74
7,202,Nicholas Duigan,74
7,208,Josh Caddy,73
7,208,Edward Curnow,73
7,208,Matthew Rosa,73
7,208,Marc Murphy,73
7,208,Steven Morris,73
7,208,Scott Selwood,73
7,208,Courtenay Dempsey,73
7,215,James Hawksley,72
7,215,Tim Mohr,72
7,215,Jarrad Grant,72
7,218,Jonathan Brown,71
7,218,Hamish Hartlett,71
7,218,Travis Boak,71
7,218,Alwyn Davey,71
7,218,Jacob Townsend,71
7,218,Isaac Smith,71
7,218,Aaron Davey,71
7,218,Will Minson,71
7,218,Corey Enright,71
7,227,Justin Westhoff,70
7,227,Tom Logan,70
7,227,Jeremy Howe,70
7,227,Ryan Crowley,70
7,227,Michael Rischitelli,70
7,227,Lee Spurr,70
7,227,Jason Porplyzia,70
7,234,Ben Reid,69
7,234,Matthew De Boer,69
7,234,Brent Renouf,69
7,234,Leigh Adams,69
7,234,Craig Bird,69
7,234,Daniel Kerr,69
7,240,Kane Cornes,68
7,240,Tomas Bugg,68
7,240,Jared Brennan,68
7,240,Zac Dawson,68
7,240,Bryce Gibbs,68
7,245,Eric MacKenzie,67
7,245,Garrick Ibbotson,67
7,245,Drew Petrie,67
7,245,Dyson Heppell,67
7,245,Jack Trengove,67
7,250,Colin Garland,66
7,250,Jarrad McVeigh,66
7,250,Zach Tuohy,66
7,250,Karmichael Hunt,66
7,254,Lachlan Keeffe,65
7,254,Brent Harvey,65
