round,player,team,score
6,1,Allen Christensen,177
6,2,Patrick Dangerfield,173
6,3,Scott Pendlebury,161
6,4,Dale Thomas,150
6,5,Andrew Walker,141
6,6,Luke Shuey,139
6,7,Luke Hodge,137
6,7,Gary Ablett,137
6,9,Jarrod Harbrow,135
6,9,Jeff Garlett,135
6,9,Nick Riewoldt,135
6,12,Andrew Swallow,134
6,13,Todd Goldstein,132
6,14,Marc Murphy,131
6,14,Jimmy Bartel,131
6,14,Daniel Hannebery,131
6,17,Ryan Lester,130
6,18,Dean Cox,126
6,18,Kieren Jack,126
6,18,Eddie Betts,126
6,21,Dustin Martin,125
6,21,Leigh Montagna,125
6,21,Travis Boak,125
6,21,Heath Shaw,125
6,21,Chris Masten,125
6,26,Darren Jolly,124
6,26,Lewis Jetta,124
6,26,Michael Hibberd,124
6,26,Travis Cloke,124
6,26,Heritier Lumumba,124
6,26,Kane Cornes,124
6,32,Brent Reilly,122
6,33,Steve Johnson,121
6,33,Drew Petrie,121
6,35,Jack Darling,120
6,36,Stephen Gilham,118
6,36,Michael Walters,118
6,36,Shannon Hurn,118
6,36,Dane Swan,118
6,36,Nick Smith,118
6,41,Jonathon Griffin,117
6,41,Mark Lecras,117
6,41,Jarryd Roughead,117
6,44,Dylan Roberton,116
6,44,Tom Scully,116
6,44,Stewart Crameri,116
6,47,David Mundy,115
6,47,Ryan O'Keefe,115
6,49,Nick Malceski,114
6,50,Lachlan Henderson,113
6,50,Corey Enright,113
6,50,Matthew Priddis,113
6,53,Trent West,112
6,53,Courtenay Dempsey,112
6,55,Robert Warnock,110
6,55,Jay Schulz,110
6,55,Scott Selwood,110
6,58,Scott Thompson,109
6,58,David Armitage,109
6,60,Darren Glass,108
6,60,Ben Reid,108
6,60,Ben McEvoy,108
6,60,Ben Cunnington,108
6,64,Luke Breust,107
6,65,Kane Lucas,106
6,65,Heath Scotland,106
6,65,Will Minson,106
6,65,Adam Treloar,106
6,69,Jake King,105
6,69,Alwyn Davey,105
6,69,Joel Selwood,105
6,69,Brad Ebert,105
6,69,Mitch Robinson,105
6,69,Mike Pyke,105
6,75,Luke McPharlin,104
6,75,David Myers,104
6,75,Daniel Wells,104
6,75,Chris Knights,104
6,79,Greg Broughton,102
6,79,Josh Kennedy Injured,102
6,79,Matthew Boyd,102
6,82,Jeremy Cameron,101
6,82,Leigh Adams,101
6,82,Clancee Pearce,101
6,85,Sam Reid Injured,100
6,85,Ryan Bastinac,100
6,85,Harry Taylor,100
