gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage
2018R303,2018,3,2018-04-07,M.C.G.,2:10 PM,35518,Melbourne,123,North Melbourne,86,0.0,2,True,True,0,0,2,1,5,74,23.09375,-2.808333333333337,69.18181818181819,75.27272727272727,73.34431818181818,74.13295454545454,72.23176564597019,72.58450413223139
2018R304,2018,3,2018-04-07,Perth Stadium,2:35 PM,33388,Gold Coast,68,Fremantle,96,0.0,0,True,True,0,0,1,1,-130,50,-15.799999999999997,-2.0818181818181927,69.47727272727273,73.13636363636364,69.97954545454546,70.30113636363637,71.65979235411054,70.99035415342233
2018R305,2018,3,2018-04-07,Docklands,7:25 PM,19324,St Kilda,55,Adelaide,104,0.0,0,False,True,2,0,5,2,134,-253,21.070873015873012,3.4000000000000057,64.25,79.52272727272727,68.18636363636362,74.50909090909092,70.3807392733529,73.64842329387784
2018R306,2018,3,2018-04-07,S.C.G.,7:25 PM,34711,Sydney,103,Greater Western Sydney,87,0.0,2,False,True,0,0,1,2,-116,121,60.6,-42.19166666666667,73.97727272727273,70.4090909090909,70.23939393939395,79.21363636363638,70.19789452971271,78.46926268176267
2018R307,2018,3,2018-04-08,M.C.G.,1:10 PM,70701,Richmond,102,Hawthorn,89,0.0,2,False,True,0,0,3,3,2,245,-25.350854700854704,31.923611111111107,70.04545454545455,63.88636363636363,72.90681818181817,73.34393939393941,72.69100413475414,73.96501970251971
2018R308,2018,3,2018-04-08,Docklands,3:20 PM,40499,Western Bulldogs,104,Essendon,83,0.0,2,False,False,0,0,3,3,73,-122,16.57676767676768,-10.6923594923595,74.38636363636364,75.97727272727273,73.58333333333336,76.81931818181819,69.85130324221232,76.711599637736
2018R309,2018,3,2018-04-08,Perth Stadium,2:40 PM,54535,West Coast,95,Geelong,80,0.0,2,True,False,3,0,1,2,-28,-53,-0.4416666666666629,1.1805555555555571,74.81818181818181,71.06818181818181,75.49090909090908,69.6996212121212,74.94890652277017,69.62966112170658
2018R401,2018,4,2018-04-13,Adelaide Oval,7:20 PM,45495,Adelaide,58,Collingwood,106,0.0,0,True,True,2,0,1,1,0,49,4.801587301587304,14.554545454545448,78.79545454545455,68.79545454545455,74.5181818181818,77.57916666666667,73.9881998683135,77.6796967237308
2018R402,2018,4,2018-04-14,Manuka Oval,1:45 PM,11356,Greater Western Sydney,82,Fremantle,51,,2,False,True,4,1,3,1,-238,-5,12.179894179894177,23.842424242424244,64.77272727272727,69.4090909090909,76.5318181818182,68.66666666666669,76.84377652019698,70.95418019480518
2018R403,2018,4,2018-04-14,M.C.G.,2:10 PM,32870,Richmond,110,Brisbane Lions,17,1.4,2,True,False,0,0,2,2,-186,-36,-13.657692307692301,-25.783333333333346,69.47727272727273,70.06818181818181,73.96818181818182,76.45681818181819,74.05085656136792,75.48806193806193
2018R404,2018,4,2018-04-14,Docklands,4:35 PM,28058,Western Bulldogs,79,Sydney,86,1.4,0,True,True,2,0,1,3,-27,143,1.0,-44.542592592592584,80.20454545454545,81.54545454545455,76.40757575757577,76.63409090909092,73.09499421033512,76.6317714167146
2018R405,2018,4,2018-04-14,Bellerive Oval,7:25 PM,14266,North Melbourne,116,Carlton,30,0.6,2,False,False,2,2,1,4,-53,166,-19.090909090909093,13.411471861471874,73.6590909090909,51.79545454545455,73.47727272727273,65.02613636363637,72.46265817515818,66.41816977214707
2018R406,2018,4,2018-04-14,Perth Stadium,6:10 PM,51774,West Coast,139,Gold Coast,59,0.0,2,True,False,0,0,2,1,-178,129,-9.926388888888894,5.550000000000011,72.54545454545455,67.75,76.27727272727272,68.53636363636365,75.51596405488449,70.3752985650713
2018R407,2018,4,2018-04-15,Docklands,1:10 PM,30900,Essendon,106,Port Adelaide,84,15.0,2,False,True,2,0,2,2,38,-111,16.201173826173836,42.96153846153847,73.86363636363636,65.81818181818181,74.6530303030303,69.15227272727272,74.46238685556868,72.07494796869797
2018R408,2018,4,2018-04-15,M.C.G.,3:20 PM,41973,Hawthorn,115,Melbourne,48,15.0,2,False,True,0,0,3,1,69,55,-14.578703703703717,-32.5042735042735,66.36363636363636,74.61363636363636,75.24621212121214,76.9530303030303,75.92649610490521,76.02875584011947
2018R409,2018,4,2018-04-15,Kardinia Park,4:40 PM,27338,Geelong,103,St Kilda,56,7.2,2,False,False,1,0,4,4,134,6,-18.656552128427123,-8.54148629148628,73.13636363636364,70.0909090909091,73.25037878787879,71.75719696969696,74.63503131969041,72.15835137085138
2018R501,2018,5,2018-04-20,S.C.G.,7:50 PM,38017,Sydney,75,Adelaide,85,0.0,0,True,False,2,0,2,4,-76,508,28.055555555555557,2.9591720779220765,78.47727272727273,79.81818181818181,74.19318181818181,74.50151515151514,73.80919178860356,73.47707851417744
2018R502,2018,5,2018-04-21,Docklands,1:45 PM,14956,St Kilda,73,Greater Western Sydney,73,0.0,1,False,True,2,0,3,0,6,0,11.237962962962968,0.0,67.5,64.77272727272727,70.52727272727272,76.37727272727274,71.16388344647035,77.3895272916329
2018R503,2018,5,2018-04-21,M.C.G.,4:35 PM,27900,Carlton,69,West Coast,79,0.0,0,False,True,4,0,5,2,55,78,-1.2550854700854757,-6.921203796203798,52.13636363636363,71.79545454545455,66.43636363636365,76.17272727272727,66.56885338925781,76.73544749590873
2018R504,2018,5,2018-04-21,Adelaide Oval,7:10 PM,45372,Port Adelaide,50,Geelong,84,1.4,0,False,True,2,0,3,3,-78,149,-3.4370370370370296,27.201190476190476,62.75,70.93181818181819,69.1064393939394,69.06249999999999,72.141863753077,71.48867354793157
2018R505,2018,5,2018-04-21,Perth Stadium,6:15 PM,43056,Fremantle,108,Western Bulldogs,54,0.0,2,False,False,3,0,2,4,275,99,-12.708333333333343,15.888545482295484,73.8409090909091,72.77272727272727,70.93636363636364,74.05340909090911,72.17466577540108,71.17684037775949
2018R506,2018,5,2018-04-22,Docklands,3:20 PM,27981,North Melbourne,98,Hawthorn,70,0.0,2,True,True,0,0,1,2,-1,309,5.049999999999997,24.38020833333333,75.95454545454545,64.02272727272727,73.39204545454544,73.87727272727274,72.94856389525508,74.09275542861772
2018R507,2018,5,2018-04-22,Gabba,4:45 PM,16087,Brisbane Lions,71,Gold Coast,76,0.2,0,False,False,0,0,4,2,-42,-86,22.945398351648343,-22.261904761904766,66.29545454545455,69.5,70.99545454545456,69.68560606060606,70.49955877455878,71.28176688693067
2018R508,2018,5,2018-04-24,M.C.G.,7:25 PM,77071,Melbourne,56,Richmond,102,0.0,0,False,True,0,0,4,3,260,161,-1.6215277777777715,10.89098124098124,71.5909090909091,66.61363636363636,78.31742424242424,72.13939393939394,75.99524715480598,72.96351707005114
2018R509,2018,5,2018-04-25,M.C.G.,3:20 PM,91440,Collingwood,101,Essendon,52,0.0,2,True,True,0,0,0,1,0,-6,0.0,80.25,68.79545454545455,70.0,77.76931818181816,70.08068181818182,77.77664486249044,71.31634050552834
2018R601,2018,6,2018-04-27,Docklands,7:50 PM,33915,Western Bulldogs,80,Carlton,59,0.0,2,False,False,0,0,3,2,-44,24,-38.81717302305538,-6.4386363636363555,81.5909090909091,52.09090909090909,80.85909090909092,66.66666666666669,76.39189354354797,67.67545677176359
