round,player,team,score
17,1,Gary Ablett,178
17,2,Jack Steven,161
17,3,Ricky Henderson,160
17,4,Nick Dal Santo,159
17,5,Justin Westhoff,152
17,6,Dawson Simpson,148
17,7,Alex Rance,147
17,8,Daniel Hannebery,145
17,8,Leigh Montagna,145
17,10,Adam Cooney,141
17,11,Ryan Griffen,140
17,11,David Hale,140
17,13,Matthew Kreuzer,139
17,14,Trent Cotchin,137
17,14,Joel Selwood,137
17,16,Ben McEvoy,135
17,17,Nick Riewoldt,134
17,17,Dayne Beams,134
17,19,Daniel Giansiracusa,131
17,20,Chad Wingard,130
17,21,Chris Masten,129
17,22,Tom Rockliff,128
17,22,Richard Douglas,128
17,22,Joshua Kennedy,128
17,25,Matthew Lobbe,127
17,26,Kieren Jack,126
17,26,Scott Thompson,126
17,28,Drew Petrie,125
17,29,Kade Simpson,120
17,29,Thomas Liberatore,120
17,31,Jaeger O'Meara,119
17,32,Jordan Lewis,118
17,33,Matthew Leuenberger,117
17,33,Darren Glass,117
17,35,Isaac Smith,116
17,35,Jack Redden,116
17,37,Corey Enright,115
17,37,Sam Dwyer,115
17,37,Shaun Grigg,115
17,40,Brent Staker,114
17,41,Jake Melksham,113
17,41,Corey Dell'Olio,113
17,41,Pearce Hanley,113
17,41,Tendai Mzungu,113
17,45,Travis Colyer,112
17,46,Ivan Maric,111
17,47,Lachlan Henderson,110
17,47,Edward Curnow,110
17,47,Trent McKenzie,110
17,47,Luke Hodge,110
17,51,Andrew Walker,109
17,51,Tim Mohr,109
17,53,Josh Kennedy Injured,108
17,54,Robbie Gray,107
17,55,Joel Corey,104
17,55,Michael Barlow,104
17,57,Scott Pendlebury,103
17,57,Marc Murphy,103
17,57,Shane Edwards,103
17,57,Josh Thomas,103
17,57,Colin Sylvia,103
17,62,Dustin Martin,102
17,62,Mark Hutchings,102
17,62,Jeremy Cameron,102
17,65,Travis Cloke,101
17,65,Mark Lecras,101
17,67,Michael Hurley,100
17,67,Josh Caddy,100
17,67,David Myers,100
17,67,Jonathan Giles,100
17,71,Jack Fitzpatrick,99
17,71,Jackson Macrae,99
17,71,Jack Ziebell,99
17,71,Bernie Vince,99
17,71,Zachary Clarke,99
17,76,Dylan Shiel,98
17,76,Brent Harvey,98
17,76,Dean Terlich,98
17,76,Andrew Gaff,98
17,76,Jack Trengove,98
17,76,Dane Swan,98
17,82,Campbell Brown,97
17,82,Nick Smith,97
17,82,Rory Sloane,97
17,82,Todd Goldstein,97
17,82,Andrew Mackie,97
17,82,Ryan Bastinac,97
17,88,Greg Broughton,96
17,89,Michael Johnson,95
17,89,Adam Tomlinson,95
17,89,Cale Hooker,95
17,89,Nathan Van Berlo,95
17,93,Michael Walters,93
17,93,Brent Stanton,93
17,93,Matthew Wright,93
17,96,Steele Sidebottom,92
17,97,Lenny Hayes,91
17,97,Leigh Adams,91
17,99,Brad Ebert,90
17,99,Jack Riewoldt,90
17,101,Callan Ward,89
17,101,Travis Boak,89
17,101,Daniel Jackson,89
17,104,Brad Sewell,88
17,104,Nathan Fyfe,88
17,104,Ben Cunnington,88
17,104,Mike Pyke,88
17,104,Nick Haynes,88
17,104,Tom Nicholls,88
17,104,Steven May,88
17,104,Hamish Hartlett,88
17,104,Matthew Maguire,88
17,113,Jed Lamb,87
17,113,Heath Shaw,87
17,115,Paul Seedsman,86
17,115,Matthew Priddis,86
17,115,Jasper Pittard,86
17,115,Sam Jacobs,86
17,115,Marley Williams,86
17,120,Michael Hibberd,85
17,120,Nick Vlastuin,85
17,120,Zachary Williams,85
17,120,Jack Watts,85
17,120,Jeremy Howe,85
17,120,Aaron Davey,85
17,126,Jared Brennan,84
17,126,Jarrad Grant,84
17,126,Daniel Rich,84
17,126,Brett Goodes,84
17,126,Taylor Adams,84
17,126,James Frawley,84
17,132,Matt Shaw,83
17,132,Josh Gibson,83
17,132,Ryan O'Keefe,83
17,132,Jeff Garlett,83
17,132,Chris Judd,83
17,132,Will Minson,83
17,132,Shaun Atley,83
