gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition
2013R307,2013,3,14/04/2013,Docklands,1:10 PM,44045,Richmond,135,Western Bulldogs,68,0,2,TRUE,FALSE,0,0,1,2,-65,-30,53.625,-1.270833333,75.18181818,77.40909091,75.37045455,78.07386364,72.79528577,76.88133741,12,15
2013R308,2013,3,14/04/2013,M.C.G.,3:20 PM,72254,Collingwood,90,Hawthorn,145,0,0,TRUE,TRUE,0,0,4,2,100,178,44.75892857,13.42975427,57.04545455,74.70454545,65.47083333,75.80340909,67.89763683,75.20806258,4,1
2013R309,2013,3,14/04/2013,Football Park,4:10 PM,40707,Port Adelaide,118,Adelaide,109,0,2,TRUE,TRUE,0,0,1,1,-52,-200,26.25,-3.5,69.36363636,68.27272727,70.78484848,73.65227273,72.14283009,72.21989393,14,2
2013R401,2013,4,19/04/2013,S.C.G.,7:50 PM,31060,Sydney,103,Geelong,124,0.8,0,TRUE,TRUE,2,0,2,2,71,-43,19.45947802,2.727083333,69.31818182,69,67.95795455,77.3969697,70.30765901,76.91992648,3,6
2013R402,2013,4,20/04/2013,York Park,1:45 PM,12619,Hawthorn,118,Fremantle,76,0.6,2,TRUE,FALSE,4,4,2,2,34,481,23.23994755,34.50446429,68.25,65.15909091,72.12878788,75.47272727,72.72541918,74.19345881,1,7
2013R403,2013,4,20/04/2013,M.C.G.,2:10 PM,81950,Richmond,79,Collingwood,113,0.2,0,TRUE,FALSE,0,0,0,3,0,283,0,-18.41190476,78.54545455,66.90909091,78.78181818,74.14848485,76.68796724,76.21616717,12,4
2013R404,2013,4,20/04/2013,Docklands,4:40 PM,46965,St Kilda,91,Essendon,128,0.2,0,TRUE,TRUE,0,0,3,6,181,184,10.79204823,0.206613757,81.72727273,66.59090909,73.13825758,72.43787879,72.82430023,74.89432644,9,11
2013R405,2013,4,20/04/2013,Subiaco,5:40 PM,38674,West Coast,65,Carlton,89,0.4,0,TRUE,FALSE,3,0,2,3,186,1,-22.63630952,-25.29273504,65.54545455,62.06818182,71.45795455,72.12348485,72.1106567,71.69172958,5,10
2013R406,2013,4,20/04/2013,Carrara,7:40 PM,11332,Gold Coast,66,Port Adelaide,104,0,0,FALSE,TRUE,3,0,2,2,-91,-204,-17.19399351,-13.76041667,70.52272727,74.5,64.23712121,71.97954545,66.98472058,74.03595524,17,14
2013R407,2013,4,21/04/2013,M.C.G.,1:10 PM,20018,Melbourne,144,Greater Western Sydney,103,0,2,FALSE,FALSE,2,0,2,6,-20,70,-25.82857143,25.95611772,62.06818182,60.93181818,65.54545455,60.07840909,66.49082915,59.98429024,16,18
2013R408,2013,4,21/04/2013,Football Park,2:50 PM,24684,Adelaide,80,Western Bulldogs,28,7.8,2,FALSE,FALSE,2,0,3,6,488,190,2.602331002,10.7265873,70.68181818,70.81818182,73.53181818,73.77386364,72.05649921,73.31644709,2,15
2013R409,2013,4,21/04/2013,Docklands,4:40 PM,22776,North Melbourne,125,Brisbane Lions,62,0,2,FALSE,TRUE,0,0,2,3,15,79,15.97916667,-22.14786325,73.06818182,67.77272727,74.62121212,70.42727273,73.53459003,68.40541542,8,13
2013R501,2013,5,25/04/2013,M.C.G.,2:40 PM,93373,Essendon,121,Collingwood,75,1,2,TRUE,TRUE,0,0,3,1,64,-93,10.82407407,18.53571429,63.52272727,62.45454545,71.575,72.36704545,74.76133069,75.04379812,11,4
2013R502,2013,5,25/04/2013,Wellington,7:50 PM,22546,St Kilda,63,Sydney,79,0,0,FALSE,FALSE,3,3,5,2,157,99,9.668373016,-25.82440476,79.15909091,73.86363636,70.98143939,70.72727273,70.21029214,72.73265693,9,3
2013R503,2013,5,26/04/2013,Subiaco,6:45 PM,36365,Fremantle,81,Richmond,80,0,2,FALSE,FALSE,3,0,3,5,-193,246,-27.36417749,21.81125,66.84090909,70.75,78.99090909,73.33409091,76.83186336,70.87455118,7,12
2013R504,2013,5,27/04/2013,Manuka Oval,1:45 PM,6832,Greater Western Sydney,104,Gold Coast,148,0,0,FALSE,FALSE,0,1,5,3,-95,18,-19.47307082,-19.8,67.15909091,72.56818182,65.89545455,67.84924242,65.09230402,70.01919015,18,17
2013R505,2013,5,27/04/2013,M.C.G.,4:40 PM,44711,Carlton,115,Adelaide,83,0,2,TRUE,TRUE,2,0,1,2,-96,-32,-19.96153846,3.783435315,65.25,71.84090909,73.17234848,72.57954545,72.69837962,72.66664971,10,2
2013R506,2013,5,27/04/2013,Docklands,7:40 PM,26153,Western Bulldogs,86,Geelong,107,0,0,FALSE,TRUE,1,0,3,2,348,116,36.21064815,0.329166667,67.40909091,69.95454545,69.74772727,78.38068182,68.05396454,76.89592409,15,6
2013R507,2013,5,27/04/2013,Football Park,7:15 PM,26132,Port Adelaide,84,West Coast,79,0,2,TRUE,FALSE,3,0,1,2,-51,94,4.194444444,-11.19583333,73.02272727,66.22727273,71.50606061,72.49848485,74.6306014,73.02523135,14,5
2013R508,2013,5,28/04/2013,Gabba,3:20 PM,19018,Brisbane Lions,122,Melbourne,94,0,2,FALSE,TRUE,3,0,5,3,129,-123,16.16333333,11.82744709,62.77272727,56.61363636,67.45757576,64.54507576,64.85917409,67.11665294,13,16
2013R509,2013,5,28/04/2013,M.C.G.,4:40 PM,42103,Hawthorn,99,North Melbourne,96,0,2,TRUE,TRUE,0,0,2,1,-372,78,-14.76602564,3.802884615,74.75,76.38636364,76.45,75.36022727,76.81480297,75.43250633,1,8
2013R601,2013,6,3/05/2013,Docklands,7:50 PM,40071,Collingwood,103,St Kilda,77,0,2,FALSE,FALSE,0,0,5,3,102,-1,-3.626785714,15.4489418,69,76.36363636,73,68.91136364,75.85777427,68.25155865,4,9
2013R602,2013,6,4/05/2013,Docklands,1:45 PM,30143,Essendon,120,Greater Western Sydney,81,4,2,TRUE,FALSE,2,0,4,7,1,191,13.75055147,-3.20327381,66.88636364,66.25,69.59545455,68.05,71.98725953,66.21167907,11,18
2013R603,2013,6,4/05/2013,Bellerive Oval,2:10 PM,10265,North Melbourne,93,Port Adelaide,83,6.2,2,FALSE,TRUE,2,2,1,1,52,62,22.425,6.063492063,76.06818182,73.84090909,74.18636364,72.08977273,74.15217976,74.49613005,8,14
2013R604,2013,6,4/05/2013,Football Park,4:10 PM,37324,Adelaide,78,Hawthorn,89,0,0,FALSE,TRUE,2,0,4,3,-81,5,7.504945055,1.271164021,68.65909091,78.59090909,71.25454545,77.47272727,71.0950044,77.1664076,2,1
2013R605,2013,6,4/05/2013,Carrara,7:40 PM,10552,Gold Coast,54,Fremantle,99,0,0,TRUE,TRUE,4,0,2,4,-9,119,1.586538462,27.25625,75.22727273,65.93181818,68.9375,73.53181818,71.12588585,72.25306823,17,7
2013R606,2013,6,4/05/2013,M.C.G.,7:40 PM,55625,Richmond,87,Geelong,131,4,0,FALSE,TRUE,1,0,3,2,-135,65,-30.65331825,3.99578373,77.93181818,67.68181818,78.23181818,77.81818182,75.02223983,76.87319178,12,6
2013R607,2013,6,5/05/2013,S.C.G.,1:10 PM,23315,Sydney,115,Brisbane Lions,55,0,2,TRUE,TRUE,0,0,1,2,61,22,10.32936508,-23.6936553,71.31818182,63.5,70.41363636,69.08484848,72.62267528,68.30641521,3,13
2013R608,2013,6,5/05/2013,M.C.G.,3:20 PM,35286,Carlton,121,Melbourne,60,0,2,TRUE,FALSE,0,0,3,6,108,407,10.72211329,-5.593775438,65.27272727,58.45454545,71.85568182,67.46742424,71.50144241,68.58149718,10,16
2013R609,2013,6,5/05/2013,Subiaco,2:40 PM,36163,West Coast,137,Western Bulldogs,67,0,2,FALSE,FALSE,3,0,4,2,-17,-67,-5.641895604,22.22222222,65.75,66.13636364,72.56022727,67.98636364,73.98758223,66.32878091,5,15
2013R701,2013,7,10/05/2013,Docklands,7:50 PM,53014,Geelong,113,Essendon,85,0,2,TRUE,TRUE,0,1,2,6,267,-153,18.93055556,-4.882331326,68.20454545,66.29545455,76.61363636,70.94545455,75.17539997,73.95337602,6,11
2013R702,2013,7,11/05/2013,Football Park,1:15 PM,25372,Port Adelaide,73,Richmond,114,0,0,FALSE,FALSE,2,0,4,5,295,-87,16.01997549,18.26179631,74.81818182,74.88636364,69.02727273,73.54242424,70.9486689,71.10174089,14,12
2013R703,2013,7,11/05/2013,Gabba,2:10 PM,17614,Brisbane Lions,82,West Coast,108,0.8,0,FALSE,TRUE,4,0,3,3,-396,140,-20.75555556,3.507738095,67.93181818,67.18181818,72.11818182,73.35909091,71.24603756,74.28327053,13,5
2013R704,2013,7,11/05/2013,Docklands,4:40 PM,23690,Western Bulldogs,97,North Melbourne,151,0,0,FALSE,TRUE,0,0,4,2,-622,-357,-33.89984244,-25.81868132,75.02272727,81,74.20227273,77.35909091,72.02685956,77.00663703,15,8
2013R705,2013,7,11/05/2013,Subiaco,5:40 PM,37214,Fremantle,100,Collingwood,73,7.2,2,TRUE,TRUE,3,0,0,2,0,-90,0,27.55757576,65.47727273,69.63636364,73.58181818,71.46931818,72.65908227,74.44527098,7,4
