gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition
2019R304,2019,3,6/04/2019,Sydney Showground,4:35 PM,12697,Greater Western Sydney,125,Richmond,76,1.6,2,0,0,2,0,3,3,-2,497,8.869444444,7.072222222,77.95454545,61.06818182,75.54545455,71.51628788,75.71863641,69.59071938,7,1,164,144,113.8888889,163,174,93.67816092,8,13
2019R305,2019,3,6/04/2019,Gabba,6:25 PM,19958,Brisbane Lions,107,Port Adelaide,90,0,2,1,1,3,0,0,3,0,-8,0,3.518569394,72.59090909,72.61363636,75.2,75.69659091,74.31181129,78.92826794,15,10,209,145,144.137931,175,133,131.5789474,2,3
2019R306,2019,3,6/04/2019,M.C.G.,7:25 PM,60878,Collingwood,76,West Coast,98,0,0,1,1,4,0,1,3,86,-200,-54.11428571,-24.89505495,85.09090909,67.43181818,83.77840909,71.775,82.35762432,73.63946331,3,2,175,138,126.8115942,162,154,105.1948052,7,10
2019R307,2019,3,7/04/2019,Docklands,2:20 PM,22499,Western Bulldogs,68,Gold Coast,73,0,0,1,1,0,0,0,0,0,0,0,0,74.20454545,65.09090909,77.40454545,68.21818182,76.67381936,69.93760741,13,17,188,152,123.6842105,145,143,101.3986014,4,11
2019R308,2019,3,7/04/2019,M.C.G.,3:20 PM,36174,Hawthorn,87,North Melbourne,71,0,2,0,0,0,0,3,1,667,42,1.331481481,-21.56428571,65.29545455,69.61363636,72.1905303,73.01590909,71.243577,72.61050868,4,9,174,161,108.0745342,146,248,58.87096774,9,16
2019R309,2019,3,7/04/2019,Perth Stadium,3:20 PM,38227,Fremantle,71,St Kilda,66,0,2,0,1,3,0,2,1,-112,162,2.969230769,8.227272727,61.36363636,64.84090909,71.92159091,71.93560606,72.02832149,73.39399981,14,16,199,120,165.8333333,161,149,108.0536913,6,5
2019R401,2019,4,11/04/2019,S.C.G.,7:20 PM,26669,Sydney,78,Melbourne,100,0,0,1,0,2,0,2,4,115,218,35.81527778,-10.61860119,73.25,74.31818182,71.3844697,69.55454545,72.75079002,70.74803391,6,5,220,244,90.16393443,219,343,63.8483965,12,18
2019R402,2019,4,12/04/2019,M.C.G.,7:50 PM,59257,Collingwood,78,Western Bulldogs,64,0,2,0,0,0,0,2,1,85,-96,16.2827381,-22.92307692,84.81818182,76.04545455,82.66969697,78.83295455,80.16492144,77.67204387,3,13,251,236,106.3559322,256,225,113.7777778,11,5
2019R403,2019,4,13/04/2019,Kardinia Park,1:45 PM,28780,Geelong,75,Greater Western Sydney,79,0,0,1,1,2,0,1,1,141,-135,14.60714286,0,76.22727273,77.95454545,74.55757576,75.36363636,75.57416362,75.91795982,8,7,297,186,159.6774194,289,220,131.3636364,1,4
2019R404,2019,4,13/04/2019,M.C.G.,2:10 PM,48289,Essendon,112,Brisbane Lions,65,0,2,1,1,0,0,4,2,-258,-11,-22.45269314,-6.367424242,70.47727273,71.40909091,70.43333333,76.23409091,72.36747627,75.30934586,11,15,235,300,78.33333333,316,235,134.4680851,15,2
2019R405,2019,4,13/04/2019,Adelaide Oval,4:05 PM,38864,Port Adelaide,92,Richmond,99,0,0,0,0,2,0,0,6,0,228,0,-0.040734728,72.61363636,61.79545455,74.90454545,70.23863636,77.82803238,69.91343896,10,1,265,240,110.4166667,239,299,79.93311037,8,14
2019R406,2019,4,13/04/2019,Docklands,7:25 PM,17207,North Melbourne,71,Adelaide,59,0,2,0,0,2,0,4,2,51,306,-12.3444493,23.42708333,70.5,66.09090909,74.1,70.79659091,74.97233297,73.08108142,9,12,217,335,64.7761194,218,248,87.90322581,17,13
2019R407,2019,4,13/04/2019,Perth Stadium,6:10 PM,58219,West Coast,69,Fremantle,56,0,2,1,1,0,0,1,2,104,173,2.091269841,30.30357143,67.81818182,57.52272727,71.8530303,69.41212121,73.0532664,69.83967434,2,14,260,230,113.0434783,270,186,145.1612903,6,3
2019R408,2019,4,14/04/2019,Carrara,2:40 PM,14176,Gold Coast,59,Carlton,57,0.2,2,1,0,3,0,1,1,41,-35,27.02380952,-13.64285714,63.81818182,60.45454545,67.15909091,72.68636364,68.69909983,71.29164932,17,18,218,211,103.3175355,210,278,75.53956835,9,16
2019R409,2019,4,14/04/2019,Docklands,3:20 PM,35883,St Kilda,74,Hawthorn,69,0,2,0,1,0,0,2,2,254,-254,16.4969697,4.2125,62.61363636,65.79545455,70.25606061,71.61704545,71.611324,70.98765335,16,4,227,220,103.1818182,261,232,112.5,10,7
2019R501,2019,5,18/04/2019,Gabba,7:35 PM,34017,Brisbane Lions,61,Collingwood,123,0.2,0,0,1,3,0,0,1,0,28,0,-3.68125,71.40909091,81.38636364,75.90909091,82.17386364,74.8806719,80.24050439,15,3,381,347,109.7982709,329,300,109.6666667,4,8
2019R502,2019,5,19/04/2019,Docklands,4:20 PM,48278,North Melbourne,58,Essendon,116,0,0,1,1,0,0,2,3,-34,308,30.50833333,41.73373016,68.22727273,66.95454545,71.54090909,65.85909091,72.24835067,67.14972246,9,11,288,394,73.0964467,347,365,95.06849315,17,12
2019R503,2019,5,19/04/2019,Perth Stadium,6:10 PM,49290,West Coast,53,Port Adelaide,95,23.4,0,1,0,3,0,2,1,-298,147,3.728409091,8.954545455,68.59090909,73.5,71.30454545,74.83636364,72.99721494,77.48223351,2,10,329,286,115.034965,357,339,105.3097345,3,11
2019R504,2019,5,20/04/2019,Manuka Oval,1:45 PM,11277,Greater Western Sydney,82,Fremantle,106,0,0,1,0,4,1,1,2,216,-120,-56.1,-32.05277778,80.72727273,64.02272727,77.83181818,72.95681818,78.62735902,72.82453349,7,14,368,295,124.7457627,326,255,127.8431373,2,7
2019R505,2019,5,20/04/2019,M.C.G.,4:35 PM,35558,Melbourne,55,St Kilda,95,0,0,1,1,0,0,2,2,-348,-311,-3.041666667,-5.654166667,74.59090909,62.43181818,69.63636364,71.06818182,71.2078824,72.30280973,5,16,319,421,75.7719715,301,289,104.1522491,16,5
2019R506,2019,5,20/04/2019,Docklands,7:25 PM,40053,Richmond,89,Sydney,67,0,2,1,0,2,0,2,2,-331,-39,-38.67307692,-37.95407197,65.25,75.65909091,74.77878788,75.00340909,73.6019879,76.84244807,1,6,338,391,86.44501279,298,344,86.62790698,13,15
2019R507,2019,5,21/04/2019,Docklands,1:10 PM,35069,Western Bulldogs,57,Carlton,101,0,0,0,0,0,0,3,3,286,-78,11.48611111,1.072619048,72.31818182,59.15909091,76.82575758,71.51136364,75.68458074,71.7687538,13,18,320,303,105.6105611,267,337,79.22848665,10,18
2019R508,2019,5,21/04/2019,Adelaide Oval,4:10 PM,40847,Adelaide,119,Gold Coast,46,0.8,2,0,1,0,0,3,2,-143,21,-27.58703704,4.944444444,67.13636364,68.65909091,73.93181818,67.9,76.30544727,68.87693454,12,17,277,319,86.8338558,277,268,103.358209,14,6
2019R509,2019,5,22/04/2019,M.C.G.,3:20 PM,66347,Hawthorn,90,Geelong,113,1,0,0,0,1,0,3,1,332,-138,-16.47371032,17.12820513,67.68181818,75.02272727,74.25454545,72.94090909,73.68807775,74.01790801,4,8,330,306,107.8431373,372,265,140.3773585,9,1
