gameId,team,year,round,playerId,displayName,gameNumber,Disposals,Kicks,Marks,Handballs,Goals,Behinds,HitOuts,Tackles,Rebounds,Inside50s,Clearances,Clangers,Frees,FreesAgainst,BrownlowVotes,ContestedPossessions,UncontestedPossessions,ContestedMarks,MarksInside50,OnePercenters,Bounces,GoalAssists,PercentPlayed,Subs,Supercoach,Fantasy
2013R101,Adelaide,2013,1,2012662083,Luke Brown,4,7,3,2,4,0,0,0,3,2,1,0,0,0,0,0,3,4,0,0,0,0,1,45,Off,44,35
2013R101,Adelaide,2013,1,2008681760,Patrick Dangerfield,90,17,10,1,7,0,1,0,2,1,4,4,4,1,2,0,12,5,0,0,1,0,0,87,-,63,51
2013R101,Adelaide,2013,1,2006687579,Richard Douglas,115,19,13,5,6,2,1,0,2,3,5,3,3,0,1,0,6,13,2,2,0,1,1,82,-,91,84
2013R101,Adelaide,2013,1,2010728130,Ricky Henderson,43,14,11,7,3,0,2,0,1,0,3,1,2,1,0,0,6,8,2,1,0,0,0,85,-,63,67
2013R101,Adelaide,2013,1,2009748959,Sam Jacobs,61,10,9,2,1,0,1,37,1,4,4,3,1,1,0,0,8,2,1,0,3,0,0,91,-,102,78
2013R101,Adelaide,2013,1,2010744089,Matthew Jaensch,35,13,7,2,6,0,0,0,1,5,0,0,0,0,0,0,4,8,1,0,5,0,0,83,-,71,43
2013R101,Adelaide,2013,1,2012743763,Josh Jenkins,12,11,9,3,2,1,0,7,1,0,2,1,1,3,1,0,6,4,2,0,1,0,0,80,-,70,57
2013R101,Adelaide,2013,1,2002744632,Graham Johncock,226,13,7,4,6,1,1,0,2,0,2,0,0,2,0,0,10,4,2,0,1,0,1,81,-,85,62
2013R101,Adelaide,2013,1,2008774238,David Mackay,87,16,8,3,8,1,0,0,4,1,3,1,5,1,2,0,7,9,1,0,0,1,0,82,-,64,66
2013R101,Adelaide,2013,1,2009775114,Brodie Martin,17,9,6,2,3,0,0,0,1,3,0,0,0,2,0,0,3,6,0,0,0,0,1,36,On,30,36
2013R101,Adelaide,2013,1,2008795429,Andy Otten,48,15,6,3,9,0,0,0,0,2,1,0,2,1,0,0,8,7,0,0,15,0,0,83,-,88,46
2013R101,Adelaide,2013,1,2009801400,Jared Petrenko,60,5,4,0,1,1,1,0,6,0,0,0,0,1,0,0,1,0,0,0,0,1,0,79,-,45,46
2013R101,Adelaide,2013,1,2006803072,Jason Porplyzia,111,16,8,3,8,1,2,0,1,0,0,0,3,0,1,0,8,7,1,1,1,0,0,85,-,74,58
2013R101,Adelaide,2013,1,2002824246,Brent Reilly,182,19,13,3,6,0,0,0,4,7,3,2,7,1,5,0,6,11,0,0,1,1,0,90,-,72,62
2013R101,Adelaide,2013,1,2003826623,Ben Rutten,195,7,2,1,5,0,0,0,1,0,0,0,3,0,1,0,6,0,1,0,3,0,0,90,-,42,20
2013R101,Adelaide,2013,1,2009835778,Rory Sloane,58,23,12,1,11,0,1,0,6,6,2,4,0,2,0,0,11,11,0,1,1,0,0,90,-,89,88
2013R101,Adelaide,2013,1,2011843284,Daniel Talia,33,5,3,1,2,0,0,0,0,1,0,0,3,0,3,0,2,4,0,0,9,0,0,94,-,32,7
