gameId,team,year,round,playerId,displayName,gameNumber,Disposals,Kicks,Marks,Handballs,Goals,Behinds,HitOuts,Tackles,Rebounds,Inside50s,Clearances,Clangers,Frees,FreesAgainst,BrownlowVotes,ContestedPossessions,UncontestedPossessions,ContestedMarks,MarksInside50,OnePercenters,Bounces,GoalAssists,PercentPlayed,Subs,Supercoach,Fantasy
2014R105,Adelaide,2014,1,2005667052,Eddie Betts,185,16,8,2,8,2,1,0,4,0,3,1,2,0,0,0,9,7,0,0,1,0,1,88,-,78
2014R105,Adelaide,2014,1,2012662083,Luke Brown,25,20,13,4,7,0,0,0,4,3,0,2,2,1,0,0,6,13,0,0,1,0,0,82,-,67
2014R105,Adelaide,2014,1,2013674392,Brad Crouch,15,12,5,1,7,0,0,0,5,2,0,1,2,1,1,0,3,9,0,0,2,0,0,56,Off,43
2014R105,Adelaide,2014,1,2008681760,Patrick Dangerfield,110,21,8,2,13,2,0,1,1,2,1,4,4,1,2,2,17,4,2,0,3,1,0,86,-,107
2014R105,Adelaide,2014,1,2013715229,Mitch Grigg,6,21,12,6,9,1,0,0,1,4,5,3,3,0,0,0,5,15,0,1,0,0,1,84,-,0
2014R105,Adelaide,2014,1,2009748959,Sam Jacobs,83,19,14,8,5,1,0,26,0,2,2,4,2,0,0,0,7,12,2,0,3,0,2,86,-,113
2014R105,Adelaide,2014,1,2010744089,Matthew Jaensch,46,25,11,3,14,1,0,0,3,5,4,0,0,1,0,0,6,16,0,0,2,2,0,85,-,107
2014R105,Adelaide,2014,1,2011744071,Lewis Johnston,9,12,8,4,4,3,0,0,0,0,2,1,1,0,1,0,2,9,1,3,2,0,0,78,-,66
2014R105,Adelaide,2014,1,2012751590,Sam Kerridge,13,24,9,5,15,0,0,0,4,4,2,2,3,0,0,0,7,16,0,1,0,0,1,89,-,86
2014R105,Adelaide,2014,1,2012767797,Jarryd Lyons,13,9,6,1,3,0,0,0,4,3,1,4,1,1,0,0,6,4,0,0,3,0,0,31,On,58
2014R105,Adelaide,2014,1,2008774238,David Mackay,106,17,6,2,11,0,0,0,3,2,2,0,2,2,1,0,5,12,0,0,4,3,2,74,-,0
2014R105,Adelaide,2014,1,2009775114,Brodie Martin,19,15,5,2,10,0,0,0,1,0,3,1,2,0,2,0,3,12,0,0,2,0,0,80,-,42
2014R105,Adelaide,2014,1,2009771825,Shaun McKernan,33,13,7,3,6,1,1,4,1,0,4,1,2,2,1,0,7,6,1,2,1,0,0,90,-,66
2014R105,Adelaide,2014,1,2010807356,James Podsiadly,84,11,3,3,8,0,1,0,3,0,2,0,5,0,1,0,7,4,0,1,3,0,0,85,-,41
2014R105,Adelaide,2014,1,2006803072,Jason Porplyzia,127,11,8,3,3,0,0,0,2,0,3,1,3,0,1,0,3,8,0,0,1,0,0,83,-,40
2014R105,Adelaide,2014,1,2003826623,Ben Rutten,216,10,4,3,6,0,0,0,3,1,0,0,2,0,1,0,2,7,1,0,4,0,0,91,-,54
2014R105,Adelaide,2014,1,2012832815,Sam Shaw,17,11,5,1,6,0,0,0,1,1,1,0,1,0,0,0,5,6,1,0,7,0,0,88,-,55
2014R105,Adelaide,2014,1,2009835778,Rory Sloane,79,20,9,3,11,0,2,0,12,0,7,2,0,1,0,0,7,13,0,0,1,0,0,82,-,103
2014R105,Adelaide,2014,1,2011832909,Brodie Smith,55,18,8,4,10,1,0,0,0,8,1,1,3,0,0,0,5,11,0,0,4,3,0,91,-,78
2014R105,Adelaide,2014,1,2011843284,Daniel Talia,55,14,6,4,8,0,0,0,0,2,0,0,3,2,1,0,5,9,0,0,4,0,0,93,-,49
2014R105,Adelaide,2014,1,2001849962,Scott Thompson,246,20,7,1,13,0,1,0,3,2,1,3,2,0,2,0,6,14,0,1,0,0,0,90,-,57
2014R105,Adelaide,2014,1,2011872696,Matthew Wright,59,31,16,5,15,0,1,0,5,1,3,3,6,0,2,0,10,20,0,1,2,0,1,88,-,84
2014R204,Adelaide,2014,2,2005667052,Eddie Betts,186,9,8,4,1,4,1,0,5,0,0,0,2,2,1,0,3,5,0,3,2,0,0,87,-,80
2014R204,Adelaide,2014,2,2012662083,Luke Brown,26,13,8,2,5,0,0,0,3,0,0,0,1,2,0,0,3,10,0,0,2,0,0,91,-,57
2014R204,Adelaide,2014,2,2013674392,Brad Crouch,16,23,16,5,7,0,2,0,5,4,3,3,4,0,1,0,6,16,0,1,0,1,0,69,-,72
2014R204,Adelaide,2014,2,2008681760,Patrick Dangerfield,111,17,8,3,9,0,0,1,7,1,2,3,4,0,0,0,11,6,1,1,4,0,1,88,-,73
2014R204,Adelaide,2014,2,2006687579,Richard Douglas,137,29,19,2,10,1,0,0,3,1,10,6,2,4,1,0,15,13,0,0,1,2,0,90,-,117
2014R204,Adelaide,2014,2,2013715229,Mitch Grigg,7,12,7,3,5,2,1,0,3,0,2,0,2,3,1,0,4,8,0,1,1,1,0,74,-,0
2014R204,Adelaide,2014,2,2009748959,Sam Jacobs,84,11,5,3,6,0,0,26,2,1,0,2,1,0,1,0,5,5,0,0,0,0,0,90,-,69
2014R204,Adelaide,2014,2,2010744089,Matthew Jaensch,47,27,18,14,9,0,0,0,2,7,4,0,2,0,1,0,2,23,2,0,4,3,0,83,-,111
2014R204,Adelaide,2014,2,2011744071,Lewis Johnston,10,9,7,1,2,1,0,0,5,0,3,0,2,2,0,0,3,5,0,0,1,0,1,62,Off,49
2014R204,Adelaide,2014,2,2012751590,Sam Kerridge,14,16,5,4,11,1,0,0,2,0,0,2,4,0,3,0,3,12,1,2,0,0,0,80,-,48
