gameId,team,year,round,playerId,displayName,gameNumber,Disposals,Kicks,Marks,Handballs,Goals,Behinds,HitOuts,Tackles,Rebounds,Inside50s,Clearances,Clangers,Frees,FreesAgainst,BrownlowVotes,ContestedPossessions,UncontestedPossessions,ContestedMarks,MarksInside50,OnePercenters,Bounces,GoalAssists,PercentPlayed,Subs
2019R202,Adelaide,2019,2,2015754078,Kelly. Jake,55,16,7,5,9,0,0,0,1,1,0,0,1,0,1,0,4,12,0,0,6,0,0,80,nan
2019R202,Adelaide,2019,2,2015753305,Knight. Riley,41,12,6,3,6,2,1,0,5,1,1,2,3,2,2,0,5,6,0,1,1,0,0,77,nan
2019R202,Adelaide,2019,2,2013762245,Laird. Rory,123,21,13,5,8,0,0,0,3,6,0,0,1,1,0,0,4,14,0,0,1,0,1,84,nan
2019R202,Adelaide,2019,2,2010763943,Lynch. Tom,125,18,9,5,9,1,1,0,1,0,0,1,1,0,0,0,7,12,0,1,0,0,0,89,nan
2019R202,Adelaide,2019,2,2008774238,Mackay. David,204,17,9,4,8,2,0,0,2,2,4,0,2,1,0,0,7,10,0,0,2,0,0,74,nan
2019R202,Adelaide,2019,2,2016776481,Milera. Wayne,45,21,11,6,10,0,0,0,4,3,1,2,1,2,0,0,7,14,1,0,2,0,0,85,nan
2019R202,Adelaide,2019,2,2018774782,Murphy. Lachlan,13,17,9,5,8,0,0,0,3,2,5,2,2,0,1,0,7,9,0,0,1,0,0,78,nan
2019R202,Adelaide,2019,2,2012834096,Seedsman. Paul,89,17,10,7,7,1,1,0,1,4,3,1,0,0,0,0,4,13,1,1,0,3,0,83,nan
2019R202,Adelaide,2019,2,2009835778,Sloane. Rory,179,23,12,5,11,0,1,0,9,2,2,5,4,7,0,3,13,10,0,1,2,0,0,80,nan
2019R202,Adelaide,2019,2,2011832909,Smith. Brodie,147,23,20,5,3,0,1,0,2,4,3,0,0,1,0,0,3,17,0,0,4,0,0,81,nan
2019R202,Adelaide,2019,2,2011843284,Talia. Daniel,166,12,9,5,3,0,0,0,4,4,0,1,4,0,1,0,2,10,0,0,7,0,0,87,nan
2019R202,Adelaide,2019,2,2009877055,Walker. Taylor,169,16,10,6,6,1,3,0,4,0,4,0,4,2,2,0,11,5,2,0,2,0,1,85,nan
2019R301,Adelaide,2019,3,2015652891,Atkins. Rory,80,12,6,3,6,1,1,0,0,3,2,2,0,0,0,0,3,8,0,0,0,0,0,77,nan
2019R301,Adelaide,2019,3,2005667052,Betts. Eddie,298,15,8,2,7,0,1,0,4,0,4,1,3,1,2,0,4,10,0,1,0,1,3,83,nan
2019R301,Adelaide,2019,3,2013674392,Crouch. Brad,64,35,18,4,17,1,1,0,6,2,2,8,2,0,1,2,11,21,0,1,1,0,1,78,nan
2019R301,Adelaide,2019,3,2014678470,Crouch. Matt,93,27,12,2,15,1,0,0,6,1,4,6,3,2,1,0,11,17,0,1,2,0,1,77,nan
2019R301,Adelaide,2019,3,2007712963,Gibbs. Bryce,256,27,19,5,8,0,0,0,4,4,4,3,6,1,1,0,8,14,1,0,0,0,0,73,nan
2019R301,Adelaide,2019,3,2013724713,Hartigan. Kyle,84,7,4,3,3,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,5,0,0,86,nan
2019R301,Adelaide,2019,3,2012743763,Jenkins. Josh,139,10,5,4,5,1,1,3,1,0,1,0,1,1,0,0,3,7,2,2,0,2,0,87,nan
2019R301,Adelaide,2019,3,2019748529,Jones. Chayce,3,8,2,1,6,0,0,0,1,0,1,0,0,0,0,0,3,5,0,1,3,0,1,77,nan
2019R301,Adelaide,2019,3,2017759851,Keath. Alex,15,19,17,8,2,0,0,0,2,3,3,0,2,1,0,0,5,12,2,0,5,0,0,96,nan
2019R301,Adelaide,2019,3,2015754078,Kelly. Jake,56,11,5,2,6,0,0,0,3,0,0,0,2,2,1,0,5,6,0,0,8,0,0,84,nan
2019R301,Adelaide,2019,3,2015753305,Knight. Riley,42,11,7,7,4,1,0,0,2,1,1,0,2,0,2,0,2,9,0,1,0,0,0,79,nan
2019R301,Adelaide,2019,3,2013762245,Laird. Rory,124,24,12,5,12,0,0,0,2,5,2,0,2,1,0,0,5,17,0,0,4,1,0,87,nan
2019R301,Adelaide,2019,3,2010763943,Lynch. Tom,126,26,21,8,5,2,3,0,1,0,9,2,2,2,0,0,7,19,0,1,0,0,1,88,nan
2019R301,Adelaide,2019,3,2008774238,Mackay. David,205,13,8,2,5,0,0,0,2,1,5,2,2,0,0,0,4,9,0,0,2,2,0,78,nan
2019R301,Adelaide,2019,3,2016776481,Milera. Wayne,46,21,8,3,13,0,0,0,10,2,1,1,0,0,0,0,5,15,1,0,5,0,0,78,nan
2019R301,Adelaide,2019,3,2018774782,Murphy. Lachlan,14,15,5,4,10,1,0,0,3,1,2,2,0,1,0,0,8,7,0,0,1,0,1,74,nan
2019R301,Adelaide,2019,3,2016798113,OBrien. Reilly,3,11,5,3,6,0,0,28,3,1,1,6,4,2,3,0,8,5,0,0,3,0,0,85,nan
2019R301,Adelaide,2019,3,2012834096,Seedsman. Paul,90,9,4,5,5,0,1,0,2,1,1,0,0,0,0,0,1,9,0,1,0,1,0,74,nan
2019R301,Adelaide,2019,3,2009835778,Sloane. Rory,180,26,15,5,11,1,2,0,8,1,4,5,3,1,1,0,8,16,1,2,1,0,0,86,nan
2019R301,Adelaide,2019,3,2011832909,Smith. Brodie,148,22,15,2,7,0,1,0,3,5,3,0,5,0,2,0,5,12,0,0,3,0,0,78,nan
2019R301,Adelaide,2019,3,2011843284,Talia. Daniel,167,13,9,9,4,0,0,0,2,2,0,0,0,0,0,0,2,9,1,0,6,0,0,88,nan
2019R301,Adelaide,2019,3,2009877055,Walker. Taylor,170,7,5,4,2,1,1,0,0,0,3,0,2,0,1,0,5,3,2,1,1,0,0,84,nan
2019R406,Adelaide,2019,4,2015652891,Atkins. Rory,81,21,17,6,4,0,0,0,1,4,2,1,2,0,0,0,4,16,0,0,1,1,0,87,nan
2019R406,Adelaide,2019,4,2005667052,Betts. Eddie,299,11,10,3,1,3,2,0,2,2,0,0,4,0,1,0,6,5,1,3,0,0,0,89,nan
2019R406,Adelaide,2019,4,2013674392,Crouch. Brad,65,24,7,2,17,1,0,0,4,0,3,1,1,0,0,0,4,18,0,0,0,0,0,65,nan
2019R406,Adelaide,2019,4,2014678470,Crouch. Matt,94,29,15,6,14,0,0,0,3,2,2,2,2,1,0,0,12,16,0,0,0,0,0,86,nan
2019R406,Adelaide,2019,4,2014697406,Ellis-Yolmen. Cam,30,15,6,3,9,0,0,0,3,0,2,2,4,1,2,0,9,8,0,0,4,0,0,78,nan
2019R406,Adelaide,2019,4,2013724713,Hartigan. Kyle,85,4,3,2,1,0,0,0,1,0,0,0,2,0,1,0,0,4,0,0,2,0,0,93,nan
2019R406,Adelaide,2019,4,2012743763,Jenkins. Josh,140,13,11,5,2,1,3,7,0,1,2,1,4,0,2,0,3,10,0,2,2,0,1,88,nan
2019R406,Adelaide,2019,4,2019748529,Jones. Chayce,4,3,1,1,2,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,16,nan
2019R406,Adelaide,2019,4,2017759851,Keath. Alex,16,20,16,14,4,0,0,0,1,5,0,0,5,1,3,0,8,13,2,0,7,0,0,87,nan
2019R406,Adelaide,2019,4,2015754078,Kelly. Jake,57,15,11,5,4,0,0,0,2,3,0,0,0,0,0,0,5,11,0,0,2,0,0,85,nan
2019R406,Adelaide,2019,4,2015753305,Knight. Riley,43,15,8,4,7,0,0,0,4,0,2,2,1,1,0,0,5,10,0,2,2,0,0,79,nan
2019R406,Adelaide,2019,4,2013762245,Laird. Rory,125,31,16,9,15,0,0,0,2,7,0,0,2,2,0,0,7,23,0,0,1,1,0,93,nan
2019R406,Adelaide,2019,4,2010763943,Lynch. Tom,127,20,12,5,8,0,1,0,3,0,4,0,4,2,1,0,8,11,0,0,1,0,0,89,nan
2019R406,Adelaide,2019,4,2008774238,Mackay. David,206,17,11,5,6,0,0,0,2,4,5,1,3,0,1,0,5,12,0,0,2,0,1,85,nan
2019R406,Adelaide,2019,4,2016776481,Milera. Wayne,47,18,12,8,6,1,0,0,2,3,0,1,2,0,0,0,1,14,0,0,6,1,0,86,nan
2019R406,Adelaide,2019,4,2018774782,Murphy. Lachlan,15,10,7,1,3,0,1,0,2,0,0,0,4,1,1,0,6,6,1,0,1,0,0,80,nan
2019R406,Adelaide,2019,4,2016798113,OBrien. Reilly,4,16,10,6,6,0,0,14,5,2,2,3,5,2,4,0,9,10,1,0,0,0,0,80,nan
2019R406,Adelaide,2019,4,2018807950,Poholke. Myles,10,15,6,6,9,0,1,0,2,0,1,2,1,0,0,0,5,10,0,1,1,0,1,82,nan
2019R406,Adelaide,2019,4,2009835778,Sloane. Rory,181,16,8,3,8,1,1,0,7,3,2,3,3,2,3,0,7,12,0,1,1,0,1,85,nan
2019R406,Adelaide,2019,4,2011832909,Smith. Brodie,149,18,13,5,5,0,0,0,3,7,3,0,2,0,1,0,7,10,0,0,1,0,0,90,nan
2019R406,Adelaide,2019,4,2011843284,Talia. Daniel,168,13,7,7,6,0,0,0,0,2,0,0,3,1,3,0,4,10,1,0,6,0,0,90,nan
2019R406,Adelaide,2019,4,2009877055,Walker. Taylor,171,11,6,3,5,1,0,0,3,0,5,0,2,3,1,0,4,9,1,0,2,0,2,89,nan
2019R508,Adelaide,2019,5,2015652891,Atkins. Rory,82,26,17,5,9,0,0,0,5,6,4,4,3,0,0,0,11,16,0,0,0,1,1,85,nan
2019R508,Adelaide,2019,5,2005667052,Betts. Eddie,300,14,11,1,3,6,3,0,2,0,0,2,3,1,1,2,11,2,0,1,1,0,0,91,nan
2019R508,Adelaide,2019,5,2013674392,Crouch. Brad,66,36,13,1,23,0,0,0,6,1,2,3,5,2,0,0,14,21,1,0,1,0,1,80,nan
2019R508,Adelaide,2019,5,2014678470,Crouch. Matt,95,36,13,5,23,0,0,0,2,3,3,0,1,0,0,0,5,28,0,0,0,0,1,69,nan
2019R508,Adelaide,2019,5,2014697406,Ellis-Yolmen. Cam,31,29,10,3,19,0,0,0,8,1,4,5,3,0,1,0,12,18,0,0,1,0,2,81,nan
2019R508,Adelaide,2019,5,2007712963,Gibbs. Bryce,257,26,16,8,10,0,0,0,1,3,1,1,1,0,0,0,3,22,0,0,1,0,0,89,nan
2019R508,Adelaide,2019,5,2017716174,Greenwood. Hugh,38,18,10,2,8,2,1,0,1,0,1,3,2,0,0,0,15,4,2,1,1,0,0,74,nan
2019R508,Adelaide,2019,5,2013724713,Hartigan. Kyle,86,8,5,4,3,0,0,0,1,0,2,0,1,0,1,0,1,7,0,0,3,0,0,88,nan
2019R508,Adelaide,2019,5,2018722651,Himmelberg. Elliott,2,9,4,5,5,1,0,5,3,0,2,1,4,1,2,0,3,6,0,1,1,0,0,81,nan
2019R508,Adelaide,2019,5,2017759851,Keath. Alex,17,18,8,6,10,0,0,0,3,2,0,0,1,1,1,0,9,9,1,0,4,0,0,85,nan
2019R508,Adelaide,2019,5,2015754078,Kelly. Jake,58,20,14,6,6,0,1,0,2,1,2,0,0,2,0,0,4,14,0,0,8,0,0,85,nan
2019R508,Adelaide,2019,5,2015753305,Knight. Riley,44,18,8,5,10,0,0,0,4,1,2,1,0,0,0,0,7,11,0,0,3,0,1,80,nan
2019R508,Adelaide,2019,5,2013762245,Laird. Rory,126,28,18,5,10,0,0,0,1,5,3,1,0,1,0,0,5,21,0,0,3,0,0,91,nan
2019R508,Adelaide,2019,5,2010763943,Lynch. Tom,128,22,16,8,6,1,1,0,3,1,3,1,5,0,1,0,5,18,0,0,2,0,2,92,nan
2019R508,Adelaide,2019,5,2008774238,Mackay. David,207,23,15,4,8,0,0,0,8,4,6,5,1,2,1,0,7,18,0,0,4,0,0,87,nan
2019R508,Adelaide,2019,5,2016776481,Milera. Wayne,48,12,8,2,4,0,1,0,1,0,4,3,1,0,0,0,3,10,0,0,0,0,0,37,nan
2019R508,Adelaide,2019,5,2018774782,Murphy. Lachlan,16,14,8,4,6,3,0,0,5,0,3,0,1,0,0,0,9,5,2,2,2,0,0,79,nan
2019R508,Adelaide,2019,5,2016798113,OBrien. Reilly,5,12,2,4,10,0,0,34,2,0,1,0,4,3,2,0,13,3,3,0,5,0,1,81,nan
2019R508,Adelaide,2019,5,2009835778,Sloane. Rory,182,32,17,7,15,0,0,0,6,1,5,7,7,2,1,3,20,13,2,1,1,0,0,84,nan
2019R508,Adelaide,2019,5,2011832909,Smith. Brodie,150,27,17,5,10,2,1,0,0,4,6,2,3,0,2,1,6,18,2,0,3,5,0,88,nan
2019R508,Adelaide,2019,5,2011843284,Talia. Daniel,169,13,6,8,7,0,0,0,3,2,1,0,2,0,2,0,3,10,1,0,6,0,0,91,nan
2019R508,Adelaide,2019,5,2009877055,Walker. Taylor,172,14,12,8,2,3,2,0,2,0,4,0,3,0,2,0,3,10,1,5,1,0,2,81,nan
2019R605,Adelaide,2019,6,2015652891,Atkins. Rory,83,27,17,6,10,0,0,0,1,3,6,4,3,0,1,0,8,21,0,0,1,0,0,88,nan
2019R605,Adelaide,2019,6,2005667052,Betts. Eddie,301,10,7,3,3,2,0,0,2,0,2,1,2,2,1,0,5,4,1,1,0,0,0,85,nan
2019R605,Adelaide,2019,6,2013674392,Crouch. Brad,67,30,17,5,13,0,0,0,2,3,5,11,2,2,0,0,14,13,0,0,0,0,0,78,nan
2019R605,Adelaide,2019,6,2014678470,Crouch. Matt,96,36,19,2,17,0,0,0,2,2,2,5,2,0,0,1,13,23,0,0,1,0,0,80,nan
2019R605,Adelaide,2019,6,2014697406,Ellis-Yolmen. Cam,32,20,11,2,9,0,0,0,4,1,1,2,3,0,1,0,9,10,0,1,1,0,2,70,nan
2019R605,Adelaide,2019,6,2017713949,Gallucci. Jordan,18,12,7,3,5,1,0,0,1,1,1,0,2,0,0,0,5,5,0,1,0,0,0,71,nan
2019R605,Adelaide,2019,6,2017716174,Greenwood. Hugh,39,14,6,3,8,1,1,0,5,0,1,5,0,1,0,0,11,4,1,1,1,0,0,73,nan
2019R605,Adelaide,2019,6,2013724713,Hartigan. Kyle,87,11,9,7,2,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,6,0,0,90,nan
2019R605,Adelaide,2019,6,2018722651,Himmelberg. Elliott,3,12,7,5,5,2,2,9,2,0,2,2,3,1,3,0,7,5,1,3,1,0,0,80,nan
2019R605,Adelaide,2019,6,2017759851,Keath. Alex,18,21,18,14,3,0,0,0,0,4,2,0,1,1,0,3,5,16,2,0,3,0,0,85,nan
