gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition
2018R101,2018,1,2018-03-22,M.C.G.,7:25 PM,90151,Richmond,121,Carlton,95,0.0,2,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,16
2018R102,2018,1,2018-03-23,Docklands,7:50 PM,43016,Essendon,99,Adelaide,87,0.0,2,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1
2018R103,2018,1,2018-03-24,Docklands,3:35 PM,23731,St Kilda,107,Brisbane Lions,82,0.6,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,18
2018R104,2018,1,2018-03-24,Adelaide Oval,4:05 PM,38324,Port Adelaide,110,Fremantle,60,0.0,2,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,14
2018R105,2018,1,2018-03-24,Cazaly's Stadium,6:25 PM,3722,Gold Coast,55,North Melbourne,39,8.2,2,0,1,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,15
2018R106,2018,1,2018-03-24,M.C.G.,7:25 PM,58051,Hawthorn,101,Collingwood,67,0.6,2,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,13
2018R107,2018,1,2018-03-25,Manuka Oval,1:10 PM,10454,Greater Western Sydney,133,Western Bulldogs,51,0.0,2,0,0,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10
2018R108,2018,1,2018-03-25,M.C.G.,3:20 PM,54112,Melbourne,94,Geelong,97,15.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2
2018R109,2018,1,2018-03-25,Perth Stadium,4:20 PM,53553,West Coast,86,Sydney,115,0.0,0,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6
2018R201,2018,2,2018-03-29,Adelaide Oval,7:20 PM,49743,Adelaide,118,Richmond,82,0.0,2,0,1,2,0,2,1,103,-74,-70.72222222,-46.75,70.61363636,64.22727273,71.86477273,69.36893939,70.82373737,69.51012807,1,3
2018R202,2018,2,2018-03-30,Docklands,4:20 PM,33966,North Melbourne,95,St Kilda,43,0.0,2,0,1,0,0,0,0,0,0,0.0,0.0,76.04545455,77.09090909,73.26060606,77.9875,72.32265512,78.73494769,15,11
2018R203,2018,2,2018-03-31,Docklands,1:45 PM,28025,Carlton,67,Gold Coast,101,0.0,0,0,1,0,0,3,1,115,105,-35.44444444,-43.0,70.29545455,65.34090909,67.48295455,71.12651515,67.01332071,69.63083514,16,17
2018R204,2018,2,2018-03-31,M.C.G.,4:35 PM,30941,Collingwood,79,Greater Western Sydney,95,0.0,0,0,1,2,0,3,1,133,-34,-46.35185185,0.0,71.09090909,70.56818182,72.98409091,73.34924242,74.43787879,74.71988636,13,4
2018R205,2018,2,2018-03-31,Gabba,6:25 PM,17141,Brisbane Lions,74,Melbourne,100,0.4,0,0,0,3,0,3,2,253,-162,-32.72222222,-32.4375,63.02272727,64.61363636,72.10984848,70.21174242,69.13579545,70.34356061,18,9
2018R206,2018,2,2018-03-31,Perth Stadium,5:10 PM,49021,Fremantle,106,Essendon,90,0.0,2,0,1,3,0,4,0,208,0,-53.99305556,0.0,69.38636364,73.56818182,68.78484848,77.68560606,70.05681818,76.78560606,14,7
2018R207,2018,2,2018-01-04,Docklands,3:20 PM,22868,Western Bulldogs,70,West Coast,121,0.0,0,0,0,4,0,4,1,166,164,-41.17881944,-56.5,68.06818182,69.27272727,70.15643939,74.59545455,68.4758658,72.98272908,10,8
2018R208,2018,2,2018-01-04,S.C.G.,4:40 PM,34636,Sydney,71,Port Adelaide,94,0.0,0,1,1,2,0,2,1,-214,32,-48.3125,-81.66666667,61.25,72.93181818,71.0375,76.35568182,72.65236291,77.26938131,6,5
2018R209,2018,2,2018-02-04,M.C.G.,3:20 PM,73189,Geelong,117,Hawthorn,118,0.0,0,1,1,0,1,5,1,253,159,-52.54444444,-54.16666667,61.38636364,83.31818182,66.98371212,80.87121212,67.69889971,79.36503427,2,12
2018R301,2018,3,2018-06-04,M.C.G.,7:50 PM,68548,Carlton,76,Collingwood,100,0.0,0,0,0,0,0,2,2,-85,-75,-22.74553571,-27.16346154,54.13636364,70.47727273,68.26363636,77.61742424,68.72478601,77.40566101,16,13
2018R302,2018,3,2018-07-04,Adelaide Oval,1:15 PM,36363,Port Adelaide,97,Brisbane Lions,92,0.0,2,1,0,0,0,0,2,0,14,0.0,-0.871843434,67.88636364,65.40909091,71.95227273,73.36704545,75.54777874,73.6332043,5,18
2018R303,2018,3,2018-07-04,M.C.G.,2:10 PM,35518,Melbourne,123,North Melbourne,86,0.0,2,1,1,0,0,2,1,5,74,23.09375,-2.808333333,69.18181818,75.27272727,73.34431818,74.13295455,72.23176565,72.58450413,9,15
