gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2013R101,2013,1,22-Mar-13,Football Park,8:10 PM,42218,Adelaide,82,Essendon,117,0.4
2013R102,2013,1,23-Mar-13,Subiaco,4:40 PM,39629,Fremantle,108,West Coast,80,0.0
2013R103,2013,1,28-Mar-13,M.C.G.,7:45 PM,80971,Carlton,101,Richmond,106,17.4
2013R104,2013,1,30-Mar-13,Docklands,1:40 PM,25263,Western Bulldogs,127,Brisbane Lions,59,0.0
2013R105,2013,1,30-Mar-13,Stadium Australia,4:40 PM,23690,Greater Western Sydney,76,Sydney,106,0.0
2013R106,2013,1,30-Mar-13,Carrara,6:45 PM,13832,Gold Coast,90,St Kilda,77,0.0
2013R107,2013,1,31-Mar-13,M.C.G.,1:10 PM,22924,Melbourne,54,Port Adelaide,133,2.0
2013R108,2013,1,31-Mar-13,Docklands,4:40 PM,41040,North Melbourne,87,Collingwood,103,2.0
2013R109,2013,1,1-Apr-13,M.C.G.,3:20 PM,76300,Hawthorn,86,Geelong,93,0.2
2013R201,2013,2,5-Apr-13,M.C.G.,7:50 PM,56783,St Kilda,82,Richmond,99,0.0
2013R202,2013,2,6-Apr-13,S.C.G.,1:45 PM,20372,Sydney,114,Gold Coast,73,12.6
2013R203,2013,2,6-Apr-13,Docklands,2:10 PM,19210,Western Bulldogs,78,Fremantle,106,0.0
2013R204,2013,2,6-Apr-13,Gabba,3:40 PM,21308,Brisbane Lions,77,Adelaide,96,2.0
2013R205,2013,2,6-Apr-13,Football Park,7:10 PM,25122,Port Adelaide,134,Greater Western Sydney,78,0.0
2013R206,2013,2,6-Apr-13,M.C.G.,7:40 PM,51153,Essendon,184,Melbourne,36,0.0
2013R207,2013,2,7-Apr-13,Docklands,1:10 PM,34152,Geelong,112,North Melbourne,108,0.0
2013R208,2013,2,7-Apr-13,M.C.G.,3:20 PM,84247,Collingwood,117,Carlton,100,0.0
2013R209,2013,2,7-Apr-13,Subiaco,2:40 PM,38389,West Coast,98,Hawthorn,148,0.0
2013R301,2013,3,12-Apr-13,Subiaco,6:40 PM,35963,Fremantle,68,Essendon,72,0.4
2013R302,2013,3,13-Apr-13,Bellerive Oval,1:45 PM,13223,North Melbourne,92,Sydney,131,0.2
2013R303,2013,3,13-Apr-13,M.C.G.,2:10 PM,18571,Melbourne,83,West Coast,177,0.2
2013R304,2013,3,13-Apr-13,Manuka Oval,4:40 PM,11092,Greater Western Sydney,68,St Kilda,140,0.0
2013R305,2013,3,13-Apr-13,Docklands,7:40 PM,43241,Geelong,119,Carlton,103,0.2
