gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2012R101,2012,1,24-Mar-12,Stadium Australia,7:20 PM,38203,Greater Western Sydney,37,Sydney,100,0.0
2012R102,2012,1,29-Mar-12,M.C.G.,7:45 PM,78285,Richmond,81,Carlton,125,0.0
2012R103,2012,1,30-Mar-12,M.C.G.,7:50 PM,78466,Hawthorn,137,Collingwood,115,0.0
2012R104,2012,1,31-Mar-12,M.C.G.,1:45 PM,33473,Melbourne,78,Brisbane Lions,119,0.6
2012R105,2012,1,31-Mar-12,Carrara,3:45 PM,12790,Gold Coast,68,Adelaide,137,0.0
2012R106,2012,1,31-Mar-12,Subiaco,4:45 PM,34601,Fremantle,105,Geelong,101,0.0
2012R107,2012,1,31-Mar-12,Docklands,7:45 PM,45818,North Melbourne,102,Essendon,104,0.6
2012R108,2012,1,1-Apr-12,Docklands,1:10 PM,24977,Western Bulldogs,87,West Coast,136,0.0
2012R109,2012,1,1-Apr-12,Football Park,4:10 PM,21179,Port Adelaide,89,St Kilda,85,0.0
2012R201,2012,2,5-Apr-12,Gabba,7:40 PM,25913,Brisbane Lions,63,Carlton,154,0.0
2012R202,2012,2,7-Apr-12,Docklands,1:45 PM,34118,Essendon,111,Port Adelaide,86,3.6
2012R203,2012,2,7-Apr-12,S.C.G.,2:10 PM,22242,Sydney,94,Fremantle,81,0.0
2012R204,2012,2,7-Apr-12,Subiaco,2:40 PM,35674,West Coast,166,Melbourne,58,0.0
2012R205,2012,2,7-Apr-12,Football Park,7:10 PM,34021,Adelaide,82,Western Bulldogs,64,0.0
2012R206,2012,2,7-Apr-12,M.C.G.,7:40 PM,57268,Collingwood,85,Richmond,64,3.6
2012R207,2012,2,8-Apr-12,Bellerive Oval,1:10 PM,11127,North Melbourne,183,Greater Western Sydney,54,0.4
2012R208,2012,2,8-Apr-12,Docklands,4:40 PM,21078,St Kilda,139,Gold Coast,47,0.0
2012R209,2012,2,9-Apr-12,M.C.G.,3:10 PM,69231,Geelong,92,Hawthorn,90,1.4
2012R301,2012,3,13-Apr-12,M.C.G.,7:50 PM,84259,Carlton,122,Collingwood,62,0.4
2012R302,2012,3,14-Apr-12,M.C.G.,1:45 PM,49826,Richmond,133,Melbourne,74,0.0
2012R303,2012,3,14-Apr-12,Football Park,1:40 PM,19032,Port Adelaide,83,Sydney,105,0.0
2012R304,2012,3,14-Apr-12,Subiaco,2:40 PM,33473,Fremantle,64,Brisbane Lions,35,0.0
2012R305,2012,3,14-Apr-12,Carrara,7:40 PM,17069,Gold Coast,88,Essendon,105,9.2
2012R306,2012,3,14-Apr-12,Docklands,7:40 PM,28971,Western Bulldogs,40,St Kilda,103,0.0
2012R307,2012,3,15-Apr-12,Blacktown,1:10 PM,6875,Greater Western Sydney,69,West Coast,150,0.0
2012R308,2012,3,15-Apr-12,M.C.G.,3:15 PM,33524,Hawthorn,140,Adelaide,84,0.0
2012R309,2012,3,15-Apr-12,Docklands,4:40 PM,29630,North Melbourne,131,Geelong,114,0.0
2012R401,2012,4,20-Apr-12,Docklands,7:50 PM,30172,St Kilda,79,Fremantle,92,2.4
2012R402,2012,4,21-Apr-12,M.C.G.,1:45 PM,73172,Carlton,79,Essendon,109,2.6
2012R403,2012,4,21-Apr-12,Docklands,2:10 PM,30741,Collingwood,97,Port Adelaide,73,2.6
2012R404,2012,4,21-Apr-12,Football Park,4:10 PM,28261,Adelaide,96,Greater Western Sydney,50,0.0
2012R405,2012,4,21-Apr-12,Subiaco,5:40 PM,40080,West Coast,51,Hawthorn,46,0.0
2012R406,2012,4,21-Apr-12,Gabba,7:40 PM,21980,Brisbane Lions,111,Gold Coast,46,0.0
2012R407,2012,4,22-Apr-12,Kardinia Park,1:10 PM,21952,Geelong,75,Richmond,65,7.2
2012R408,2012,4,22-Apr-12,S.C.G.,3:15 PM,21049,Sydney,113,North Melbourne,77,0.0
2012R409,2012,4,22-Apr-12,M.C.G.,4:40 PM,33565,Melbourne,67,Western Bulldogs,88,1.4
2012R501,2012,5,25-Apr-12,M.C.G.,2:40 PM,86932,Collingwood,80,Essendon,79,19.0
2012R502,2012,5,27-Apr-12,Subiaco,6:45 PM,38847,Fremantle,57,Carlton,65,0.0
2012R503,2012,5,28-Apr-12,Manuka Oval,1:45 PM,9128,Greater Western Sydney,62,Western Bulldogs,104,0.0
2012R504,2012,5,28-Apr-12,Docklands,4:40 PM,17680,North Melbourne,127,Gold Coast,93,0.0
2012R505,2012,5,28-Apr-12,M.C.G.,7:40 PM,24877,Melbourne,66,St Kilda,84,0.0
2012R506,2012,5,28-Apr-12,Gabba,7:45 PM,15534,Brisbane Lions,41,Geelong,79,38.4
2012R507,2012,5,29-Apr-12,York Park,1:10 PM,19217,Hawthorn,69,Sydney,106,0.0
2012R508,2012,5,29-Apr-12,Docklands,3:15 PM,28464,Richmond,97,West Coast,107,1.6
2012R509,2012,5,29-Apr-12,Football Park,4:10 PM,41649,Adelaide,110,Port Adelaide,91,0.0
2012R601,2012,6,4-May-12,Docklands,7:50 PM,38155,Western Bulldogs,77,Collingwood,98,4.0
2012R602,2012,6,5-May-12,Docklands,1:40 PM,36361,Essendon,129,Brisbane Lions,62,0.0
2012R603,2012,6,5-May-12,Kardinia Park,1:45 PM,18010,Geelong,119,Melbourne,76,0.0
2012R604,2012,6,5-May-12,Carrara,4:40 PM,11670,Gold Coast,87,Fremantle,94,0.0
2012R605,2012,6,5-May-12,S.C.G.,7:40 PM,23969,Sydney,94,Adelaide,99,0.0
2012R606,2012,6,5-May-12,M.C.G.,7:40 PM,42290,St Kilda,88,Hawthorn,123,0.0
2012R607,2012,6,6-May-12,Docklands,1:10 PM,28213,Carlton,110,Greater Western Sydney,43,1.6
2012R608,2012,6,6-May-12,Football Park,2:45 PM,18522,Port Adelaide,54,Richmond,91,0.0
2012R609,2012,6,6-May-12,Subiaco,2:40 PM,37202,West Coast,120,North Melbourne,95,10.4
2012R701,2012,7,11-May-12,M.C.G.,7:50 PM,36430,Melbourne,49,Hawthorn,115,1.8
2012R702,2012,7,12-May-12,Football Park,12:45 PM,35535,Adelaide,122,Geelong,72,0.0
2012R703,2012,7,12-May-12,Manuka Oval,1:40 PM,8603,Greater Western Sydney,94,Gold Coast,67,0.0
2012R704,2012,7,12-May-12,M.C.G.,4:40 PM,40352,Richmond,91,Sydney,62,0.2
2012R705,2012,7,12-May-12,Gabba,7:40 PM,27926,Brisbane Lions,58,Collingwood,116,0.0
2012R706,2012,7,12-May-12,Docklands,7:40 PM,43260,Essendon,113,West Coast,52,0.2
2012R707,2012,7,13-May-12,Docklands,1:10 PM,20885,North Melbourne,83,Western Bulldogs,101,3.6
2012R708,2012,7,13-May-12,Subiaco,2:40 PM,30079,Fremantle,87,Port Adelaide,47,0.0
2012R709,2012,7,14-May-12,Docklands,7:40 PM,38823,St Kilda,122,Carlton,98,6.2
2012R801,2012,8,18-May-12,M.C.G.,7:50 PM,75650,Collingwood,96,Geelong,84,0.0
2012R802,2012,8,19-May-12,Football Park,1:15 PM,14508,Port Adelaide,95,North Melbourne,93,3.0
2012R803,2012,8,19-May-12,York Park,2:10 PM,12959,Hawthorn,119,Fremantle,63,3.2
2012R804,2012,8,19-May-12,S.C.G.,4:40 PM,20818,Sydney,138,Melbourne,37,0.0
2012R805,2012,8,19-May-12,Marrara Oval,7:10 PM,8724,Western Bulldogs,72,Gold Coast,34,0.0
2012R806,2012,8,19-May-12,M.C.G.,7:50 PM,80900,Essendon,128,Richmond,109,1.8
2012R807,2012,8,20-May-12,Gabba,1:10 PM,16049,Brisbane Lions,132,Greater Western Sydney,40,0.0
2012R808,2012,8,20-May-12,Docklands,3:15 PM,35917,Carlton,55,Adelaide,124,0.2
2012R809,2012,8,20-May-12,Subiaco,2:40 PM,38174,West Coast,121,St Kilda,91,0.0
2012R901,2012,9,25-May-12,Docklands,7:50 PM,29118,Western Bulldogs,75,Geelong,95,4.0
2012R902,2012,9,26-May-12,M.C.G.,1:45 PM,51617,Richmond,137,Hawthorn,75,28.0
2012R903,2012,9,26-May-12,Carrara,2:10 PM,12416,Gold Coast,70,Port Adelaide,118,8.2
2012R904,2012,9,26-May-12,Docklands,4:40 PM,34737,St Kilda,111,Sydney,83,28.0
2012R905,2012,9,26-May-12,Football Park,7:10 PM,44238,Adelaide,49,Collingwood,75,7.2
2012R906,2012,9,26-May-12,Sydney Showground,7:40 PM,11887,Greater Western Sydney,53,Essendon,119,0.2
2012R907,2012,9,27-May-12,Docklands,1:10 PM,19988,North Melbourne,112,Brisbane Lions,96,4.6
2012R908,2012,9,27-May-12,M.C.G.,3:15 PM,28371,Carlton,107,Melbourne,49,4.6
2012R909,2012,9,27-May-12,Subiaco,2:40 PM,40905,West Coast,84,Fremantle,36,0.0
2012R1001,2012,10,1-Jun-12,Docklands,7:50 PM,49337,St Kilda,113,Richmond,121,0.0
2012R1002,2012,10,2-Jun-12,Kardinia Park,1:45 PM,17243,Geelong,126,Greater Western Sydney,61,0.0
2012R1003,2012,10,2-Jun-12,York Park,2:10 PM,16143,Hawthorn,174,North Melbourne,59,0.0
2012R1004,2012,10,2-Jun-12,Subiaco,2:40 PM,31392,Fremantle,82,Adelaide,111,0.0
2012R1005,2012,10,2-Jun-12,Football Park,7:10 PM,24746,Port Adelaide,99,Carlton,45,0.0
2012R1006,2012,10,2-Jun-12,M.C.G.,7:40 PM,42987,Essendon,52,Melbourne,58,0.0
