gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2014R101,2014,1,14-Mar-14,Docklands,7:50 PM,37571,Collingwood,46,Fremantle,116,0.0
2014R102,2014,1,15-Mar-14,Sydney Showground,4:40 PM,17102,Greater Western Sydney,99,Sydney,67,0.0
2014R103,2014,1,15-Mar-14,Carrara,6:55 PM,19425,Gold Coast,87,Richmond,69,0.4
2014R104,2014,1,16-Mar-14,Docklands,7:40 PM,24640,Carlton,87,Port Adelaide,120,7.2
2014R105,2014,1,20-Mar-14,Kardinia Park,7:10 PM,23622,Geelong,119,Adelaide,81,0.0
2014R106,2014,1,21-Mar-14,Docklands,7:50 PM,42332,North Melbourne,60,Essendon,99,0.0
2014R107,2014,1,22-Mar-14,York Park,4:40 PM,12430,Hawthorn,139,Brisbane Lions,91,27.2
2014R108,2014,1,22-Mar-14,Docklands,7:40 PM,31657,St Kilda,68,Melbourne,51,3.8
2014R109,2014,1,23-Mar-14,Subiaco,4:40 PM,36752,West Coast,134,Western Bulldogs,69,0.0
2014R201,2014,2,27-Mar-14,M.C.G.,7:45 PM,62037,Richmond,98,Carlton,86,5.2
2014R202,2014,2,28-Mar-14,Docklands,7:50 PM,44163,Essendon,86,Hawthorn,90,8.2
2014R203,2014,2,29-Mar-14,Docklands,1:40 PM,19640,St Kilda,95,Greater Western Sydney,88,0.0
2014R204,2014,2,29-Mar-14,Adelaide Oval,4:15 PM,50397,Port Adelaide,127,Adelaide,73,0.0
2014R205,2014,2,29-Mar-14,Subiaco,4:40 PM,35583,Fremantle,87,Gold Coast,39,0.0
2014R206,2014,2,29-Mar-14,Stadium Australia,7:40 PM,32347,Sydney,69,Collingwood,89,4.2
2014R207,2014,2,30-Mar-14,Gabba,12:10 PM,20933,Brisbane Lions,68,Geelong,93,0.8
2014R208,2014,2,30-Mar-14,M.C.G.,3:20 PM,22230,Melbourne,30,West Coast,123,1.0
2014R209,2014,2,30-Mar-14,Docklands,4:40 PM,28512,Western Bulldogs,54,North Melbourne,83,1.0
2014R301,2014,3,4-Apr-14,M.C.G.,7:50 PM,43583,Hawthorn,137,Fremantle,79,0.0
2014R302,2014,3,5-Apr-14,Docklands,1:45 PM,31724,Western Bulldogs,100,Richmond,98,0.0
2014R303,2014,3,5-Apr-14,Adelaide Oval,1:40 PM,47426,Adelaide,71,Sydney,134,0.0
2014R304,2014,3,5-Apr-14,Carrara,3:40 PM,16593,Gold Coast,114,Brisbane Lions,61,0.0
2014R305,2014,3,5-Apr-14,Subiaco,4:40 PM,36448,West Coast,83,St Kilda,58,0.0
