year,round,player,team,score
2021,1,Andrew McGrath,Bombers,141
2021,1,Dominic Sheed,Eagles,138
2021,1,Jackson Macrae,Bulldogs,135
2021,1,Jack Bowes,Suns,135
2021,1,Bailey Smith,Bulldogs,131
2021,1,Dustin Martin,Tigers,131
2021,1,Shannon Hurn,Eagles,129
2021,1,Jaidyn Stephenson,Kangaroos,128
2021,1,Callum Mills,Swans,121
2021,1,Rory Laird,Crows,119
2021,1,Jack Graham,Tigers,115
2021,1,Lachlan Hunter,Bulldogs,115
2021,1,Steven Motlop,Power,112
2021,1,Caleb Daniel,Bulldogs,111
2021,1,Tim Kelly,Eagles,111
2021,1,Zachary Merrett,Bombers,111
2021,1,Tom McDonald,Demons,110
2021,1,Travis Boak,Power,109
2021,1,Oleg Markov,Suns,108
2021,1,Errol Gulden,Swans,108
2021,1,David Swallow,Suns,107
2021,1,Clayton Oliver,Demons,107
2021,1,Josh Dunkley,Bulldogs,107
2021,1,Tom Mitchell,Hawks,106
2021,1,Bailey Williams,Bulldogs,106
2021,1,Andrew Brayshaw,Dockers,105
2021,1,Taylor Walker,Crows,105
2021,1,Jack Lukosius,Suns,105
2021,1,Jack Newnes,Blues,104
2021,1,Jye Caldwell,Bombers,104
2021,1,Tim Taranto,Giants,103
2021,1,Thomas Liberatore,Bulldogs,103
2021,1,Tom Barrass,Eagles,103
2021,1,Will Day,Hawks,103
2021,1,Lachlan Sholl,Crows,102
2021,1,Adam Cerra,Dockers,102
2021,1,Harry Perryman,Giants,101
2021,1,Marcus Bontempelli,Bulldogs,101
2021,1,Brandan Parfitt,Cats,101
2021,1,Nick Hind,Bombers,100
2021,1,Jack Billings,Saints,100
2021,1,Tim Membrey,Saints,100
2021,1,Matthew Flynn,Giants,99
2021,1,Adam Saad,Blues,99
2021,1,Edward Curnow,Blues,99
2021,1,Luke Parker,Swans,97
2021,1,Patrick Dangerfield,Cats,96
2021,1,Alex Keath,Bulldogs,96
2021,1,Isaac Smith,Cats,96
2021,1,Oscar Allen,Eagles,96
2021,1,Ed Langdon,Demons,95
2021,1,Jade Gresham,Saints,95
2021,1,Daniel Rich,Lions,95
2021,1,Jarryd Lyons,Lions,95
2021,1,Dayne Zorko,Lions,95
2021,1,Jack Ziebell,Kangaroos,95
2021,1,Sam Walsh,Blues,95
2021,1,Jayden Short,Tigers,94
2021,1,Bailey Scott,Kangaroos,93
2021,1,Scott Pendlebury,Magpies,93
2021,1,Samuel Collins,Suns,93
2021,1,Tom Hickey,Swans,92
2021,1,Steven May,Demons,92
2021,1,Sam Docherty,Blues,91
2021,1,Blake Hardwick,Hawks,91
2021,1,Oliver Wines,Power,91
2021,1,Ben Keays,Crows,91
2021,1,Joshua Kelly,Giants,91
2021,1,Jack Crisp,Magpies,91
2021,1,Hunter Clark,Saints,91
2021,1,Todd Goldstein,Kangaroos,90
2021,1,Charlie Ballard,Suns,90
2021,1,Christian Petracca,Demons,90
2021,1,Brayden Maynard,Magpies,90
2021,1,Jordan Ridley,Bombers,90
2021,1,Harry Morrison,Hawks,89
2021,1,James Rowbottom,Swans,89
2021,1,Jaeger O'Meara,Hawks,88
2021,1,Scott Lycett,Power,88
2021,1,Ben McEvoy,Hawks,88
2021,1,Jamie Cripps,Eagles,88
2021,1,Nathan Fyfe,Dockers,88
2021,1,Patrick Cripps,Blues,87
2021,1,Jake Lever,Demons,87
2021,1,Dion Prestia,Tigers,87
2021,1,Tom Cole,Eagles,87
2021,1,Tom Phillips,Hawks,87
2021,1,Taylor Duryea,Bulldogs,87
2021,1,John Noble,Magpies,86
2021,1,Kane Lambert,Tigers,86
2021,1,James Harmes,Demons,86
2021,1,Dylan Moore,Hawks,86
2021,1,Lachlan Weller,Suns,86
2021,1,Callan Ward,Giants,85
2021,1,Jack Riewoldt,Tigers,85
2021,1,Caleb Serong,Dockers,85
2021,1,Darcy Moore,Magpies,85
2021,1,Brodie Grundy,Magpies,85
2021,1,Josh Bruce,Bulldogs,85
2021,1,Stephen Coniglio,Giants,85
2021,1,Tom Lynch,Crows,85
2021,1,Rory Sloane,Crows,85
2021,1,Shane Edwards,Tigers,84
2021,1,Jacob Hopper,Giants,84
2021,1,Brandon Ellis,Suns,84
2021,1,James Rowe,Crows,84
2021,1,Dyson Heppell,Bombers,83
2021,1,George Hewett,Swans,83
2021,1,Jarrod Witts,Suns,83
2021,1,Billy Frampton,Crows,83
2021,1,Luke Ryan,Dockers,83
2021,1,Dan Houston,Power,82
2021,1,Patrick Lipinski,Bulldogs,82
2021,1,Cameron Guthrie,Cats,82
2021,1,Timothy English,Bulldogs,82
2021,1,Luke Davies-Uniacke,Kangaroos,82
2021,1,Jonathon Ceglar,Hawks,81
2021,1,Jack Redden,Eagles,81
2021,1,Orazio Fantasia,Power,81
2021,1,Sebastian Ross,Saints,81
2021,1,Darcy Parish,Bombers,81
2021,1,Paul Seedsman,Crows,80
2021,1,Josh Rotham,Eagles,80
2021,1,James Jordon,Demons,80
2021,1,Willem Drew,Power,80
2021,1,Isaac Heeney,Swans,80
2021,1,Jack Madgen,Magpies,79
2021,1,Shaun Atley,Kangaroos,79
2021,1,Zak Butters,Power,79
2021,1,Jack Bytel,Saints,79
2021,1,Thomas Stewart,Cats,79
2021,1,Dylan Shiel,Bombers,79
2021,1,Isaac Cumming,Giants,78
2021,1,Jeremy McGovern,Eagles,78
2021,1,Jack Steele,Saints,78
2021,1,Hugh McCluggage,Lions,78
2021,1,Dane Rampe,Swans,78
2021,1,Sam Draper,Bombers,78
2021,1,Shai Bolton,Tigers,77
2021,1,Aaron Naughton,Bulldogs,77
2021,1,Bradley Sheppard,Eagles,77
2021,1,Mason Cox,Magpies,77
2021,1,Jake Lloyd,Swans,76
2021,1,Kyle Langford,Bombers,76
2021,1,Oscar McInerney,Lions,76
2021,1,Ben King,Suns,75
2021,1,Michael Gibbons,Blues,75
2021,1,Jarman Impey,Hawks,74
2021,1,Liam Duggan,Eagles,74
2021,1,Karl Amon,Power,74
2021,1,Angus Brayshaw,Demons,73
2021,1,Toby Greene,Giants,73
2021,1,Will Setterfield,Blues,73
2021,1,Josh Caddy,Tigers,73
2021,1,Joel Selwood,Cats,73
2021,1,Mark Blicavs,Cats,73
2021,1,Ryan Burton,Power,73
2021,1,Nick Blakey,Swans,73
2021,1,Nick Haynes,Giants,73
2021,1,Max Gawn,Demons,73
2021,1,Lachlan Fogarty,Blues,72
2021,1,Lincoln McCarthy,Lions,72
2021,1,Nicholas Coffield,Saints,72
2021,1,David Mundy,Dockers,72
2021,1,Daniel Howe,Hawks,72
2021,1,Luke Breust,Hawks,72
2021,1,Jackson Nelson,Eagles,71
2021,1,Sam Switkowski,Dockers,71
2021,1,Charlie Spargo,Demons,71
2021,1,Wil Powell,Suns,71
2021,1,Jake Kolodjashnij,Cats,71
2021,1,Anthony McDonald-Tipungwuti,Bombers,71
2021,1,Harrison Himmelberg,Giants,71
2021,1,Hayden Young,Dockers,71
2021,1,Tarryn Thomas,Kangaroos,70
2021,1,Liam Shiels,Hawks,70
2021,1,Andrew Gaff,Eagles,70
2021,1,Sam Wicks,Swans,69
2021,1,Brodie Smith,Crows,69
2021,1,Adam Tomlinson,Demons,69
2021,1,Jack Darling,Eagles,69
2021,1,Tom Powell,Kangaroos,68
2021,1,Tom Papley,Swans,68
2021,1,Taylor Adams,Magpies,68
2021,1,Jeremy Howe,Magpies,68
2021,1,Lachie Neale,Lions,68
2021,1,Touk Miller,Suns,68
2021,1,Stefan Martin,Bulldogs,68
2021,1,Jack Higgins,Saints,68
2021,1,Shaun Higgins,Cats,67
2021,1,Matthew Taberner,Dockers,67
2021,1,Changkuoth Jiath,Hawks,67
2021,1,James Worpel,Hawks,67
2021,1,Christian Salem,Demons,66
2021,1,Marc Pittonet,Blues,66
2021,1,Bayley Fritsch,Demons,66
2021,1,Sam Menegola,Cats,66
2021,1,Brody Mihocek,Magpies,66
2021,1,Noah Anderson,Suns,66
2021,1,Jy Simpkin,Kangaroos,65
2021,1,Laitham Vandermeer,Bulldogs,65
2021,1,Logan McDonald,Swans,65
2021,1,Rhys Stanley,Cats,65
2021,1,Tom Doedee,Crows,65
2021,1,Harry Schoenberg,Crows,65
2021,1,Will Snelling,Bombers,65
2021,1,Robbie Gray,Power,65
2021,1,Tom Clurey,Power,65
2021,1,Darcy Byrne-Jones,Power,65
2021,1,Lachlan Ash,Giants,65
2021,1,Zac Fisher,Blues,65
2021,1,Devon Smith,Bombers,64
2021,1,Jack Mahony,Kangaroos,64
2021,1,Jared Polec,Kangaroos,64
2021,1,Paddy Dow,Blues,64
2021,1,Gryan Miers,Cats,63
2021,1,Harrison Jones,Bombers,63
2021,1,Ben Long,Saints,63
2021,1,Brayden Ham,Bombers,63
2021,1,Darcy Macpherson,Suns,63
2021,1,Sean Lemmens,Suns,63
2021,1,Liam Ryan,Eagles,62
2021,1,Oliver Hanrahan,Hawks,62
2021,1,Tom Highmore,Saints,62
2021,1,Alex Sexton,Suns,62
2021,1,Peter Wright,Bombers,61
2021,1,Oliver Florent,Swans,61
2021,1,Connor Menadue,Kangaroos,61
2021,1,Jordan De Goey,Magpies,61
2021,1,Jordan Dawson,Swans,61
2021,1,Peter Ladhams,Power,61
2021,1,Bradley Hill,Saints,61
2021,1,Daniel Butler,Saints,61
2021,1,Lachlan Keeffe,Giants,60
2021,1,Xavier O'Neill,Eagles,60
2021,1,Jason Castagna,Tigers,60
2021,1,Jarrod Berry,Lions,60
2021,1,Ethan Hughes,Dockers,60
2021,1,Harry McKay,Blues,60
2021,1,James Aish,Dockers,60
2021,1,Adam Treloar,Bulldogs,59
2021,1,Tom Sparrow,Demons,59
2021,1,Josh Kennedy Injured,Swans,59
2021,1,Isaac Quaynor,Magpies,59
2021,1,Jack Sinclair,Saints,59
2021,1,Zac Bailey,Lions,58
2021,1,Nathan Jones,Demons,58
2021,1,Jamie Elliott,Magpies,58
2021,1,Dom Tyson,Kangaroos,58
2021,1,Jack Lonie,Saints,58
2021,1,Nicholas Naitanui,Eagles,57
2021,1,Sam Frost,Hawks,57
2021,1,Chad Warner,Swans,57
2021,1,Jordan Roughead,Magpies,57
2021,1,Shaun Burgoyne,Hawks,57
2021,1,Oscar McDonald,Blues,56
2021,1,Lachlan Schultz,Dockers,56
2021,1,Dougal Howard,Saints,56
2021,1,Joshua Kennedy,Eagles,56
2021,1,Daniel Rioli,Tigers,56
2021,1,Sam Petrevski-Seton,Blues,56
2021,1,Alex Neal-Bullen,Demons,55
2021,1,Tom Hawkins,Cats,55
2021,1,Todd Marshall,Power,55
2021,1,Bailey Dale,Bulldogs,55
2021,1,Lachie Young,Kangaroos,55
2021,1,Tyler Brown,Magpies,55
2021,1,Kysaiah Pickett,Demons,55
2021,1,Jacob Weitering,Blues,55
2021,1,Sam Reid Injured,Swans,55
2021,1,Toby Nankervis,Tigers,55
2021,1,Mitch Robinson,Lions,55
2021,1,Matthew De Boer,Giants,54
2021,1,Marc Murphy,Blues,54
2021,1,Ryan Gardner,Bulldogs,54
2021,1,Jordan Clark,Cats,54
2021,1,Lachlan Murphy,Crows,54
2021,1,Ned McHenry,Crows,54
2021,1,Miles Bergman,Power,53
2021,1,Xavier Duursma,Power,53
2021,1,Zach Guthrie,Cats,53
2021,1,Hugh Greenwood,Suns,53
2021,1,Travis Colyer,Dockers,53
2021,1,Riley Bonner,Power,52
2021,1,Zac Langdon,Eagles,52
2021,1,Bobby Hill,Giants,52
2021,1,Lochie O'Brien,Blues,52
2021,1,Luke Jackson,Demons,52
2021,1,Mason Redman,Bombers,52
2021,1,Tim O'Brien,Hawks,52
2021,1,Anthony Scott,Bulldogs,52
2021,1,Josh Thomas,Magpies,52
2021,1,Tom Atkins,Cats,51
