year,round,player,team,score
2013,1,Andrew Swallow,Kangaroos,141
2013,1,Gary Ablett,Suns,135
2013,1,Bryce Gibbs,Blues,133
2013,1,Brad Ebert,Power,129
2013,1,Sam Mitchell,Hawks,128
2013,1,Ben Howlett,Bombers,127
2013,1,Ryan Griffen,Bulldogs,126
2013,1,Michael Barlow,Dockers,126
2013,1,Scott Pendlebury,Magpies,124
2013,1,Dane Swan,Magpies,123
2013,1,Joel Selwood,Cats,122
2013,1,Thomas Liberatore,Bulldogs,120
2013,1,Kane Cornes,Power,119
2013,1,Jarryn Geary,Saints,117
2013,1,David Mundy,Dockers,117
2013,1,Ryan O'Keefe,Swans,116
2013,1,Brent Stanton,Bombers,115
2013,1,Shaun Higgins,Bulldogs,115
2013,1,Tom Rockliff,Lions,114
2013,1,Matthew Kreuzer,Blues,114
2013,1,Jobe Watson,Bombers,113
2013,1,Beau Waters,Eagles,113
2013,1,David Armitage,Saints,112
2013,1,Jay Schulz,Power,112
2013,1,Nick Dal Santo,Saints,111
2013,1,Andrew Mackie,Cats,109
2013,1,Kieren Jack,Swans,107
2013,1,Tory Dickson,Bulldogs,107
2013,1,Steele Sidebottom,Magpies,106
2013,1,Hamish Hartlett,Power,105
2013,1,Christopher Mayne,Dockers,104
2013,1,Lenny Hayes,Saints,104
2013,1,Paul Chapman,Cats,103
2013,1,Dylan Shiel,Giants,103
2013,1,Marc Murphy,Blues,103
2013,1,Matthew Wright,Crows,102
2013,1,Travis Boak,Power,102
2013,1,Grant Birchall,Hawks,101
2013,1,Todd Goldstein,Kangaroos,101
2013,1,Daniel Giansiracusa,Bulldogs,101
2013,1,Tyrone Vickery,Tigers,101
2013,1,Shane Mumford,Swans,101
2013,1,Trent Cotchin,Tigers,101
2013,1,Heritier Lumumba,Magpies,100
2013,1,Justin Westhoff,Power,100
2013,1,Courtenay Dempsey,Bombers,100
2013,1,Danyle Pearce,Dockers,99
2013,1,Joshua Kennedy,Eagles,99
2013,1,Daniel Cross,Bulldogs,99
2013,1,Oliver Wines,Power,99
2013,1,Paul Puopolo,Hawks,98
2013,1,Matthew Priddis,Eagles,98
2013,1,Mathew Stokes,Cats,98
2013,1,Heath Hocking,Bombers,98
2013,1,Adam Cooney,Bulldogs,98
2013,1,Adam Treloar,Giants,98
2013,1,Charlie Dixon,Suns,98
2013,1,Daniel Jackson,Tigers,98
2013,1,Nicholas Suban,Dockers,97
2013,1,Brent Moloney,Lions,96
2013,1,Travis Cloke,Magpies,96
2013,1,Stephen Hill,Dockers,96
2013,1,Jordan Lewis,Hawks,96
2013,1,Taylor Hunt,Cats,96
2013,1,Cyril Rioli,Hawks,95
2013,1,Angus Monfries,Power,93
2013,1,Shaun Grigg,Tigers,92
2013,1,Will Minson,Bulldogs,92
2013,1,Jack Steven,Saints,92
2013,1,Brett Goodes,Bulldogs,91
2013,1,James Podsiadly,Cats,91
2013,1,Chris Judd,Blues,91
2013,1,Brad Sewell,Hawks,91
2013,1,Andrew Walker,Blues,90
2013,1,Jimmy Bartel,Cats,89
2013,1,Jack Grimes,Demons,89
2013,1,Dion Prestia,Suns,89
2013,1,Aaron Mullett,Kangaroos,89
2013,1,Isaac Smith,Hawks,88
2013,1,Rory Sloane,Crows,88
2013,1,Pearce Hanley,Lions,87
2013,1,Shaun Burgoyne,Hawks,87
2013,1,Josh Kennedy Injured,Swans,87
2013,1,Jack Viney,Demons,86
2013,1,Adam Goodes,Swans,86
2013,1,Mitchell Duncan,Cats,85
2013,1,Shane Tuck,Tigers,85
2013,1,Rhys Stanley,Saints,85
2013,1,Luke Parker,Swans,85
2013,1,Brent Guerra,Hawks,85
2013,1,Robert Murphy,Bulldogs,84
2013,1,Richard Douglas,Crows,84
2013,1,Stephen Coniglio,Giants,84
2013,1,Liam Sumner,Giants,84
2013,1,Callan Ward,Giants,83
2013,1,Liam Picken,Bulldogs,83
2013,1,Ivan Maric,Tigers,83
2013,1,Jarrod Harbrow,Suns,82
2013,1,Mark Lecras,Eagles,82
2013,1,Michael Walters,Dockers,82
2013,1,Dean Cox,Eagles,82
2013,1,Nick Riewoldt,Saints,82
2013,1,Alex Rance,Tigers,82
2013,1,Shannon Hurn,Eagles,82
2013,1,David Myers,Bombers,81
2013,1,Farren Ray,Saints,81
2013,1,Ben McGlynn,Swans,81
2013,1,Andrew Carrazzo,Blues,81
2013,1,Ashton Hams,Eagles,80
2013,1,Nathan Fyfe,Dockers,80
2013,1,Jack Redden,Lions,80
2013,1,Colin Sylvia,Demons,80
2013,1,Steven Motlop,Cats,80
2013,1,Arryn Siposs,Saints,80
2013,1,Curtly Hampton,Giants,79
2013,1,Dustin Martin,Tigers,78
2013,1,Sam Jacobs,Crows,78
2013,1,Daniel Hannebery,Swans,78
2013,1,Brett Deledio,Tigers,78
2013,1,Daniel Wells,Kangaroos,78
2013,1,Ben Cunnington,Kangaroos,78
2013,1,Kade Simpson,Blues,77
2013,1,Will Hoskin-Elliott,Giants,77
2013,1,Heath Grundy,Swans,77
2013,1,Luke Dahlhaus,Bulldogs,77
2013,1,Jarrad McVeigh,Swans,77
2013,1,Jonathon Griffin,Dockers,77
2013,1,Chris Masten,Eagles,77
2013,1,Paul Stewart,Power,77
2013,1,Dyson Heppell,Bombers,76
2013,1,James Gwilt,Saints,76
2013,1,Quinten Lynch,Magpies,76
2013,1,Tomas Bugg,Giants,76
2013,1,Jamie Cripps,Eagles,76
2013,1,Mark Jamar,Demons,76
2013,1,Scott Thompson,Crows,75
2013,1,Jarryd Blair,Magpies,75
2013,1,Terry Milera,Saints,75
2013,1,Ryan Bastinac,Kangaroos,75
2013,1,Jordie McKenzie,Demons,75
2013,1,Lewis Stevenson,Power,74
2013,1,Michael Firrito,Kangaroos,74
2013,1,Mitchell Wallis,Bulldogs,74
2013,1,Mike Pyke,Swans,73
2013,1,Shaun Hampson,Blues,73
2013,1,Daniel Merrett,Lions,73
2013,1,Jaeger O'Meara,Suns,73
2013,1,Lachlan Hansen,Kangaroos,73
2013,1,Lance Franklin,Hawks,73
2013,1,Ryan Schoenmakers,Hawks,73
2013,1,Clancee Pearce,Dockers,72
2013,1,Tom Scully,Giants,72
2013,1,Brendon Goddard,Bombers,71
2013,1,Scott Selwood,Eagles,71
2013,1,Luke Breust,Hawks,71
2013,1,Nick Malceski,Swans,71
2013,1,Chad Wingard,Power,71
2013,1,Clinton Jones,Saints,71
2013,1,Jake Melksham,Bombers,71
2013,1,Darren Jolly,Magpies,71
2013,1,Rhyce Shaw,Swans,71
2013,1,Mitchell Golby,Lions,71
2013,1,Jake Carlisle,Bombers,71
2013,1,Allen Christensen,Cats,71
2013,1,Devon Smith,Giants,70
2013,1,Nick Maxwell,Magpies,70
2013,1,Matthew Lobbe,Power,70
2013,1,Thomas Young,Bulldogs,70
2013,1,Colin Garland,Demons,69
2013,1,Matt Jones,Demons,69
2013,1,James Frawley,Demons,69
2013,1,Dustin Fletcher,Bombers,68
2013,1,Jason Johannisen,Bulldogs,68
2013,1,Rory Thompson,Suns,68
2013,1,Sam Gilbert,Saints,68
2013,1,Dale Morris,Bulldogs,68
