year,round,displayName,team,score
2017,1,angus brayshaw,Melbourne,83
2017,1,jared polec,Port Adelaide,83
2017,1,chris masten,West Coast,83
2017,1,harris andrews,Brisbane Lions,83
2017,1,sharrod wellingham,West Coast,82
2017,1,cale hooker,Essendon,82
2017,1,brodie grundy,Collingwood,82
2017,1,tom phillips,Collingwood,82
2017,1,jack riewoldt,Richmond,82
2017,1,tom cutler,Brisbane Lions,82
2017,1,jarryd lyons,Gold Coast,81
2017,1,jarrod witts,Gold Coast,81
2017,1,kurt tippett,Sydney,81
2017,1,matthew suckling,Western Bulldogs,81
2017,1,troy menzel,Adelaide,81
2017,1,michael hurley,Essendon,80
2017,1,nick vlastuin,Richmond,80
2017,1,oscar mcdonald,Melbourne,80
2017,1,jamie cripps,West Coast,80
2017,1,darcy parish,Essendon,79
2017,1,hamish hartlett,Port Adelaide,79
2017,1,harrison marsh,Sydney,79
2017,1,jonathon griffin,Fremantle,79
2017,1,ben ainsworth,Gold Coast,79
2017,1,sam gibson,North Melbourne,79
2017,1,lachlan henderson,Geelong,78
2017,1,jayden hunt,Melbourne,78
2017,1,jeremy cameron,Greater Western Sydney,78
2017,1,tom mcdonald,Melbourne,78
2017,1,ed langdon,Fremantle,78
2017,1,sam powell-pepper,Port Adelaide,78
2017,1,callum mills,Sydney,78
2017,1,riley knight,Adelaide,78
2017,1,mark baguley,Essendon,78
2017,1,liam shiels,Hawthorn,77
2017,1,brayden maynard,Collingwood,77
2017,1,rory sloane,Adelaide,77
2017,1,rohan bewick,Brisbane Lions,77
2017,1,shane edwards,Richmond,77
2017,1,callan ward,Greater Western Sydney,76
2017,1,adam saad,Gold Coast,76
2017,1,heath grundy,Sydney,76
2017,1,brandon ellis,Richmond,76
2017,1,cameron sutcliffe,Fremantle,76
2017,1,dylan shiel,Greater Western Sydney,75
2017,1,neville jetta,Melbourne,75
2017,1,phil davis,Greater Western Sydney,75
2017,1,lachlan weller,Fremantle,75
2017,1,jack steven,St Kilda,75
2017,1,jack billings,St Kilda,75
