year,round,player,team,score
2017,1,Dyson Heppell,Bombers,156
2017,1,Taylor Adams,Magpies,151
2017,1,Andrew Gaff,Eagles,144
2017,1,Rory Laird,Crows,142
2017,1,Marc Murphy,Blues,139
2017,1,Dustin Martin,Tigers,139
2017,1,Scott Pendlebury,Magpies,135
2017,1,Zachary Merrett,Bombers,129
2017,1,Mitchell Duncan,Cats,128
2017,1,Tom Mitchell,Hawks,128
2017,1,Brendon Goddard,Bombers,127
2017,1,Tom Rockliff,Lions,127
2017,1,Kade Simpson,Blues,126
2017,1,Nathan Jones,Demons,126
2017,1,Adam Treloar,Magpies,125
2017,1,Joshua Kennedy,Eagles,125
2017,1,Steele Sidebottom,Magpies,124
2017,1,Jobe Watson,Bombers,122
2017,1,Clayton Oliver,Demons,122
2017,1,Matthew Kreuzer,Blues,120
2017,1,Elliot Yeo,Eagles,120
2017,1,Jordan Lewis,Demons,119
2017,1,Jesse Hogan,Demons,118
2017,1,Patrick Dangerfield,Cats,118
2017,1,Josh Kennedy Injured,Swans,118
2017,1,Dayne Zorko,Lions,116
2017,1,Jackson Macrae,Bulldogs,116
2017,1,Brad Ebert,Power,116
2017,1,Alex Fasolo,Magpies,115
2017,1,Thomas Liberatore,Bulldogs,115
2017,1,Darcy Parish,Bombers,114
2017,1,Jeremy Howe,Magpies,114
2017,1,Rory Atkins,Crows,114
2017,1,Charlie Cameron,Crows,112
2017,1,Jack Redden,Eagles,111
2017,1,Shaun Grigg,Tigers,111
2017,1,Sam Mitchell,Eagles,111
2017,1,Lee Spurr,Dockers,111
2017,1,Max Gawn,Demons,111
2017,1,Nathan Fyfe,Dockers,110
2017,1,Lance Franklin,Swans,110
2017,1,Alex Neal-Bullen,Demons,110
2017,1,Oliver Wines,Power,110
2017,1,Aaron Hall,Suns,109
2017,1,Jason Johannisen,Bulldogs,109
2017,1,Touk Miller,Suns,108
2017,1,Zachary Williams,Giants,106
2017,1,Liam Picken,Bulldogs,105
2017,1,Bryce Gibbs,Blues,105
2017,1,Gary Ablett,Suns,105
2017,1,Jarrod Witts,Suns,104
2017,1,Tom McDonald,Demons,104
2017,1,Bernie Vince,Demons,103
2017,1,Dayne Beams,Lions,103
2017,1,Dion Prestia,Tigers,103
2017,1,Jack Ziebell,Kangaroos,103
2017,1,Stephen Hill,Dockers,103
2017,1,Andrew Swallow,Kangaroos,102
2017,1,Chris Masten,Eagles,101
2017,1,Zach Tuohy,Cats,101
2017,1,Lachlan Hunter,Bulldogs,101
2017,1,Stefan Martin,Lions,101
2017,1,Brent Stanton,Bombers,99
2017,1,Luke Dahlhaus,Bulldogs,99
2017,1,Richard Douglas,Crows,99
2017,1,Joel Selwood,Cats,99
2017,1,Nick Riewoldt,Saints,99
2017,1,Luke Parker,Swans,99
2017,1,Joe Daniher,Bombers,98
2017,1,Trent Cotchin,Tigers,98
2017,1,Travis Boak,Power,97
2017,1,Tom Scully,Giants,97
2017,1,Matt Crouch,Crows,97
2017,1,Jarrad Waite,Kangaroos,97
2017,1,Zak Jones,Swans,96
2017,1,Andrew McGrath,Bombers,96
2017,1,Jamie Cripps,Eagles,95
2017,1,Will Hoskin-Elliott,Magpies,95
2017,1,Brodie Grundy,Magpies,94
2017,1,Michael Barlow,Suns,94
2017,1,Jack Steele,Saints,94
2017,1,Jack Steven,Saints,94
2017,1,Luke Shuey,Eagles,93
2017,1,Wayne Milera,Crows,93
2017,1,William Langford,Hawks,93
2017,1,Shannon Hurn,Eagles,92
2017,1,Jeremy McGovern,Eagles,92
2017,1,Josh Jenkins,Crows,92
2017,1,Lachie Neale,Dockers,92
2017,1,George Hewett,Swans,91
2017,1,Nick Vlastuin,Tigers,91
2017,1,Christian Petracca,Demons,91
2017,1,Connor Blakely,Dockers,90
2017,1,Matthew Suckling,Bulldogs,90
2017,1,Todd Goldstein,Kangaroos,90
2017,1,Chad Wingard,Power,90
2017,1,Sam Docherty,Blues,90
2017,1,Marcus Bontempelli,Bulldogs,89
2017,1,David MacKay,Crows,89
2017,1,Matthew Priddis,Eagles,88
2017,1,David Zaharakis,Bombers,88
2017,1,Steve Johnson,Giants,88
2017,1,Mitchell Hannan,Demons,88
2017,1,Matthew Boyd,Bulldogs,87
2017,1,Matthew Wright,Blues,87
2017,1,Lachlan Plowman,Blues,87
2017,1,Isaac Smith,Hawks,87
2017,1,Lin Jong,Bulldogs,87
2017,1,Joshua Kelly,Giants,87
2017,1,Jayden Hunt,Demons,87
2017,1,Jake Lloyd,Swans,87
2017,1,Shaun Higgins,Kangaroos,87
2017,1,Jason Castagna,Tigers,86
2017,1,Ryan Bastinac,Lions,86
2017,1,Ben Ainsworth,Suns,86
2017,1,Tom Phillips,Magpies,86
2017,1,Heath Shaw,Giants,86
2017,1,Aaron Sandilands,Dockers,86
2017,1,Shaun McKernan,Bombers,85
2017,1,Mark Lecras,Eagles,85
2017,1,Eddie Betts,Crows,85
2017,1,Jesse White,Magpies,85
2017,1,Dylan Shiel,Giants,84
2017,1,Shane Mumford,Giants,84
2017,1,Lachlan Henderson,Cats,84
2017,1,Jack Viney,Demons,84
2017,1,David Mundy,Dockers,84
2017,1,Ben McEvoy,Hawks,84
2017,1,Reece Conca,Tigers,84
2017,1,Toby McLean,Bulldogs,84
2017,1,Angus Brayshaw,Demons,83
2017,1,Toby Nankervis,Tigers,83
2017,1,Billy Stretch,Demons,83
2017,1,Sam Reid Injured,Swans,83
2017,1,Christian Salem,Demons,83
2017,1,Jack Riewoldt,Tigers,83
2017,1,Harrison Marsh,Swans,83
2017,1,Luke McDonald,Kangaroos,82
2017,1,Jackson Ramsay,Magpies,82
2017,1,James Kelly,Bombers,81
2017,1,Heath Grundy,Swans,81
2017,1,Ed Langdon,Dockers,81
2017,1,Hamish Hartlett,Power,81
2017,1,Robert Murphy,Bulldogs,81
2017,1,Rhys Stanley,Cats,81
2017,1,Patrick Ryder,Power,80
2017,1,Jonathon Griffin,Dockers,80
2017,1,Lachlan Weller,Dockers,80
2017,1,Sam Gibson,Kangaroos,79
2017,1,Andrew Mackie,Cats,79
2017,1,Trent Dumont,Kangaroos,79
2017,1,Sam Naismith Injured,Swans,79
2017,1,Jake Stringer,Bulldogs,79
2017,1,Orazio Fantasia,Bombers,79
2017,1,Jarryd Roughead,Hawks,79
2017,1,Mark Baguley,Bombers,78
2017,1,Tom Hawkins,Cats,78
2017,1,Jeremy Cameron,Giants,78
2017,1,Danyle Pearce,Dockers,78
2017,1,Caleb Marchbank,Blues,78
2017,1,Aaron Young,Power,78
2017,1,Jack Newnes,Saints,78
2017,1,Jared Polec,Power,78
2017,1,Kade Kolodjashnij,Suns,78
2017,1,Brayden Maynard,Magpies,77
2017,1,Liam Shiels,Hawks,77
2017,1,Michael Hurley,Bombers,77
2017,1,Patrick Cripps,Blues,77
2017,1,Edward Curnow,Blues,77
2017,1,Jesse Joyce,Suns,77
2017,1,Paul Puopolo,Hawks,76
2017,1,Tom Ruggles,Cats,75
2017,1,Jarryd Lyons,Suns,75
2017,1,Charlie Dixon,Power,75
2017,1,Kurt Tippett,Swans,75
2017,1,Neville Jetta,Demons,75
2017,1,Jack Billings,Saints,75
2017,1,Lewis Taylor,Lions,75
2017,1,Tom Cutler,Lions,74
2017,1,Kieren Jack,Swans,74
2017,1,Jordan Murdoch,Cats,74
2017,1,Rohan Bewick,Lions,74
2017,1,Lincoln McCarthy,Cats,73
2017,1,Kyle Hartigan,Crows,73
2017,1,Josh Smith,Magpies,73
2017,1,Shane Biggs,Bulldogs,73
2017,1,Daniel Menzel,Cats,73
2017,1,Maverick Weller,Saints,72
2017,1,Cameron Sutcliffe,Dockers,72
2017,1,Toby Greene,Giants,72
2017,1,Daniel Butler,Tigers,72
2017,1,Tom Lynch,Suns,72
2017,1,Christopher Mayne,Magpies,72
2017,1,Sharrod Wellingham,Eagles,72
2017,1,Jack Crisp,Magpies,72
2017,1,Peter Wright,Suns,72
2017,1,Riley Knight,Crows,71
2017,1,Thomas Jonas,Power,71
2017,1,Dale Thomas,Blues,71
2017,1,Anthony McDonald-Tipungwuti,Bombers,71
2017,1,Travis Cloke,Bulldogs,71
2017,1,Sam Powell-Pepper,Power,71
2017,1,Rory Lobb,Giants,71
2017,1,Luke Brown,Crows,71
2017,1,Oscar McDonald,Demons,71
2017,1,Luke Dunstan,Saints,71
2017,1,Steven Motlop,Cats,70
2017,1,Brodie Smith,Crows,70
2017,1,Billy Hartung,Hawks,70
2017,1,Dylan Roberton,Saints,69
2017,1,Ricky Henderson,Hawks,69
2017,1,Easton Wood,Bulldogs,69
2017,1,Grant Birchall,Hawks,69
2017,1,Callan Ward,Giants,69
2017,1,Shaun Burgoyne,Hawks,69
2017,1,Darcy Byrne-Jones,Power,69
2017,1,Mitch McGovern,Crows,68
2017,1,Stewart Crameri,Bulldogs,68
2017,1,Ben Brown,Kangaroos,68
2017,1,Troy Menzel,Crows,68
2017,1,Sam Mayes,Lions,68
2017,1,Rory Sloane,Crows,68
2017,1,Tim Membrey,Saints,68
2017,1,Callum Mills,Swans,67
2017,1,Devon Smith,Giants,67
2017,1,Bradley Sheppard,Eagles,66
2017,1,Curtly Hampton,Crows,66
2017,1,Garrick Ibbotson,Dockers,65
2017,1,Sam Petrevski-Seton,Blues,65
2017,1,Lindsay Thomas,Kangaroos,65
2017,1,Jade Gresham,Saints,65
2017,1,Sam Jacobs,Crows,65
2017,1,Jaeger O'Meara,Hawks,65
2017,1,Jack Lonie,Saints,65
2017,1,Jacob Weitering,Blues,65
2017,1,Sam Gray,Power,64
2017,1,Eric Hipwood,Lions,64
2017,1,Jack Silvagni,Blues,64
2017,1,Tyrone Vickery,Hawks,64
