year,round,displayName,team,score
2012,1,Brent Stanton,Essendon,153
2012,1,Gary Ablett,Gold Coast,136
2012,1,Scott Thompson,Adelaide,135
2012,1,Scott Pendlebury,Collingwood,132
2012,1,Tom Rockliff,Brisbane Lions,130
2012,1,Sam Mitchell,Hawthorn,130
2012,1,Lance Franklin,Hawthorn,130
2012,1,Brad Ebert,Port Adelaide,129
2012,1,Simon Black,Brisbane Lions,128
2012,1,Patrick Ryder,Essendon,128
2012,1,Craig Bird,Sydney,127
2012,1,Matthew Rosa,West Coast,127
2012,1,Jed Adcock,Brisbane Lions,125
2012,1,Rory Sloane,Adelaide,125
2012,1,Nathan Fyfe,Fremantle,124
2012,1,Trent Cotchin,Richmond,120
2012,1,Pearce Hanley,Brisbane Lions,120
2012,1,Jack Steven,St Kilda,119
2012,1,Grant Birchall,Hawthorn,118
2012,1,Marc Murphy,Carlton,116
2012,1,Adam Kennedy,Greater Western Sydney,116
2012,1,Matthew Boyd,Western Bulldogs,116
2012,1,Kieren Jack,Sydney,115
2012,1,Nick Dal Santo,St Kilda,115
2012,1,Kurt Tippett,Adelaide,114
2012,1,Joel Selwood,Geelong,114
2012,1,Chad Cornes,Greater Western Sydney,111
2012,1,Jobe Watson,Essendon,110
2012,1,Luke Ball,Collingwood,110
2012,1,Lindsay Thomas,North Melbourne,110
2012,1,Jimmy Bartel,Geelong,110
2012,1,Richard Douglas,Adelaide,109
2012,1,Hamish Hartlett,Port Adelaide,109
2012,1,Nathan Van Berlo,Adelaide,108
2012,1,Thomas Liberatore,Western Bulldogs,107
2012,1,Callan Ward,Greater Western Sydney,107
2012,1,Dean Cox,West Coast,107
2012,1,Andrew Carrazzo,Carlton,106
2012,1,Jack Trengove,Melbourne,105
2012,1,Paul Chapman,Geelong,105
2012,1,Matthew Suckling,Hawthorn,105
2012,1,Jared Brennan,Gold Coast,104
2012,1,Bryce Gibbs,Carlton,104
2012,1,James Magner,Melbourne,103
2012,1,Dane Swan,Collingwood,102
2012,1,James Kelly,Geelong,101
2012,1,Kade Simpson,Carlton,101
2012,1,David Zaharakis,Essendon,100
2012,1,Quinten Lynch,West Coast,99
2012,1,Toby Greene,Greater Western Sydney,99
2012,1,Ian Callinan,Adelaide,99
2012,1,Joshua Kennedy,West Coast,99
2012,1,Lewis Jetta,Sydney,99
2012,1,Scott Selwood,West Coast,98
2012,1,Taylor Walker,Adelaide,98
2012,1,James McDonald,Greater Western Sydney,98
2012,1,Sam Jacobs,Adelaide,98
2012,1,Rhys Palmer,Greater Western Sydney,98
2012,1,Will Minson,Western Bulldogs,97
2012,1,Tomas Bugg,Greater Western Sydney,97
2012,1,Daniel Giansiracusa,Western Bulldogs,97
2012,1,Brad Sewell,Hawthorn,97
2012,1,Matthew De Boer,Fremantle,97
2012,1,James Polkinghorne,Brisbane Lions,97
2012,1,Jude Bolton,Sydney,97
2012,1,Kane Cornes,Port Adelaide,97
2012,1,Brendon Goddard,St Kilda,96
2012,1,Jarryd Blair,Collingwood,96
2012,1,John McCarthy,Port Adelaide,96
2012,1,Matthew Kreuzer,Carlton,96
2012,1,Tendai Mzungu,Fremantle,96
2012,1,Matthew Priddis,West Coast,95
2012,1,Brendan Whitecross,Hawthorn,95
2012,1,Cheynee Stiller,Brisbane Lions,95
2012,1,Darren Jolly,Collingwood,94
2012,1,Josh Kennedy Injured,Sydney,94
2012,1,Chris Judd,Carlton,93
2012,1,David Hille,Essendon,93
2012,1,Dale Thomas,Collingwood,93
2012,1,Travis Cloke,Collingwood,93
2012,1,Jack Darling,West Coast,92
2012,1,Luke Dahlhaus,Western Bulldogs,92
2012,1,Dennis Armfield,Carlton,92
2012,1,Brent Reilly,Adelaide,91
2012,1,Brett Deledio,Richmond,91
2012,1,Shaun Higgins,Western Bulldogs,91
2012,1,Shane Mumford,Sydney,91
2012,1,Hayden Ballantyne,Fremantle,91
2012,1,Lenny Hayes,St Kilda,91
2012,1,Daniel Wells,North Melbourne,91
2012,1,Andrew Mackie,Geelong,91
2012,1,Jack Riewoldt,Richmond,91
2012,1,Liam Anthony,North Melbourne,91
2012,1,Aaron Sandilands,Fremantle,90
2012,1,David Swallow,Gold Coast,89
2012,1,Patrick Dangerfield,Adelaide,89
2012,1,Jordan Lewis,Hawthorn,89
2012,1,Matt Thomas,Port Adelaide,88
2012,1,Nick Smith,Sydney,87
2012,1,Steele Sidebottom,Collingwood,87
2012,1,Daniel Cross,Western Bulldogs,87
2012,1,Heath Grundy,Sydney,86
2012,1,Ben McEvoy,St Kilda,86
2012,1,Andrew Swallow,North Melbourne,86
2012,1,Paul Duffield,Fremantle,86
2012,1,Ivan Maric,Richmond,86
2012,1,Nathan Foley,Richmond,86
2012,1,Sam Iles,Gold Coast,85
