year,round,player,team,score
2016,1,josh kennedy,West Coast,180
2016,1,patrick dangerfield,Geelong,137
2016,1,matt priddis,West Coast,137
2016,1,luke parker,Sydney,135
2016,1,gary ablett,Gold Coast,134
2016,1,jordan lewis,Hawthorn,134
2016,1,tom mitchell,Sydney,132
2016,1,nic naitanui,West Coast,131
2016,1,bryce gibbs,Carlton,127
2016,1,marc murphy,Carlton,126
2016,1,david zaharakis,Essendon,125
2016,1,aaron hall,Gold Coast,125
2016,1,kane lambert,Richmond,125
2016,1,robbie gray,Port Adelaide,125
2016,1,brad ebert,Port Adelaide,124
2016,1,sam mitchell,Hawthorn,124
2016,1,jack steven,St Kilda,123
2016,1,daniel rich,Brisbane Lions,123
2016,1,dion prestia,Gold Coast,122
2016,1,jason johannisen,Western Bulldogs,121
2016,1,todd goldstein,North Melbourne,121
2016,1,tom hickey,St Kilda,120
2016,1,shane biggs,Western Bulldogs,120
2016,1,sebastian ross,St Kilda,119
2016,1,zach merrett,Essendon,119
2016,1,hamish hartlett,Port Adelaide,118
2016,1,sam gray,Port Adelaide,118
2016,1,james kelly,Essendon,118
2016,1,kade simpson,Carlton,118
2016,1,jarrad waite,North Melbourne,117
2016,1,adam treloar,Collingwood,117
2016,1,mathew stokes,Essendon,117
2016,1,chad wingard,Port Adelaide,116
2016,1,tom sheridan,Fremantle,116
2016,1,jack viney,Melbourne,115
2016,1,levi greenwood,Collingwood,115
2016,1,robert murphy,Western Bulldogs,114
2016,1,kieren jack,Sydney,113
2016,1,leigh montagna,St Kilda,112
2016,1,callan ward,Greater Western Sydney,110
2016,1,jake lloyd,Sydney,110
2016,1,heath shaw,Greater Western Sydney,109
2016,1,mark lecras,West Coast,109
2016,1,tom rockliff,Brisbane Lions,109
2016,1,jack gunston,Hawthorn,108
2016,1,lachie hunter,Western Bulldogs,108
2016,1,matt rosa,Gold Coast,108
2016,1,jack macrae,Western Bulldogs,107
2016,1,lachie neale,Fremantle,106
2016,1,david armitage,St Kilda,105
2016,1,jake stringer,Western Bulldogs,105
2016,1,elliot yeo,West Coast,105
2016,1,justin westhoff,Port Adelaide,103
2016,1,shaun higgins,North Melbourne,102
2016,1,mitch duncan,Geelong,102
2016,1,tom lynch,Gold Coast,101
2016,1,isaac heeney,Sydney,101
2016,1,toby mclean,Western Bulldogs,100
2016,1,michael rischitelli,Gold Coast,100
2016,1,tom scully,Greater Western Sydney,100
2016,1,clancee pearce,Fremantle,100
2016,1,jesse hogan,Melbourne,99
2016,1,allen christensen,Brisbane Lions,99
2016,1,sam docherty,Carlton,99
2016,1,darcy parish,Essendon,97
2016,1,josh hill,West Coast,97
2016,1,matthew lobbe,Port Adelaide,96
2016,1,alex sexton,Gold Coast,96
2016,1,taylor adams,Collingwood,95
2016,1,george hewett,Sydney,95
2016,1,jasper pittard,Port Adelaide,95
2016,1,daniel wells,North Melbourne,95
2016,1,sam gilbert,St Kilda,95
2016,1,sam gibson,North Melbourne,95
2016,1,jamie cripps,West Coast,95
2016,1,josh caddy,Geelong,94
2016,1,taylor walker,Adelaide,94
2016,1,koby stevens,Western Bulldogs,94
2016,1,steve johnson,Greater Western Sydney,93
2016,1,will langford,Hawthorn,93
2016,1,maverick weller,St Kilda,93
2016,1,nick graham,Carlton,92
2016,1,matthew boyd,Western Bulldogs,92
2016,1,matt suckling,Western Bulldogs,92
2016,1,sam kerridge,Carlton,92
2016,1,ben cunnington,North Melbourne,92
2016,1,lance franklin,Sydney,91
2016,1,mark blicavs,Geelong,91
2016,1,eddie betts,Adelaide,91
2016,1,jack martin,Gold Coast,91
2016,1,matthew broadbent,Port Adelaide,91
2016,1,rory laird,Adelaide,90
2016,1,garrick ibbotson,Fremantle,90
2016,1,robbie tarrant,North Melbourne,90
2016,1,luke shuey,West Coast,89
2016,1,trent mckenzie,Gold Coast,89
2016,1,scott thompson,Adelaide,89
2016,1,corey enright,Geelong,89
2016,1,caleb daniel,Western Bulldogs,89
2016,1,nathan wilson,Greater Western Sydney,88
2016,1,jesse lonergan,Gold Coast,88
2016,1,cam sutcliffe,Fremantle,88
2016,1,patrick cripps,Carlton,88
2016,1,dylan shiel,Greater Western Sydney,88
2016,1,lewis taylor,Brisbane Lions,88
2016,1,jack watts,Melbourne,88
2016,1,tom bell,Brisbane Lions,88
2016,1,liam picken,Western Bulldogs,87
2016,1,steele sidebottom,Collingwood,87
2016,1,andrew gaff,West Coast,87
2016,1,josh gibson,Hawthorn,87
2016,1,shaun burgoyne,Hawthorn,87
2016,1,brad crouch,Adelaide,87
2016,1,ollie wines,Port Adelaide,87
2016,1,tom mcdonald,Melbourne,86
2016,1,luke dahlhaus,Western Bulldogs,86
2016,1,eric mackenzie,West Coast,86
2016,1,jack newnes,St Kilda,85
2016,1,brent harvey,North Melbourne,85
2016,1,joel selwood,Geelong,85
2016,1,jack riewoldt,Richmond,85
2016,1,nathan jones,Melbourne,85
2016,1,bernie vince,Melbourne,85
2016,1,billy hartung,Hawthorn,84
2016,1,michael barlow,Fremantle,84
2016,1,jarryd blair,Collingwood,84
2016,1,andrew swallow,North Melbourne,84
2016,1,scott pendlebury,Collingwood,84
2016,1,brad sheppard,West Coast,84
2016,1,blake acres,St Kilda,83
2016,1,brodie smith,Adelaide,83
2016,1,alex rance,Richmond,83
2016,1,shane savage,St Kilda,83
2016,1,jordan de goey,Collingwood,82
2016,1,matt crouch,Adelaide,82
2016,1,jack darling,West Coast,82
2016,1,grant birchall,Hawthorn,82
2016,1,lachie whitfield,Greater Western Sydney,82
2016,1,zac smith,Geelong,82
2016,1,jamie bennell,West Coast,81
2016,1,jack ziebell,North Melbourne,81
2016,1,charlie dixon,Port Adelaide,81
2016,1,jack redden,West Coast,81
2016,1,ben mcevoy,Hawthorn,80
2016,1,kurt tippett,Sydney,80
2016,1,tom liberatore,Western Bulldogs,80
2016,1,ryan bastinac,Brisbane Lions,80
2016,1,matt jones,Melbourne,80
2016,1,jackson trengove,Port Adelaide,80
2016,1,josh jenkins,Adelaide,80
2016,1,jordan roughead,Western Bulldogs,80
2016,1,marcus bontempelli,Western Bulldogs,80
2016,1,tom papley,Sydney,79
2016,1,lee spurr,Fremantle,79
2016,1,jackson ramsay,Collingwood,79
2016,1,rory sloane,Adelaide,79
2016,1,stefan martin,Brisbane Lions,79
2016,1,richard douglas,Adelaide,79
2016,1,nick malceski,Gold Coast,78
2016,1,sam jacobs,Adelaide,78
2016,1,andrejs everitt,Carlton,78
2016,1,bachar houli,Richmond,78
2016,1,max gawn,Melbourne,78
2016,1,ben kennedy,Melbourne,77
2016,1,rory lobb,Greater Western Sydney,77
2016,1,nick dal santo,North Melbourne,77
2016,1,easton wood,Western Bulldogs,76
2016,1,dan hannebery,Sydney,76
2016,1,brendon goddard,Essendon,76
2016,1,trent cotchin,Richmond,76
2016,1,rhys stanley,Geelong,75
2016,1,jackson merrett,Essendon,75
2016,1,dustin martin,Richmond,75
2016,1,taylor duryea,Hawthorn,75
2016,1,jack billings,St Kilda,74
2016,1,jordan murdoch,Geelong,74
2016,1,darcy lang,Geelong,74
2016,1,taylor garner,North Melbourne,74
2016,1,mark baguley,Essendon,73
2016,1,pearce hanley,Brisbane Lions,73
2016,1,blaine boekhorst,Carlton,72
2016,1,nick vlastuin,Richmond,72
2016,1,martin gleeson,Essendon,72
2016,1,devon smith,Greater Western Sydney,72
2016,1,matthew wright,Carlton,72
2016,1,matt dea,Essendon,72
2016,1,luke hodge,Hawthorn,71
2016,1,tom jonas,Port Adelaide,71
2016,1,jacob weitering,Carlton,71
2016,1,josh dunkley,Western Bulldogs,71
2016,1,jimmy bartel,Geelong,71
2016,1,josh kelly,Greater Western Sydney,71
2016,1,adam kennedy,Greater Western Sydney,71
2016,1,clay cameron,Gold Coast,71
2016,1,neville jetta,Melbourne,70
2016,1,ben sinclair,Collingwood,70
2016,1,nick suban,Fremantle,70
2016,1,paul puopolo,Hawthorn,70
2016,1,james frawley,Hawthorn,70
2016,1,brandon ellis,Richmond,70
2016,1,liam duggan,West Coast,70
2016,1,andrew mackie,Geelong,69
2016,1,jay schulz,Port Adelaide,69
2016,1,michael firrito,North Melbourne,69
2016,1,touk miller,Gold Coast,69
2016,1,lindsay thomas,North Melbourne,69
2016,1,michael walters,Fremantle,69
2016,1,dean towers,Sydney,69
2016,1,josh schache,Brisbane Lions,69
2016,1,mitch wallis,Western Bulldogs,69
2016,1,ben brown,North Melbourne,68
2016,1,jeff garlett,Melbourne,68
2016,1,sam lloyd,Richmond,68
2016,1,anthony miles,Richmond,68
2016,1,dean kent,Melbourne,68
2016,1,sam day,Gold Coast,68
2016,1,ed curnow,Carlton,68
2016,1,adam saad,Gold Coast,68
2016,1,tom nicholls,Gold Coast,68
2016,1,steven may,Gold Coast,67
2016,1,zac dawson,Fremantle,67
2016,1,david mundy,Fremantle,67
2016,1,aaron vandenberg,Melbourne,67
2016,1,marcus adams,Western Bulldogs,67
2016,1,christian salem,Melbourne,67
2016,1,connor menadue,Richmond,67
2016,1,jack crisp,Collingwood,66
2016,1,caleb marchbank,Greater Western Sydney,66
2016,1,tom boyd,Western Bulldogs,66
2016,1,travis boak,Port Adelaide,66
2016,1,jared polec,Port Adelaide,65
2016,1,jarrod harbrow,Gold Coast,65
2016,1,levi casboult,Carlton,65
2016,1,mitch robinson,Brisbane Lions,65
2016,1,dom tyson,Melbourne,65
2016,1,dane rampe,Sydney,64
2016,1,danyle pearce,Fremantle,64
2016,1,lincoln mccarthy,Geelong,64
2016,1,jarrod witts,Collingwood,64
2016,1,ryan davis,Gold Coast,64
2016,1,jimmy webster,St Kilda,64
2016,1,cameron guthrie,Geelong,64
2016,1,james gwilt,Essendon,63
2016,1,josh kennedy,Sydney,63
2016,1,phil davis,Greater Western Sydney,63
2016,1,colin garland,Melbourne,63
2016,1,shaun atley,North Melbourne,63
2016,1,jacob townsend,Richmond,63
2016,1,sam fisher,St Kilda,63
2016,1,zach tuohy,Carlton,63
2016,1,david astbury,Richmond,63
2016,1,dylan roberton,St Kilda,63
2016,1,dan robinson,Sydney,63
2016,1,tom langdon,Collingwood,63
2016,1,cory gregson,Geelong,63
2016,1,isaac smith,Hawthorn,63
2016,1,corey ellis,Richmond,62
2016,1,harry cunningham,Sydney,62
2016,1,ryan griffen,Greater Western Sydney,62
2016,1,rory thompson,Gold Coast,61
2016,1,jarryn geary,St Kilda,61
2016,1,sam butler,West Coast,61
2016,1,clayton oliver,Melbourne,61
2016,1,zak jones,Sydney,61
2016,1,daniel talia,Adelaide,60
2016,1,callum sinclair,Sydney,60
2016,1,josh bruce,St Kilda,59
2016,1,kamdyn mcintosh,Richmond,59
2016,1,matthew kreuzer,Carlton,59
2016,1,paul seedsman,Adelaide,59
2016,1,rory atkins,Adelaide,59
2016,1,sam mayes,Brisbane Lions,59
2016,1,david mackay,Adelaide,59
2016,1,luke dunstan,St Kilda,59
2016,1,callum mills,Sydney,59
2016,1,tom lynch,Adelaide,58
2016,1,adam cooney,Essendon,58
2016,1,jack lonie,St Kilda,58
2016,1,luke breust,Hawthorn,58
2016,1,jamie macmillan,North Melbourne,57
2016,1,harry taylor,Geelong,57
2016,1,joe daniher,Essendon,57
2016,1,matthew leuenberger,Essendon,57
2016,1,brendon ah chee,Port Adelaide,57
2016,1,darcy moore,Collingwood,56
2016,1,hayden ballantyne,Fremantle,56
2016,1,ryan crowley,Essendon,56
2016,1,ty vickery,Richmond,56
2016,1,marley williams,Collingwood,56
2016,1,cameron pedersen,Melbourne,56
2016,1,toby greene,Greater Western Sydney,56
2016,1,luke brown,Adelaide,55
2016,1,nick riewoldt,St Kilda,55
2016,1,shannon hurn,West Coast,54
2016,1,jake neade,Port Adelaide,54
2016,1,nat fyfe,Fremantle,54
2016,1,alex fasolo,Collingwood,54
2016,1,jackson nelson,West Coast,54
2016,1,daniel rioli,Richmond,53
2016,1,jack frost,Collingwood,53
2016,1,tom cutler,Brisbane Lions,53
2016,1,heath grundy,Sydney,53
2016,1,craig bird,Essendon,53
2016,1,jeremy mcgovern,West Coast,53
2016,1,daniel mcstay,Brisbane Lions,52
2016,1,jonathan orourke,Hawthorn,52
2016,1,mitch mcgovern,Adelaide,52
2016,1,shane mumford,Greater Western Sydney,52
2016,1,patrick ambrose,Essendon,52
2016,1,mitch brown,Essendon,52
2016,1,nick smith,Sydney,51
2016,1,callum ah chee,Gold Coast,51
2016,1,andrew phillips,Carlton,51
2016,1,scott thompson,North Melbourne,51
2016,1,scott lycett,West Coast,51
2016,1,jonathan simpkin,Essendon,50
2016,1,shane edwards,Richmond,50
2016,1,,Hawthorn,50
2016,1,cyril rioli,Hawthorn,50
2016,1,jeremy laidler,Sydney,50
2016,1,jed lamb,Carlton,50
2016,1,nathan brown,Collingwood,50
2016,1,andrew walker,Carlton,49
2016,1,rhys palmer,Greater Western Sydney,48
2016,1,steven motlop,Geelong,48
2016,1,stephen hill,Fremantle,48
2016,1,shaun hampson,Richmond,47
2016,1,jack steele,Greater Western Sydney,47
2016,1,luke mcdonald,North Melbourne,47
2016,1,sam rowe,Carlton,47
2016,1,rohan bewick,Brisbane Lions,46
2016,1,ben griffiths,Richmond,46
2016,1,dale morris,Western Bulldogs,46
2016,1,josh walker,Brisbane Lions,46
2016,1,jade gresham,St Kilda,46
2016,1,jarman impey,Port Adelaide,46
2016,1,ryan harwood,Brisbane Lions,45
2016,1,xavier ellis,West Coast,45
2016,1,jake kolodjashnij,Geelong,44
2016,1,claye beams,Brisbane Lions,44
2016,1,ryan lester,Brisbane Lions,44
2016,1,tom lonergan,Geelong,44
2016,1,sam wright,North Melbourne,43
2016,1,drew petrie,North Melbourne,43
2016,1,alipate carlile,Port Adelaide,43
2016,1,kyle langford,Essendon,43
2016,1,simon white,Carlton,42
2016,1,lachie henderson,Geelong,42
2016,1,sean dempster,St Kilda,42
2016,1,adam tomlinson,Greater Western Sydney,42
2016,1,tomas bugg,Melbourne,42
2016,1,tom hawkins,Geelong,41
2016,1,tendai mzungu,Fremantle,41
2016,1,michael talia,Sydney,41
2016,1,kyle cheney,Adelaide,40
2016,1,brent macaffer,Collingwood,40
2016,1,matt buntine,Greater Western Sydney,40
2016,1,jack hombsch,Port Adelaide,39
2016,1,lachie weller,Fremantle,39
2016,1,eli templeton,St Kilda,39
2016,1,matthew taberner,Fremantle,37
2016,1,jonathon griffin,Fremantle,37
2016,1,matthew pavlich,Fremantle,37
2016,1,aidan corr,Greater Western Sydney,37
2016,1,will schofield,West Coast,37
2016,1,anthony mcdonald-tipungwuti,Essendon,36
2016,1,nathan van berlo,Adelaide,36
2016,1,chris mayne,Fremantle,34
2016,1,james sicily,Hawthorn,33
2016,1,james harmes,Melbourne,33
2016,1,harris andrews,Brisbane Lions,32
2016,1,travis cloke,Collingwood,32
2016,1,shane kersten,Geelong,32
2016,1,wayne milera,Adelaide,32
2016,1,oscar mcdonald,Melbourne,31
2016,1,brayden maynard,Collingwood,31
2016,1,sean lemmens,Gold Coast,30
2016,1,zac clarke,Fremantle,30
2016,1,corey gault,Collingwood,30
2016,1,jake lever,Adelaide,30
2016,1,marco paparone,Brisbane Lions,30
2016,1,michael jamison,Carlton,28
2016,1,jonathan freeman,Brisbane Lions,27
2016,1,sam frost,Melbourne,25
2016,1,dylan grimes,Richmond,24
2016,1,dylan buckley,Carlton,24
2016,1,shaun mckernan,Essendon,23
2016,1,marc pittonet,Hawthorn,22
2016,1,ben stratton,Hawthorn,21
2016,1,steven morris,Richmond,18
2016,1,darcy gardiner,Brisbane Lions,18
2016,1,jed anderson,North Melbourne,17
2016,1,james stewart,Greater Western Sydney,15
2016,1,matt white,Port Adelaide,15
2016,1,ryan schoenmakers,Hawthorn,11
2016,1,dane swan,Collingwood,0
2016,2,josh gibson,Hawthorn,157
