2017R108,Adelaide,2017,1,2015652891,Rory Atkins,33,19,14,5,5,3,0,0,7,0,10,1,2,1,0,3,6,14,0,1,0,4,2,82,nan,116
2017R108,Adelaide,2017,1,2005667052,Eddie Betts,254,18,14,4,4,4,2,0,1,0,7,1,4,2,3,0,4,14,0,3,0,2,2,88,nan,84
2017R108,Adelaide,2017,1,2012662083,Luke Brown,92,18,9,4,9,0,0,0,3,3,1,0,0,2,0,0,7,11,0,0,5,0,0,86,nan,103
2017R108,Adelaide,2017,1,2014678070,Charlie Cameron,50,23,17,4,6,2,3,0,6,1,6,8,4,1,1,0,14,9,2,3,1,1,0,84,nan,119
2017R108,Adelaide,2017,1,2014678470,Matt Crouch,48,29,9,3,20,0,0,0,5,2,2,4,3,1,0,0,15,15,0,0,2,1,0,78,nan,113
2017R108,Adelaide,2017,1,2006687579,Richard Douglas,196,27,16,6,11,2,0,0,1,1,8,3,6,1,2,1,8,18,1,0,0,0,2,81,nan,94
2017R108,Adelaide,2017,1,2012721746,Curtly Hampton,52,11,7,4,4,0,1,0,6,0,3,0,0,0,0,0,2,9,1,0,1,2,1,72,nan,50
2017R108,Adelaide,2017,1,2013724713,Kyle Hartigan,52,14,8,8,6,0,0,0,3,1,0,0,4,1,0,0,5,10,0,0,6,0,0,86,nan,57
2017R108,Adelaide,2017,1,2009748959,Sam Jacobs,150,13,3,2,10,0,0,28,3,1,3,3,5,2,4,0,6,6,0,0,2,0,0,91,nan,59
2017R108,Adelaide,2017,1,2012743763,Josh Jenkins,94,20,16,7,4,3,3,3,0,0,4,1,5,0,3,0,5,15,0,3,3,0,2,84,nan,90
2017R108,Adelaide,2017,1,2015754078,Jake Kelly,11,17,7,4,10,0,0,0,0,1,1,1,5,0,2,0,7,10,0,0,3,0,0,90,nan,42
2017R108,Adelaide,2017,1,2015753305,Riley Knight,13,18,6,5,12,2,0,0,1,2,1,1,1,1,1,0,6,12,0,1,0,0,0,68,nan,78
2017R108,Adelaide,2017,1,2013762245,Rory Laird,77,40,23,6,17,0,0,0,4,6,4,2,3,5,0,2,13,27,1,0,2,0,0,87,nan,147
2017R108,Adelaide,2017,1,2010763943,Tom Lynch,84,17,10,4,7,0,0,0,1,0,1,0,3,0,2,0,5,11,0,0,0,1,2,88,nan,74
2017R108,Adelaide,2017,1,2008774238,David Mackay,164,20,11,4,9,1,0,0,5,2,0,2,1,0,0,0,5,16,0,1,3,0,2,78,nan,0
2017R108,Adelaide,2017,1,2016777178,Mitch McGovern,24,15,9,5,6,2,2,0,0,0,3,0,0,0,0,0,4,11,1,3,4,0,3,74,nan,96
2017R108,Adelaide,2017,1,2013777215,Troy Menzel,41,14,11,3,3,1,0,0,3,2,1,1,1,2,0,0,8,6,0,1,1,0,0,74,nan,81
2017R108,Adelaide,2017,1,2016776481,Wayne Milera,9,23,13,5,10,1,0,0,3,2,3,2,0,1,0,0,4,19,0,0,0,1,1,76,nan,87
2017R108,Adelaide,2017,1,2008795429,Andy Otten,80,10,6,3,4,0,0,0,2,1,3,0,4,0,2,0,4,8,1,0,6,0,0,83,nan,45
2017R108,Adelaide,2017,1,2009835778,Rory Sloane,142,24,9,0,15,0,0,0,4,2,1,9,3,1,2,0,13,10,0,0,2,0,1,74,nan,77
2017R108,Adelaide,2017,1,2011832909,Brodie Smith,121,19,10,4,9,1,2,0,1,4,3,0,1,1,1,0,4,14,0,2,7,2,0,84,nan,85
2017R108,Adelaide,2017,1,2011843284,Daniel Talia,123,6,2,1,4,0,0,0,1,1,0,0,3,0,1,0,2,3,0,0,7,0,0,93,nan,19
2017R203,Adelaide,2017,2,2015652891,Rory Atkins,34,19,11,5,8,1,0,0,2,1,3,2,5,0,2,0,5,14,0,0,1,0,2,76,nan,68
2017R203,Adelaide,2017,2,2005667052,Eddie Betts,255,13,6,2,7,3,0,0,4,0,1,3,1,1,1,0,7,6,1,2,0,0,0,92,nan,90
2017R203,Adelaide,2017,2,2012662083,Luke Brown,93,12,8,3,4,1,0,0,1,3,1,0,1,0,1,0,3,7,1,1,5,0,0,92,nan,58
2017R203,Adelaide,2017,2,2014678070,Charlie Cameron,51,17,11,3,6,1,2,0,9,2,8,2,1,0,1,0,9,9,0,0,2,1,0,89,nan,87
2017R203,Adelaide,2017,2,2014678470,Matt Crouch,49,28,6,1,22,0,1,0,4,0,3,7,5,1,1,0,13,15,0,0,1,1,0,78,nan,76
2017R203,Adelaide,2017,2,2006687579,Richard Douglas,197,13,8,1,5,0,0,0,3,1,2,1,3,0,1,0,3,11,0,0,0,0,0,79,nan,48
2017R203,Adelaide,2017,2,2012721746,Curtly Hampton,53,12,7,1,5,0,0,0,10,2,2,2,5,1,3,0,8,7,0,0,0,0,0,73,nan,64
2017R203,Adelaide,2017,2,2013724713,Kyle Hartigan,53,13,8,6,5,0,0,0,4,3,3,0,4,1,2,0,4,10,1,0,7,0,0,98,nan,66
2017R203,Adelaide,2017,2,2009748959,Sam Jacobs,151,15,11,6,4,1,1,43,0,2,2,4,2,0,1,2,11,4,6,2,2,0,1,86,nan,108
2017R203,Adelaide,2017,2,2012743763,Josh Jenkins,95,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,nan,2
2017R203,Adelaide,2017,2,2015754078,Jake Kelly,12,7,5,1,2,0,0,0,1,1,1,0,2,0,2,0,2,5,0,0,2,0,0,90,nan,24
2017R203,Adelaide,2017,2,2015753305,Riley Knight,14,16,9,3,7,0,1,0,4,0,2,2,1,2,0,0,3,13,0,0,0,0,3,72,nan,61
