year,round,displayName,team,score
2016,1,Joshua Kennedy,West Coast,180
2016,1,Patrick Dangerfield,Geelong,162
2016,1,Luke Parker,Sydney,161
2016,1,Matthew Priddis,West Coast,159
2016,1,Tom Hickey,St Kilda,157
2016,1,Nicholas Naitanui,West Coast,153
2016,1,Callan Ward,Greater Western Sydney,142
2016,1,Gary Ablett,Gold Coast,139
2016,1,David Zaharakis,Essendon,132
2016,1,Kane Lambert,Richmond,130
2016,1,Sam Mitchell,Hawthorn,130
2016,1,Jason Johannisen,Western Bulldogs,130
2016,1,Aaron Hall,Gold Coast,129
2016,1,Jake Lloyd,Sydney,128
2016,1,Kieren Jack,Sydney,128
2016,1,Jack Gunston,Hawthorn,127
2016,1,Tom Mitchell,Sydney,127
2016,1,Robbie Gray,Port Adelaide,126
2016,1,Todd Goldstein,North Melbourne,126
2016,1,Chad Wingard,Port Adelaide,125
2016,1,Adam Treloar,Collingwood,125
2016,1,Mark Blicavs,Geelong,123
2016,1,Marc Murphy,Carlton,123
2016,1,Jarrad Waite,North Melbourne,122
2016,1,Brad Ebert,Port Adelaide,120
2016,1,Shane Biggs,Western Bulldogs,118
2016,1,Sam Docherty,Carlton,118
2016,1,Bryce Gibbs,Carlton,116
2016,1,Josh Caddy,Geelong,116
2016,1,Ben Kennedy,Melbourne,115
2016,1,Thomas Liberatore,Western Bulldogs,115
2016,1,Ben Cunnington,North Melbourne,114
2016,1,Zachary Merrett,Essendon,114
2016,1,Robert Murphy,Western Bulldogs,112
2016,1,Marcus Bontempelli,Western Bulldogs,110
2016,1,Tom McDonald,Melbourne,110
2016,1,Lachie Neale,Fremantle,109
2016,1,Justin Westhoff,Port Adelaide,109
2016,1,Jordan Lewis,Hawthorn,108
2016,1,Mitchell Duncan,Geelong,108
2016,1,Michael Rischitelli,Gold Coast,108
2016,1,Josh Hill,West Coast,108
2016,1,Dion Prestia,Gold Coast,107
2016,1,Andrew Gaff,West Coast,106
2016,1,Jack Viney,Melbourne,106
2016,1,Patrick Cripps,Carlton,106
2016,1,Matthew Rosa,Gold Coast,105
2016,1,Joel Selwood,Geelong,105
2016,1,Tom Papley,Sydney,104
2016,1,Kade Simpson,Carlton,104
2016,1,Daniel Rich,Brisbane Lions,104
2016,1,Jake Stringer,Western Bulldogs,104
2016,1,Andrejs Everitt,Carlton,104
2016,1,William Langford,Hawthorn,103
2016,1,Robbie Tarrant,North Melbourne,103
2016,1,Jesse Hogan,Melbourne,103
2016,1,Dylan Shiel,Greater Western Sydney,102
2016,1,Tom Bell,Brisbane Lions,102
2016,1,Jack Steven,St Kilda,101
2016,1,Corey Enright,Geelong,101
2016,1,Bernie Vince,Melbourne,101
2016,1,Alex Rance,Richmond,101
2016,1,Daniel Hannebery,Sydney,100
2016,1,David Armitage,St Kilda,100
2016,1,Zac Smith,Geelong,100
2016,1,James Kelly,Essendon,100
2016,1,Maverick Weller,St Kilda,100
2016,1,Rory Lobb,Greater Western Sydney,100
2016,1,Daniel Wells,North Melbourne,99
2016,1,Tom Lynch,Gold Coast,99
2016,1,Sam Gray,Port Adelaide,99
2016,1,Luke Dahlhaus,Western Bulldogs,98
2016,1,Steele Sidebottom,Collingwood,98
2016,1,Shaun Higgins,North Melbourne,98
2016,1,Thomas Sheridan,Fremantle,97
2016,1,Hamish Hartlett,Port Adelaide,97
2016,1,Rory Sloane,Adelaide,96
2016,1,Sam Day,Gold Coast,96
2016,1,Steven May,Gold Coast,96
2016,1,Matt Crouch,Adelaide,96
2016,1,Steve Johnson,Greater Western Sydney,96
2016,1,Matthew Boyd,Western Bulldogs,96
2016,1,George Hewett,Sydney,96
2016,1,Jesse Lonergan,Gold Coast,96
2016,1,Tom Nicholls,Gold Coast,95
2016,1,Jackson Macrae,Western Bulldogs,95
2016,1,Isaac Heeney,Sydney,95
2016,1,Max Gawn,Melbourne,95
2016,1,Eric MacKenzie,West Coast,95
2016,1,Jordan Roughead,Western Bulldogs,95
2016,1,Shaun Burgoyne,Hawthorn,95
2016,1,Stefan Martin,Brisbane Lions,95
2016,1,Phil Davis,Greater Western Sydney,94
2016,1,Easton Wood,Western Bulldogs,94
2016,1,Brodie Smith,Adelaide,94
2016,1,Tom Scully,Greater Western Sydney,94
2016,1,James Frawley,Hawthorn,94
2016,1,Taylor Duryea,Hawthorn,93
2016,1,Jack Redden,West Coast,93
2016,1,Taylor Adams,Collingwood,93
2016,1,Scott Thompson,Adelaide,93
2016,1,Allen Christensen,Brisbane Lions,93
2016,1,Caleb Marchbank,Greater Western Sydney,93
2016,1,Elliot Yeo,West Coast,92
2016,1,Liam Picken,Western Bulldogs,92
2016,1,Grant Birchall,Hawthorn,92
2016,1,Jack Martin,Gold Coast,91
2016,1,Levi Greenwood,Collingwood,91
2016,1,Nick Vlastuin,Richmond,91
2016,1,Lance Franklin,Sydney,91
2016,1,Josh Jenkins,Adelaide,91
2016,1,Nathan Jones,Melbourne,90
2016,1,Matt Jones,Melbourne,90
2016,1,Rory Laird,Adelaide,90
2016,1,Toby McLean,Western Bulldogs,90
2016,1,Jack Riewoldt,Richmond,90
2016,1,Jack Watts,Melbourne,89
2016,1,Jamie Bennell,West Coast,89
2016,1,Tom Rockliff,Brisbane Lions,89
2016,1,Jack Newnes,St Kilda,89
2016,1,Jasper Pittard,Port Adelaide,89
2016,1,Brent Harvey,North Melbourne,89
2016,1,Scott Pendlebury,Collingwood,89
2016,1,Garrick Ibbotson,Fremantle,88
2016,1,Matthew Wright,Carlton,88
2016,1,Jimmy Bartel,Geelong,88
2016,1,Jackson Trengove,Port Adelaide,88
2016,1,Andrew Swallow,North Melbourne,87
2016,1,Sam Gilbert,St Kilda,87
2016,1,Trent Cotchin,Richmond,87
2016,1,Jacob Weitering,Carlton,87
2016,1,Heath Shaw,Greater Western Sydney,87
2016,1,Sam Gibson,North Melbourne,87
2016,1,Matthew Broadbent,Port Adelaide,87
2016,1,Dustin Martin,Richmond,86
2016,1,Joshua Kelly,Greater Western Sydney,86
2016,1,Sam Kerridge,Carlton,86
2016,1,Zach Tuohy,Carlton,86
2016,1,Jamie Cripps,West Coast,86
2016,1,Caleb Daniel,Western Bulldogs,86
2016,1,Mark Lecras,West Coast,85
2016,1,Jarryd Blair,Collingwood,85
2016,1,Nathan Wilson,Greater Western Sydney,85
2016,1,Oliver Wines,Port Adelaide,85
2016,1,Josh Gibson,Hawthorn,85
2016,1,Anthony Miles,Richmond,85
2016,1,Pearce Hanley,Brisbane Lions,85
2016,1,Nicholas Graham,Carlton,85
2016,1,Jeremy Laidler,Sydney,85
2016,1,Brandon Ellis,Richmond,84
2016,1,Luke Shuey,West Coast,84
2016,1,Daniel Talia,Adelaide,84
2016,1,Harry Taylor,Geelong,84
2016,1,Clancee Pearce,Fremantle,84
2016,1,Jack Darling,West Coast,83
2016,1,Leigh Montagna,St Kilda,83
2016,1,Blake Acres,St Kilda,83
2016,1,Alex Sexton,Gold Coast,83
2016,1,David Mundy,Fremantle,82
2016,1,Matthew Lobbe,Port Adelaide,82
2016,1,Marcus Adams,Western Bulldogs,82
2016,1,Kurt Tippett,Sydney,82
2016,1,Jordan De Goey,Collingwood,81
2016,1,Jacob Townsend,Richmond,81
2016,1,Nick Malceski,Gold Coast,81
2016,1,Brendon Goddard,Essendon,81
2016,1,Ryan Griffen,Greater Western Sydney,81
2016,1,Trent McKenzie,Gold Coast,80
2016,1,Sam Fisher,St Kilda,80
2016,1,Connor Menadue,Richmond,80
2016,1,Eddie Betts,Adelaide,79
2016,1,Lachlan Hunter,Western Bulldogs,79
2016,1,Koby Stevens,Western Bulldogs,79
2016,1,Scott Lycett,West Coast,79
2016,1,Sebastian Ross,St Kilda,79
2016,1,Dane Rampe,Sydney,79
2016,1,Nick Dal Santo,North Melbourne,79
2016,1,Mitchell Wallis,Western Bulldogs,79
2016,1,Billy Hartung,Hawthorn,78
2016,1,Jack Ziebell,North Melbourne,77
2016,1,Ryan Lester,Brisbane Lions,77
2016,1,Adam Saad,Gold Coast,77
2016,1,Taylor Garner,North Melbourne,77
2016,1,Darcy Lang,Geelong,77
2016,1,Matthew Suckling,Western Bulldogs,77
2016,1,Kamdyn Mcintosh,Richmond,76
2016,1,Jack Frost,Collingwood,76
2016,1,Michael Walters,Fremantle,76
2016,1,Touk Miller,Gold Coast,76
2016,1,Taylor Walker,Adelaide,76
2016,1,Richard Douglas,Adelaide,75
2016,1,Josh Kennedy Injured,Sydney,75
2016,1,Tom Langdon,Collingwood,75
2016,1,Rory Thompson,Gold Coast,75
2016,1,Jamie MacMillan,North Melbourne,75
2016,1,Clayton Oliver,Melbourne,75
2016,1,Michael Firrito,North Melbourne,74
2016,1,Paul Puopolo,Hawthorn,74
2016,1,Bachar Houli,Richmond,74
2016,1,Lachie Whitfield,Greater Western Sydney,73
2016,1,Devon Smith,Greater Western Sydney,73
2016,1,Benjamin Griffiths,Richmond,73
2016,1,Jay Schulz,Port Adelaide,73
2016,1,Mathew Stokes,Essendon,73
2016,1,Cameron Sutcliffe,Fremantle,73
2016,1,Jordan Murdoch,Geelong,73
2016,1,Dean Kent,Melbourne,73
2016,1,Jarryn Geary,St Kilda,72
2016,1,Neville Jetta,Melbourne,72
2016,1,Dean Towers,Sydney,72
2016,1,Brad Crouch,Adelaide,72
2016,1,Jonathan Simpkin,Essendon,72
2016,1,Cameron Guthrie,Geelong,72
2016,1,Edward Curnow,Carlton,72
2016,1,Shane Edwards,Richmond,72
2016,1,Jeff Garlett,Melbourne,71
2016,1,Callum Mills,Sydney,71
2016,1,Mark Baguley,Essendon,71
2016,1,Sam Lloyd,Richmond,70
2016,1,Shaun Atley,North Melbourne,70
2016,1,Thomas Jonas,Port Adelaide,69
2016,1,Blaine Boekhorst,Carlton,69
2016,1,James Gwilt,Essendon,69
2016,1,Ben Brown,North Melbourne,69
2016,1,Darcy Parish,Essendon,69
2016,1,Lewis Taylor,Brisbane Lions,69
2016,1,Jack Billings,St Kilda,68
2016,1,Ryan Bastinac,Brisbane Lions,68
2016,1,Mitch Robinson,Brisbane Lions,67
2016,1,Marley Williams,Collingwood,67
2016,1,Angus Dewar,Hawthorn,67
2016,1,David Astbury,Richmond,67
2016,1,Luke Hodge,Hawthorn,66
2016,1,Zak Jones,Sydney,66
2016,1,Scott Thompson,North Melbourne,66
2016,1,Charlie Dixon,Port Adelaide,66
2016,1,Shannon Hurn,West Coast,66
2016,1,Christian Salem,Melbourne,66
2016,1,Bradley Sheppard,West Coast,65
2016,1,Shane Savage,St Kilda,65
2016,1,Shane Mumford,Greater Western Sydney,65
2016,1,Luke Breust,Hawthorn,65
2016,1,Aaron Vandenberg,Melbourne,65
2016,1,Nathan Brown,Collingwood,65
2016,1,Kyle Cheney,Adelaide,65
2016,1,Rhys Palmer,Greater Western Sydney,65
2016,1,Rory Atkins,Adelaide,64
2016,1,Sam Jacobs,Adelaide,64
2016,1,Jack Lonie,St Kilda,64
2016,1,David MacKay,Adelaide,63
2016,1,Daniel McStay,Brisbane Lions,63
2016,1,Simon White,Carlton,63
2016,1,Dom Tyson,Melbourne,62
2016,1,Nicholas Suban,Fremantle,62
2016,1,Danyle Pearce,Fremantle,62
2016,1,Jimmy Webster,St Kilda,62
2016,1,Patrick Ambrose,Essendon,62
2016,1,Matthew Kreuzer,Carlton,62
2016,1,Tyrone Vickery,Richmond,62
2016,1,Daniel Robinson,Sydney,62
2016,1,Heath Grundy,Sydney,62
2016,1,Cameron Pedersen,Melbourne,61
2016,1,Nathan Fyfe,Fremantle,61
2016,1,Josh Dunkley,Western Bulldogs,61
2016,1,Andrew Phillips,Carlton,61
2016,1,Matthew Dea,Essendon,61
2016,1,Michael Barlow,Fremantle,61
2016,1,Jack Hombsch,Port Adelaide,61
2016,1,Ben McEvoy,Hawthorn,61
2016,1,Callum Sinclair,Sydney,61
2016,1,Ben Sinclair,Collingwood,61
2016,1,Zac Dawson,Fremantle,61
2016,1,Jared Polec,Port Adelaide,60
2016,1,Jackson Ramsay,Collingwood,60
2016,1,Lindsay Thomas,North Melbourne,60
2016,1,Jarrod Harbrow,Gold Coast,60
2016,1,Brendon Ah Chee,Port Adelaide,60
2016,1,Paul Seedsman,Adelaide,59
2016,1,Hayden Ballantyne,Fremantle,59
2016,1,Josh Schache,Brisbane Lions,59
2016,1,Corey Ellis,Richmond,59
2016,1,Colin Garland,Melbourne,58
2016,1,Jarrod Witts,Collingwood,58
2016,1,Travis Boak,Port Adelaide,58
2016,1,Aidan Corr,Greater Western Sydney,58
2016,1,Harry Cunningham,Sydney,58
