year,round,displayName,team,score
2013,1,gary ablett,Gold Coast,178
2013,1,kane cornes,Port Adelaide,166
2013,1,ben howlett,Essendon,164
2013,1,scott pendlebury,Collingwood,160
2013,1,bryce gibbs,Carlton,150
2013,1,josh kennedy,Sydney,147
2013,1,michael barlow,Fremantle,144
2013,1,jarryn geary,St Kilda,144
2013,1,sam mitchell,Hawthorn,141
2013,1,ryan griffen,Western Bulldogs,138
2013,1,andrew swallow,North Melbourne,137
2013,1,andrew walker,Carlton,137
2013,1,dane swan,Collingwood,136
2013,1,jay schulz,Port Adelaide,134
2013,1,charlie dixon,Gold Coast,130
2013,1,tom liberatore,Western Bulldogs,130
2013,1,danyle pearce,Fremantle,130
2013,1,david mundy,Fremantle,126
2013,1,joel selwood,Geelong,126
2013,1,will minson,Western Bulldogs,126
2013,1,ollie wines,Port Adelaide,125
2013,1,courtenay dempsey,Essendon,124
2013,1,hamish hartlett,Port Adelaide,123
2013,1,jack grimes,Melbourne,122
2013,1,tom rockliff,Brisbane Lions,122
2013,1,grant birchall,Hawthorn,122
2013,1,todd goldstein,North Melbourne,121
2013,1,jobe watson,Essendon,121
2013,1,chris mayne,Fremantle,120
2013,1,stephen hill,Fremantle,120
2013,1,paul chapman,Geelong,120
2013,1,nick suban,Fremantle,120
2013,1,trent cotchin,Richmond,119
2013,1,tory dickson,Western Bulldogs,118
2013,1,jack viney,Melbourne,117
2013,1,beau waters,West Coast,117
2013,1,dylan shiel,Greater Western Sydney,117
2013,1,brent stanton,Essendon,117
2013,1,steele sidebottom,Collingwood,116
2013,1,brett deledio,Richmond,116
2013,1,brad ebert,Port Adelaide,116
2013,1,daniel giansiracusa,Western Bulldogs,116
2013,1,shane mumford,Sydney,116
2013,1,kieren jack,Sydney,116
2013,1,jonathon griffin,Fremantle,116
2013,1,cyril rioli,Hawthorn,114
2013,1,brett goodes,Western Bulldogs,113
2013,1,matthew kreuzer,Carlton,113
2013,1,adam treloar,Greater Western Sydney,113
2013,1,david armitage,St Kilda,113
2013,1,angus monfries,Port Adelaide,112
2013,1,ivan maric,Richmond,112
2013,1,lenny hayes,St Kilda,111
2013,1,brent guerra,Hawthorn,109
2013,1,travis boak,Port Adelaide,109
2013,1,josh kennedy,West Coast,109
2013,1,tyson goldsack,Collingwood,108
2013,1,shane tuck,Richmond,107
2013,1,daniel wells,North Melbourne,107
2013,1,ryan okeefe,Sydney,107
2013,1,andrew mackie,Geelong,107
2013,1,clinton jones,St Kilda,106
2013,1,robert murphy,Western Bulldogs,106
2013,1,chris judd,Carlton,106
2013,1,james podsiadly,Geelong,106
2013,1,mike pyke,Sydney,104
2013,1,marc murphy,Carlton,104
2013,1,paul puopolo,Hawthorn,104
2013,1,alex rance,Richmond,104
2013,1,aaron mullett,North Melbourne,103
2013,1,dean brogan,Greater Western Sydney,102
2013,1,matthew wright,Adelaide,102
2013,1,sam jacobs,Adelaide,102
2013,1,luke mcguane,Richmond,101
2013,1,stephen coniglio,Greater Western Sydney,101
2013,1,brent moloney,Brisbane Lions,100
2013,1,justin westhoff,Port Adelaide,100
2013,1,shannon hurn,West Coast,99
2013,1,daniel cross,Western Bulldogs,99
2013,1,nick riewoldt,St Kilda,99
2013,1,ben mcevoy,St Kilda,99
2013,1,jordan lewis,Hawthorn,98
2013,1,ben cunnington,North Melbourne,98
2013,1,adam goodes,Sydney,98
2013,1,shaun higgins,Western Bulldogs,97
2013,1,heritier lumumba,Collingwood,97
2013,1,luke dahlhaus,Western Bulldogs,97
2013,1,taylor hunt,Geelong,97
2013,1,nat fyfe,Fremantle,96
2013,1,arryn siposs,St Kilda,96
2013,1,tim mohr,Greater Western Sydney,96
2013,1,luke parker,Sydney,96
2013,1,dean cox,West Coast,96
2013,1,shaun burgoyne,Hawthorn,96
2013,1,jeremy howe,Melbourne,95
2013,1,rory thompson,Gold Coast,95
2013,1,alwyn davey,Essendon,95
2013,1,daniel jackson,Richmond,94
2013,1,ty vickery,Richmond,94
2013,1,mark jamar,Melbourne,93
2013,1,jarrod harbrow,Gold Coast,93
2013,1,heath hocking,Essendon,93
2013,1,jasper pittard,Port Adelaide,93
2013,1,mathew stokes,Geelong,93
2013,1,heath grundy,Sydney,92
2013,1,travis cloke,Collingwood,92
2013,1,mark lecras,West Coast,91
2013,1,scott thompson,Adelaide,91
2013,1,taylor walker,Adelaide,91
2013,1,richard douglas,Adelaide,91
2013,1,david myers,Essendon,91
2013,1,quinten lynch,Collingwood,91
2013,1,michael hibberd,Essendon,90
2013,1,michael walters,Fremantle,90
2013,1,jarrad mcveigh,Sydney,89
2013,1,david swallow,Gold Coast,89
2013,1,darren jolly,Collingwood,89
2013,1,rory sloane,Adelaide,89
2013,1,callan ward,Greater Western Sydney,89
2013,1,nathan jones,Melbourne,89
2013,1,mitch wallis,Western Bulldogs,89
2013,1,jack steven,St Kilda,89
2013,1,andy otten,Adelaide,88
2013,1,brad sewell,Hawthorn,88
2013,1,nick maxwell,Collingwood,88
2013,1,jimmy bartel,Geelong,88
2013,1,mitch duncan,Geelong,87
2013,1,ashton hams,West Coast,87
2013,1,adam cooney,Western Bulldogs,87
2013,1,chris masten,West Coast,87
2013,1,nick malceski,Sydney,87
2013,1,chad wingard,Port Adelaide,87
2013,1,ryan bastinac,North Melbourne,87
2013,1,matt priddis,West Coast,86
2013,1,scott thompson,North Melbourne,86
2013,1,jarryd blair,Collingwood,86
2013,1,brendon goddard,Essendon,86
2013,1,alan toovey,Collingwood,85
2013,1,graham johncock,Adelaide,85
2013,1,dustin fletcher,Essendon,85
2013,1,corey enright,Geelong,85
2013,1,dan hannebery,Sydney,85
2013,1,jonathan giles,Greater Western Sydney,85
2013,1,dustin martin,Richmond,85
2013,1,nick dal santo,St Kilda,84
2013,1,michael jamison,Carlton,84
2013,1,shaun hampson,Carlton,84
2013,1,pearce hanley,Brisbane Lions,83
2013,1,lee spurr,Fremantle,83
2013,1,andrew carrazzo,Carlton,83
2013,1,michael firrito,North Melbourne,82
2013,1,liam sumner,Greater Western Sydney,82
2013,1,jack ziebell,North Melbourne,81
2013,1,jason johannisen,Western Bulldogs,81
2013,1,scott selwood,West Coast,81
2013,1,ted richards,Sydney,81
2013,1,rhyce shaw,Sydney,81
2013,1,jordie mckenzie,Melbourne,80
2013,1,paul duffield,Fremantle,80
2013,1,shane edwards,Richmond,79
2013,1,rhys stanley,St Kilda,79
2013,1,daniel merrett,Brisbane Lions,79
2013,1,harry taylor,Geelong,78
2013,1,paul stewart,Port Adelaide,78
2013,1,michael rischitelli,Gold Coast,78
2013,1,mitch golby,Brisbane Lions,78
2013,1,jamie cripps,West Coast,78
2013,1,kade simpson,Carlton,78
2013,1,tom young,Western Bulldogs,78
2013,1,terry milera,St Kilda,78
2013,1,james gwilt,St Kilda,77
2013,1,jake melksham,Essendon,77
2013,1,tom hawkins,Geelong,77
2013,1,billie smedts,Geelong,77
2013,1,bachar houli,Richmond,77
2013,1,jeff garlett,Carlton,77
2013,1,lachlan hansen,North Melbourne,77
2013,1,farren ray,St Kilda,76
2013,1,rohan bewick,Brisbane Lions,76
2013,1,jude bolton,Sydney,76
2013,1,lynden dunn,Melbourne,76
2013,1,dylan roberton,St Kilda,76
2013,1,ben stratton,Hawthorn,75
2013,1,reece conca,Richmond,75
2013,1,jack darling,West Coast,75
2013,1,ryan crowley,Fremantle,75
2013,1,liam picken,Western Bulldogs,74
2013,1,jason blake,St Kilda,74
2013,1,steven motlop,Geelong,74
2013,1,daniel nicholson,Melbourne,74
2013,1,ryan schoenmakers,Hawthorn,74
2013,1,jason porplyzia,Adelaide,74
2013,1,eddie betts,Carlton,74
2013,1,dale morris,Western Bulldogs,73
2013,1,colin sylvia,Melbourne,73
2013,1,ben mcglynn,Sydney,73
2013,1,dyson heppell,Essendon,73
2013,1,harley bennell,Gold Coast,73
2013,1,zac smith,Gold Coast,73
2013,1,matthew broadbent,Port Adelaide,72
2013,1,lindsay thomas,North Melbourne,72
2013,1,jack frost,Collingwood,72
2013,1,jaeger omeara,Gold Coast,72
2013,1,luke breust,Hawthorn,72
2013,1,brent reilly,Adelaide,72
2013,1,jake batchelor,Richmond,72
2013,1,jared brennan,Gold Coast,72
2013,1,tom bellchambers,Essendon,71
2013,1,matthew jaensch,Adelaide,71
2013,1,jackson merrett,Essendon,71
2013,1,nathan van berlo,Adelaide,71
2013,1,jack riewoldt,Richmond,71
2013,1,campbell heath,Port Adelaide,70
2013,1,josh jenkins,Adelaide,70
2013,1,david hale,Hawthorn,70
2013,1,nick kommer,Essendon,70
2013,1,devon smith,Greater Western Sydney,70
2013,1,jackson trengove,Port Adelaide,70
2013,1,dion prestia,Gold Coast,70
2013,1,tomas bugg,Greater Western Sydney,70
2013,1,shaun grigg,Richmond,69
2013,1,will hoskin-elliott,Greater Western Sydney,69
2013,1,tom murphy,Gold Coast,69
2013,1,jordan roughead,Western Bulldogs,69
2013,1,clancee pearce,Fremantle,69
2013,1,isaac smith,Hawthorn,69
2013,1,max bailey,Hawthorn,68
2013,1,joel wilkinson,Gold Coast,68
2013,1,tom scully,Greater Western Sydney,67
2013,1,nick smith,Sydney,67
2013,1,sam reid,Sydney,67
2013,1,brock mclean,Carlton,67
2013,1,will schofield,West Coast,66
2013,1,colin garland,Melbourne,66
2013,1,sam gilbert,St Kilda,66
2013,1,lewis stevenson,Port Adelaide,66
2013,1,shane savage,Hawthorn,66
2013,1,andrew gaff,West Coast,66
2013,1,josh green,Brisbane Lions,65
2013,1,allen christensen,Geelong,65
2013,1,david rodan,Melbourne,65
2013,1,lachie henderson,Carlton,65
2013,1,cameron pedersen,Melbourne,65
2013,1,jake carlisle,Essendon,65
2013,1,ben sinclair,Collingwood,65
2013,1,cameron oshea,Port Adelaide,65
2013,1,jack redden,Brisbane Lions,65
2013,1,matt jones,Melbourne,65
2013,1,david mackay,Adelaide,64
2013,1,jared rivers,Geelong,64
2013,1,robbie tarrant,North Melbourne,64
2013,1,dayne zorko,Brisbane Lions,64
2013,1,curtly hampton,Greater Western Sydney,64
2013,1,james frawley,Melbourne,64
2013,1,josh hill,West Coast,63
2013,1,patrick dangerfield,Adelaide,63
2013,1,cale hooker,Essendon,63
2013,1,josh gibson,Hawthorn,63
2013,1,ricky henderson,Adelaide,63
2013,1,jonathon patton,Greater Western Sydney,63
2013,1,kane lucas,Carlton,63
2013,1,lance franklin,Hawthorn,62
2013,1,ayce cordy,Western Bulldogs,62
2013,1,chris newman,Richmond,62
2013,1,josh thomas,Collingwood,62
