year,round,displayName,team,score
2018,1,Lance Franklin,Sydney,175
2018,1,Tom Mitchell,Hawthorn,167
2018,1,Kade Simpson,Carlton,150
2018,1,Luke Parker,Sydney,149
2018,1,Blake Acres,St Kilda,144
2018,1,Dyson Heppell,Essendon,142
2018,1,Justin Westhoff,Port Adelaide,140
2018,1,Max Gawn,Melbourne,139
2018,1,Dustin Martin,Richmond,139
2018,1,Rory Laird,Adelaide,137
2018,1,Jack Steven,St Kilda,135
2018,1,Jack Billings,St Kilda,133
2018,1,Jarrod Witts,Gold Coast,131
2018,1,David Zaharakis,Essendon,131
2018,1,Toby Greene,Greater Western Sydney,131
2018,1,Patrick Cripps,Carlton,130
2018,1,Dylan Shiel,Greater Western Sydney,129
2018,1,Stephen Coniglio,Greater Western Sydney,129
2018,1,Charlie Curnow,Carlton,126
2018,1,James Sicily,Hawthorn,125
2018,1,Joel Selwood,Geelong,125
2018,1,Clayton Oliver,Melbourne,123
2018,1,Jeremy Cameron,Greater Western Sydney,120
2018,1,Jackson Macrae,Western Bulldogs,120
2018,1,Riley Bonner,Port Adelaide,119
2018,1,Jake Lloyd,Sydney,119
2018,1,Tim Kelly,Geelong,118
2018,1,Gary Ablett,Geelong,116
2018,1,Bryce Gibbs,Adelaide,116
2018,1,Joshua Kelly,Greater Western Sydney,116
2018,1,Jack Gunston,Hawthorn,116
2018,1,Lachie Whitfield,Greater Western Sydney,114
2018,1,Heath Shaw,Greater Western Sydney,114
2018,1,Nicholas Naitanui,West Coast,113
2018,1,Sebastian Ross,St Kilda,113
2018,1,Aaron Young,Gold Coast,112
2018,1,Shannon Hurn,West Coast,112
2018,1,James Stewart,Essendon,112
2018,1,Charlie Dixon,Port Adelaide,112
2018,1,Touk Miller,Gold Coast,112
2018,1,Stefan Martin,Brisbane Lions,111
2018,1,Luke Shuey,West Coast,110
2018,1,Chad Wingard,Port Adelaide,110
2018,1,Scott Thompson,North Melbourne,110
2018,1,David Swallow,Gold Coast,110
2018,1,Elliot Yeo,West Coast,109
2018,1,Daniel Butler,Richmond,109
2018,1,Dougal Howard,Port Adelaide,107
2018,1,Tim Membrey,St Kilda,107
2018,1,Callum Sinclair,Sydney,106
