year,round,displayName,team,score
2021,1,travis boak,Port Adelaide,160
2021,1,dustin martin,Richmond,158
2021,1,callum mills,Sydney,154
2021,1,taylor walker,Adelaide,146
2021,1,jack bowes,Gold Coast,146
2021,1,matthew flynn,Greater Western Sydney,140
2021,1,errol gulden,Sydney,139
2021,1,tom mitchell,Hawthorn,135
2021,1,andrew mcgrath,Essendon,133
2021,1,jake lever,Melbourne,129
2021,1,andrew brayshaw,Fremantle,125
2021,1,jordan ridley,Essendon,125
2021,1,bailey smith,Western Bulldogs,123
2021,1,tom hickey,Sydney,123
2021,1,clayton oliver,Melbourne,122
2021,1,adam cerra,Fremantle,122
2021,1,will day,Hawthorn,122
2021,1,sam walsh,Carlton,122
2021,1,bailey williams,Western Bulldogs,121
2021,1,jack graham,Richmond,120
2021,1,david swallow,Gold Coast,119
2021,1,darcy moore,Collingwood,119
2021,1,rory sloane,Adelaide,119
2021,1,shannon hurn,West Coast,118
2021,1,jackson macrae,Western Bulldogs,118
2021,1,steven may,Melbourne,117
2021,1,tom barrass,West Coast,117
2021,1,james rowbottom,Sydney,117
2021,1,isaac heeney,Sydney,115
2021,1,adam saad,Carlton,114
2021,1,tim kelly,West Coast,114
2021,1,luke davies-uniacke,North Melbourne,114
2021,1,jack billings,St Kilda,114
2021,1,dayne zorko,Brisbane Lions,114
2021,1,thomas stewart,Geelong,113
2021,1,josh dunkley,Western Bulldogs,113
2021,1,hunter clark,St Kilda,113
2021,1,jack ziebell,North Melbourne,113
2021,1,tom lynch,Adelaide,112
2021,1,jaidyn stephenson,North Melbourne,112
2021,1,brandan parfitt,Geelong,111
2021,1,shane edwards,Richmond,111
2021,1,jacob hopper,Greater Western Sydney,110
2021,1,callan ward,Greater Western Sydney,110
2021,1,karl amon,Port Adelaide,110
2021,1,oscar mcinerney,Brisbane Lions,109
2021,1,nathan fyfe,Fremantle,109
2021,1,todd goldstein,North Melbourne,109
2021,1,jack newnes,Carlton,109
2021,1,charlie spargo,Melbourne,108
2021,1,thomas liberatore,Western Bulldogs,108
2021,1,tim membrey,St Kilda,108
2021,1,caleb daniel,Western Bulldogs,107
2021,1,tim taranto,Greater Western Sydney,107
2021,1,brayden maynard,Collingwood,106
2021,1,ed langdon,Melbourne,105
2021,1,zachary merrett,Essendon,105
2021,1,dylan shiel,Essendon,104
2021,1,cameron guthrie,Geelong,104
2021,1,james rowe,Adelaide,104
2021,1,harry perryman,Greater Western Sydney,104
2021,1,rory laird,Adelaide,102
2021,1,scott pendlebury,Collingwood,102
2021,1,jack lukosius,Gold Coast,102
2021,1,caleb serong,Fremantle,101
2021,1,jaeger o'meara,Hawthorn,101
2021,1,joel selwood,Geelong,101
2021,1,jarryd lyons,Brisbane Lions,100
2021,1,tom cole,West Coast,100
2021,1,jayden short,Richmond,100
2021,1,lachlan hunter,Western Bulldogs,100
2021,1,darcy parish,Essendon,99
2021,1,dougal howard,St Kilda,99
2021,1,oscar allen,West Coast,98
2021,1,laitham vandermeer,Western Bulldogs,98
2021,1,jake lloyd,Sydney,98
2021,1,joshua kelly,Greater Western Sydney,98
2021,1,christian petracca,Melbourne,98
2021,1,zak butters,Port Adelaide,98
2021,1,dominic sheed,West Coast,98
2021,1,liam shiels,Hawthorn,97
2021,1,tom doedee,Adelaide,97
2021,1,dylan moore,Hawthorn,97
2021,1,oliver florent,Sydney,97
2021,1,samuel collins,Gold Coast,97
2021,1,harry morrison,Hawthorn,96
2021,1,ryan burton,Port Adelaide,96
2021,1,timothy english,Western Bulldogs,96
2021,1,patrick lipinski,Western Bulldogs,95
2021,1,sam switkowski,Fremantle,95
2021,1,tom mcdonald,Melbourne,94
2021,1,scott lycett,Port Adelaide,94
2021,1,edward curnow,Carlton,94
2021,1,orazio fantasia,Port Adelaide,94
2021,1,stefan martin,Western Bulldogs,94
2021,1,sam docherty,Carlton,94
2021,1,bailey scott,North Melbourne,93
2021,1,harrison himmelberg,Greater Western Sydney,93
2021,1,jack riewoldt,Richmond,93
2021,1,max gawn,Melbourne,93
2021,1,marcus bontempelli,Western Bulldogs,92
2021,1,steven motlop,Port Adelaide,92
2021,1,sam frost,Hawthorn,92
2021,1,patrick dangerfield,Geelong,92
2021,1,jeremy mcgovern,West Coast,91
2021,1,jack steele,St Kilda,91
2021,1,lachlan sholl,Adelaide,91
2021,1,john noble,Collingwood,90
2021,1,blake hardwick,Hawthorn,90
2021,1,tom phillips,Hawthorn,90
2021,1,billy frampton,Adelaide,89
2021,1,oleg markov,Gold Coast,89
2021,1,ben mcevoy,Hawthorn,89
2021,1,nick haynes,Greater Western Sydney,89
2021,1,dyson heppell,Essendon,89
2021,1,ben keays,Adelaide,89
2021,1,patrick cripps,Carlton,88
2021,1,charlie dixon,Port Adelaide,88
2021,1,harry schoenberg,Adelaide,88
2021,1,logan mcdonald,Sydney,88
2021,1,wil powell,Gold Coast,88
2021,1,stephen coniglio,Greater Western Sydney,88
2021,1,hayden young,Fremantle,88
2021,1,taylor duryea,Western Bulldogs,88
2021,1,jy simpkin,North Melbourne,87
2021,1,sebastian ross,St Kilda,87
2021,1,shaun atley,North Melbourne,87
2021,1,charlie ballard,Gold Coast,87
2021,1,jonathon ceglar,Hawthorn,86
2021,1,toby greene,Greater Western Sydney,86
2021,1,nicholas naitanui,West Coast,86
2021,1,lachie young,North Melbourne,85
2021,1,alex keath,Western Bulldogs,85
2021,1,mark blicavs,Geelong,85
2021,1,lincoln mccarthy,Brisbane Lions,85
2021,1,jamie cripps,West Coast,85
2021,1,shai bolton,Richmond,85
2021,1,marc pittonet,Carlton,85
2021,1,luke ryan,Fremantle,84
2021,1,jack crisp,Collingwood,84
2021,1,matthew taberner,Fremantle,84
2021,1,jeremy howe,Collingwood,83
2021,1,willem drew,Port Adelaide,83
2021,1,paul seedsman,Adelaide,83
2021,1,luke parker,Sydney,83
