gameId,team,year,round,playerId,displayName,gameNumber,Disposals,Kicks,Marks,Handballs,Goals,Behinds,HitOuts,Tackles,Rebounds,Inside50s,Clearances,Clangers,Frees,FreesAgainst,BrownlowVotes,ContestedPossessions,UncontestedPossessions,ContestedMarks,MarksInside50,OnePercenters,Bounces,GoalAssists,PercentPlayed,Subs,Supercoach
2016R1502,Port Adelaide,2016,15,2014738925,Jarman Impey,47,13,8,2,5,1,1,0,2,0,4,0,6,1,2,0,6,7,0,0,0,0,0,66,nan,34
2016R1502,Port Adelaide,2016,15,2007756618,Nathan Krakouer,76,15,13,3,2,0,0,0,1,4,1,1,3,0,0,0,7,11,0,0,3,0,0,71,nan,69
2016R1502,Port Adelaide,2016,15,2013773804,Kane Mitchell,32,24,17,4,7,1,1,0,8,0,2,3,4,0,1,0,8,14,0,0,0,2,0,86,nan,82
2016R1502,Port Adelaide,2016,15,2013788331,Jake Neade,48,9,1,0,8,0,0,0,4,1,2,1,0,2,0,0,6,3,0,0,0,0,2,78,nan,55
2016R1502,Port Adelaide,2016,15,2011797972,Cameron OShea,78,15,10,2,5,0,0,0,3,4,1,1,5,1,2,0,4,9,0,0,18,0,0,93,nan,0
2016R1502,Port Adelaide,2016,15,2011802211,Jasper Pittard,90,13,10,2,3,0,0,0,4,4,3,2,2,0,0,0,8,5,0,0,7,0,0,88,nan,89
2016R1502,Port Adelaide,2016,15,2003832712,Jay Schulz,189,7,4,1,3,0,0,0,5,0,2,0,2,1,1,0,2,6,0,0,2,0,1,85,nan,45
2016R1502,Port Adelaide,2016,15,2010846795,Jackson Trengove,126,20,15,4,5,1,0,13,3,1,4,8,6,3,2,0,16,4,2,1,0,0,0,81,nan,92
2016R1502,Port Adelaide,2016,15,2007874401,Justin Westhoff,195,19,14,6,5,1,1,8,7,2,4,1,6,3,2,0,11,6,2,1,7,0,0,98,nan,96
2016R1502,Port Adelaide,2016,15,2013873126,Ollie Wines,76,27,16,2,11,0,0,2,9,0,10,10,3,2,0,1,17,8,0,0,2,0,0,67,nan,0
2016R1502,Port Adelaide,2016,15,2012874810,Chad Wingard,101,18,14,4,4,2,2,0,2,0,6,1,1,0,0,0,7,11,0,0,4,2,0,97,nan,83
2016R1502,Port Adelaide,2016,15,2012895734,Aaron Young,55,14,8,5,6,1,1,0,10,4,3,0,3,1,2,0,7,7,1,0,0,0,0,82,nan,90
2016R1601,Port Adelaide,2016,16,2015653134,Karl Amon,16,16,9,3,7,2,1,0,2,1,1,0,1,1,1,0,6,10,0,1,4,0,1,79,nan,77
2016R1601,Port Adelaide,2016,16,2016652024,Logan Austin,5,8,5,3,3,0,0,0,1,0,1,0,2,0,1,0,0,8,0,0,13,0,0,87,nan,36
2016R1601,Port Adelaide,2016,16,2007664906,Travis Boak,192,23,11,4,12,0,0,0,6,2,3,3,3,1,0,0,9,13,0,0,0,0,0,81,nan,88
2016R1601,Port Adelaide,2016,16,2009666472,Matthew Broadbent,139,28,14,8,14,0,1,0,5,1,3,4,1,2,0,0,10,17,0,0,1,0,0,71,nan,129
2016R1601,Port Adelaide,2016,16,2016664470,Darcy Byrne-Jones,13,15,9,3,6,0,0,0,1,2,2,0,1,3,1,0,4,12,0,0,5,2,0,83,nan,67
2016R1601,Port Adelaide,2016,16,2014672868,Tom Clurey,11,9,8,4,1,0,0,0,3,3,1,0,1,1,1,0,2,6,0,0,7,0,0,96,nan,57
2016R1601,Port Adelaide,2016,16,2011685707,Charlie Dixon,80,14,9,3,5,0,0,0,1,0,5,0,5,2,2,0,8,5,1,0,1,0,0,83,nan,43
2016R1601,Port Adelaide,2016,16,2008697342,Brad Ebert,184,2,2,1,0,0,0,0,2,1,0,0,3,0,1,0,2,1,1,0,1,0,0,18,nan,10
2016R1601,Port Adelaide,2016,16,2007719318,Robbie Gray,148,29,12,3,17,2,0,0,6,3,6,10,3,3,1,1,19,12,0,0,1,0,0,81,nan,132
2016R1601,Port Adelaide,2016,16,2009724069,Hamish Hartlett,125,22,15,4,7,0,0,0,4,2,1,1,6,3,1,0,7,13,1,0,0,0,0,85,nan,81
2016R1601,Port Adelaide,2016,16,2014738925,Jarman Impey,48,17,8,3,9,0,0,0,3,0,2,2,2,2,2,0,11,8,1,0,0,1,0,87,nan,75
2016R1601,Port Adelaide,2016,16,2007756618,Nathan Krakouer,77,19,16,6,3,0,0,0,3,4,5,0,5,1,3,0,7,11,1,0,3,0,0,82,nan,78
